metric,Bet Type Stats
total_fav_open,116.0
total_dog_open,17.0
n_win_fav_open,88.0
n_win_dog_open,13.0
accuracy_fav_open,0.7586
accuracy_dog_open,0.7647
total_fav_close1_stack,164.0
total_dog_close1_stack,15.0
n_win_fav_close1_stack,120.0
n_win_dog_close1_stack,5.0
accuracy_fav_close1_stack,0.7317
accuracy_dog_close1_stack,0.3333
total_fav_close2_stack,175.0
total_dog_close2_stack,31.0
n_win_fav_close2_stack,133.0
n_win_dog_close2_stack,11.0
accuracy_fav_close2_stack,0.76
accuracy_dog_close2_stack,0.3548
