fighter_red,fighter_blue,date,close1_red,close2_red,close1_blue,close2_blue,pred_name_open,pred_winner_open,choice_proba_open,fstar_open,stake_open,edge_open,ev_open,pred_name_close1,pred_winner_close1,choice_proba_close1,fstar_close1,stake_close1,edge_close1,ev_close1,pred_name_close2,pred_winner_close2,choice_proba_close2,fstar_close2,stake_close2,edge_close2,ev_close2,open_red,open_blue
mason jones,axel sola,2026-03-21,-160.0,-138.0,110.0,135.0,mason jones,1,0.7388684202987719,0.13949736637385235,69.74868318692617,0.051368420298771866,0.100343488652341,mason jones,1,0.6854541748216317,0.12007879932476093,60.03939966238046,0.07006955943701632,0.1962472717637216,mason jones,1,0.6910316410247165,0.12192494183116777,60.962470915583886,0.1111997082516073,0.19693133885995295,-220.0,185.0
luke riley,michael aswell jr,2026-03-21,-225.0,-185.0,150.0,180.0,luke riley,1,0.5352065410642345,0.0,0.0,-0.0647934589357656,-0.0835231923789016,luke riley,1,0.593931566947444,0.0,0.0,-0.09837612536024831,-0.09118701169588445,luke riley,1,0.5895567579278382,0.0,0.0,-0.05956604908970564,-0.08794808464517656,-150.0,130.0
michael page,sam patterson,2026-03-21,-205.0,-178.0,144.0,163.0,michael page,1,0.5427937040685034,0.0,0.0,-0.06504943318639866,-0.08405964820750705,michael page,1,0.6137529711820081,0.0,0.0,-0.058378176358975464,-0.03629536687598062,michael page,1,0.6102950859480379,0.0,0.0,-0.029992683836134737,-0.03324079318199524,-155.0,135.0
iwo baraniewski,austen lane,2026-03-21,-650.0,-549.0,400.0,475.0,iwo baraniewski,1,0.7759212667877449,0.0,0.0,-0.042260551394073254,-0.03538064825864523,iwo baraniewski,1,0.7848729552140731,0.0,0.0,-0.08179371145259362,-0.07281226648229153,iwo baraniewski,1,0.7847700059189952,0.0,0.0,-0.06114678915034233,-0.06515396124456865,-450.0,350.0
kurtis campbell,danny silva,2026-03-21,-245.0,-225.0,175.0,200.0,danny silva,0,,0.0,0.0,,,danny silva,0,,0.0,0.0,,,danny silva,0,,0.0,0.0,,,-125.0,105.0
roman dolidze,christian leroy duncan,2026-03-21,300.0,370.0,-500.0,-400.0,christian leroy duncan,0,0.7541631409305541,0.13956247451955792,69.78123725977896,0.03987742664483984,0.07825408406122608,christian leroy duncan,0,0.7987939903570005,0.0,0.0,-0.034539342976332876,-0.008938442526504137,christian leroy duncan,0,0.7948022212696918,0.0,0.0,-0.0051977787303082446,-0.0008306627725096494,210.0,-250.0
mario pinto,felipe franco,2026-03-21,-1000.0,-800.0,500.0,650.0,felipe franco,0,,0.0,0.0,,,felipe franco,0,,0.0,0.0,,,felipe franco,0,,0.0,0.0,,,-300.0,250.0
mantas kondratavicius,antonio trocoli,2026-03-21,-800.0,-649.0,450.0,550.0,antonio trocoli,0,,0.0,0.0,,,antonio trocoli,0,,0.0,0.0,,,antonio trocoli,0,,0.0,0.0,,,-400.0,300.0
louie sutherland,brando pericic,2026-03-21,205.0,210.0,-275.0,-250.0,brando pericic,0,,0.0,0.0,,,brando pericic,0,,0.0,0.0,,,brando pericic,0,,0.0,0.0,,,-170.0,145.0
shem rock,abdul kareem al selwady,2026-03-21,-131.0,-104.0,-118.0,111.0,abdul kareem al selwady,0,0.773521327917724,0.14792520894103084,73.96260447051542,0.12439852090018011,0.2192882649436647,abdul kareem al selwady,0,0.6509137749876057,0.11128358110652879,55.64179055326439,0.10962937131788097,0.3384359772230324,abdul kareem al selwady,0,0.6492426078400056,0.11406480226027187,57.03240113013593,0.17530895855090617,0.34644646143631386,160.0,-185.0
shanelle dyer,ravena oliveira,2026-03-21,-550.0,-450.0,330.0,400.0,ravena oliveira,0,,0.0,0.0,,,ravena oliveira,0,,0.0,0.0,,,ravena oliveira,0,,0.0,0.0,,,-200.0,170.0
nathaniel wood,losene keita,2026-03-21,175.0,230.0,-275.0,-225.0,losene keita,0,,0.0,0.0,,,losene keita,0,,0.0,0.0,,,losene keita,0,,0.0,0.0,,,130.0,-150.0
movsar evloev,lerone murphy,2026-03-21,-250.0,-225.0,175.0,200.0,movsar evloev,1,0.7494293016351369,0.12299504824277119,61.497524121385595,0.03514358734942258,0.07148594428277566,movsar evloev,1,0.7406111189562744,0.09213329263380426,46.06664631690213,0.026325404670560104,0.08489611780075723,movsar evloev,1,0.7419914775446079,0.16146244653279188,80.73122326639594,0.049683785236915634,0.08844659831948354,-250.0,210.0
