date,net_stake_open,net_odds_open,net_stake_close1,net_odds_close1,net_stake_close2,net_odds_close2,open_red,open_blue,close1_red,close1_blue,close2_red,close2_blue,fighter_red,fighter_blue,pred_winner_open,pred_winner_close1,pred_winner_close2,winner_bool,winner_name
2026-08-08,0.0,0.0,0.0,0.0,0.0,0.0,174.0,-200.0,160.0,-225.0,188.0,-205.0,gigi canuto,carol foro,,,,0.0,Carol Foro
2026-08-08,0.0627914050746447,0.5263157894736841,0.2306444059716789,0.2702702702702702,0.23034000366495,0.3003003003003002,-190.0,165.0,-370.0,250.0,-333.0,290.0,juliana miller,ravena oliveira,1.0,1.0,1.0,1.0,Juliana Miller
2026-08-08,0.0,0.3076923076923077,0.0,0.050000000000000044,0.0,0.125,263.0,-325.0,500.0,-2000.0,950.0,-800.0,darren elkins,yadier del valle,0.0,0.0,0.0,0.0,Yadier del Valle
2026-08-08,0.0513235267385844,0.33333333333333326,0.2112955186704853,0.303030303030303,0.210212047656825,0.36363636363636376,245.0,-300.0,210.0,-330.0,260.0,-275.0,amanda lemos,alexia thainara,0.0,0.0,0.0,0.0,Alexia Thainara
2026-08-08,0.0,0.5714285714285714,0.0,0.19999999999999996,0.0,0.25,153.0,-175.0,300.0,-500.0,380.0,-400.0,billy ray goff,ty miller,0.0,0.0,0.0,0.0,Ty Miller
2026-08-08,-0.0,-1.0,0.0,0.5714285714285714,0.0,0.6666666666666665,-131.0,111.0,120.0,-175.0,141.0,-150.0,mateusz gamrot,quillan salkilld,1.0,0.0,0.0,0.0,Quillan Salkilld
2026-08-08,0.073676832473614,1.8600000000000003,0.1879346471212018,0.5988023952095807,0.1888030769529102,0.625,186.0,-220.0,-167.0,130.0,-160.0,141.0,diyar nurgozhay,bruno lopes,1.0,1.0,1.0,1.0,Diyar Nurgozhay
2026-08-08,0.0,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-250.0,163.0,-205.0,205.0,louie sutherland,jose montanha,,,,0.0,Jose Montanha
2026-08-08,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,383.0,-375.0,250.0,-333.0,290.0,manoel sousa,richie miranda,,,,1.0,Manoel Sousa
2026-08-08,0.0,0.5714285714285714,0.2001520546831681,0.4545454545454546,0.1995380567131016,0.5,-175.0,135.0,-220.0,163.0,-200.0,180.0,miles johns,gianni vazquez,1.0,1.0,1.0,1.0,Miles Johns
2026-08-08,0.0805825691155245,0.4878048780487805,0.2022108888822488,0.5319148936170213,0.2018024795498472,0.5714285714285714,-205.0,177.0,-188.0,143.0,-175.0,154.0,diego ferreira,billy quarantillo,1.0,1.0,1.0,1.0,Diego Ferreira
2026-08-08,0.0,0.4901960784313726,0.2159147199223628,0.3003003003003002,0.2120171745317353,0.37735849056603765,-204.0,177.0,-333.0,219.0,-265.0,250.0,steven asplund,guilherme pat,1.0,1.0,1.0,1.0,Steven Asplund
2026-08-15,0.1854919736900853,0.25,0.2784316022347233,0.2777777777777777,0.2779516974449977,0.303030303030303,-400.0,330.0,-360.0,250.0,-330.0,280.0,islam makhachev,ian machado garry,1.0,1.0,1.0,1.0,Islam Makhachev
2026-08-15,0.0,0.47393364928909953,0.176253407684131,0.40816326530612246,0.1752371113886523,0.5319148936170213,-211.0,181.0,-245.0,150.0,-188.0,203.0,mackenzie dern,gillian robertson,1.0,1.0,1.0,1.0,Mackenzie Dern
2026-08-15,0.0,0.5,0.1382160093096167,0.819672131147541,0.1401054945762103,0.8928571428571428,-200.0,174.0,-122.0,-112.0,-112.0,104.0,jalin turner,kaue fernandes,1.0,1.0,1.0,1.0,Jalin Turner
2026-08-15,-0.1072419439230269,-1.0,-0.3805886221028587,-1.0,-0.3782123050766995,-1.0,-650.0,476.0,-800.0,450.0,-649.0,550.0,mansur abdul malik,dustin stoltzfus,1.0,1.0,1.0,0.0,Dustin Stoltzfus
2026-08-15,0.0870744740042642,1.0499999999999998,0.121585410552841,1.1799999999999997,0.1202700798996993,1.35,105.0,-125.0,118.0,-160.0,135.0,-148.0,neil magny,ramiz brahimaj,1.0,1.0,1.0,1.0,Neil Magny
2026-08-15,0.1583576068162537,0.4444444444444444,0.3811993411190362,0.2702702702702702,0.3794974337808169,0.33333333333333326,-225.0,189.0,-370.0,225.0,-300.0,290.0,donte johnson,eric mcconico,1.0,1.0,1.0,1.0,Donte Johnson
2026-08-15,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,charles johnson,eduardo chapolin,,,,1.0,Charles Johnson
2026-08-15,0.0559641812978911,0.9090909090909092,-0.0225177766472524,-1.0,-0.0167324150775748,-1.0,-110.0,-110.0,-112.0,-120.0,-105.0,-110.0,vicente luque,tresean gore,0.0,1.0,1.0,0.0,Tresean Gore
2026-08-15,0.0,0.0,0.0,0.0,0.0,0.0,177.0,-205.0,210.0,-320.0,250.0,-275.0,rafael tobias,lucas fernando,,,,0.0,Lucas Fernando
2026-08-15,-0.1634673890040465,-1.0,-0.0,-1.0,-0.0,-1.0,263.0,-325.0,600.0,-2000.0,950.0,-1000.0,jeremiah wells,myktybek orolbai,0.0,0.0,0.0,1.0,Jeremiah Wells
2026-08-15,0.0245480158162176,0.33333333333333326,0.0,0.125,0.0,0.15408320493066263,245.0,-300.0,450.0,-800.0,561.0,-649.0,edson barboza,esteban ribovics,0.0,0.0,0.0,0.0,Esteban Ribovics
2026-08-15,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,245.0,-300.0,250.0,-380.0,300.0,-333.0,chidi njokuani,joel alvarez,0.0,0.0,0.0,1.0,Chidi Njokuani
2026-08-22,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0,661.0,-1667.0,500.0,-800.0,850.0,marcio barbosa,ryan kuse,,,,1.0,Marcio Barbosa
2026-08-22,0.0820972925224992,1.35,0.1384881147915117,0.7692307692307692,0.1324735729264149,0.9090909090909092,135.0,-155.0,-130.0,-110.0,-110.0,110.0,chris padilla,nasrat haqparast,1.0,1.0,1.0,1.0,Chris Padilla
2026-08-22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,gauge young,stan dorsainvil,,,,0.0,Stan Dorsainvil
2026-08-22,0.2026881901858742,0.19999999999999996,0.3362171159188153,0.06993006993007,0.3803951096821232,0.1428571428571428,-500.0,385.0,-1430.0,500.0,-700.0,800.0,shanelle dyer,elise reed,1.0,1.0,1.0,1.0,Shanelle Dyer
2026-08-22,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,250.0,-300.0,295.0,-420.0,320.0,-375.0,jamall emmers,lerryan douglas,0.0,0.0,0.0,1.0,Jamall Emmers
2026-08-22,0.0,0.0,0.0,0.0,0.0,0.0,-1100.0,709.0,-1430.0,600.0,-900.0,800.0,anthony wint,terrance chatman,,,,1.0,Anthony Wint
2026-08-22,0.0,0.25,0.2480042767960405,0.1428571428571428,0.2898985686909499,0.18214936247723124,-400.0,330.0,-700.0,400.0,-549.0,500.0,carli judice,jeisla chaves,1.0,1.0,1.0,1.0,Carli Judice
2026-08-22,-0.0,-1.0,-0.2208854819910516,-1.0,-0.2326124508463516,-1.0,250.0,-300.0,260.0,-440.0,340.0,-340.0,marquel mederos,mason jones,0.0,0.0,0.0,1.0,MarQuel Mederos
2026-08-22,0.1893501584819608,0.2857142857142856,0.3996274663106701,0.2298850574712643,0.396665682753121,0.2564102564102564,-350.0,285.0,-435.0,300.0,-390.0,310.0,reinier de ridder,roman dolidze,1.0,1.0,1.0,1.0,Reinier de Ridder
2026-08-22,0.0169948325600234,0.42553191489361697,0.0402063633841329,0.6666666666666665,0.0310557370637857,0.7246376811594204,200.0,-235.0,110.0,-150.0,125.0,-138.0,serghei spivac,vitor petrino,0.0,0.0,0.0,0.0,Vitor Petrino
2026-08-22,-0.1518704091835525,-1.0,-0.3068041789870454,-1.0,-0.3046963737731863,-1.0,-165.0,145.0,-225.0,170.0,-205.0,180.0,anthony hernandez,gregory rodrigues,1.0,1.0,1.0,0.0,Gregory Rodrigues
2026-08-22,-0.1034969400456423,-1.0,-0.1393082291350468,-1.0,-0.1383548670251802,-1.0,-130.0,110.0,-105.0,-126.0,108.0,-115.0,kennedy nzechukwu,shamil gaziev,1.0,1.0,1.0,0.0,Shamil Gaziev
2026-08-22,0.0,0.0,0.0,0.0,0.0,0.0,170.0,-200.0,143.0,-195.0,155.0,-172.0,wes schultz,jackson mcvey,,,,0.0,Jackson McVey
