choice_fighter_name_open,choice_fighter_bool_open,parlay_fstar_open,parlay_odds_open,stake_open,parlay_ev_open,parlay_prob_open,fight_index_open,choice_fighter_name_close1,choice_fighter_bool_close1,parlay_fstar_close1,parlay_odds_close1,stake_close1,parlay_ev_close1,parlay_prob_close1,fight_index_close1,choice_fighter_name_close2,choice_fighter_bool_close2,parlay_fstar_close2,parlay_odds_close2,stake_close2,parlay_ev_close2,parlay_prob_close2,fight_index_close2,date,winner_bool_open,winner_name_open,win_parlay_open,net_stake_open,net_odds_open,winner_bool_close1,winner_name_close1,win_parlay_close1,net_stake_close1,net_odds_close1,winner_bool_close2,winner_name_close2,win_parlay_close2,net_stake_close2,net_odds_close2
ailin perez,1.0,0.1913850164429449,1.5821000704721637,669.8475575503071,0.32308143427286495,0.5124051733715053,1,ailin perez,1.0,0.16455744190311397,0.9450549450549448,575.9510466608989,0.15552531672813696,0.594083637413901,1,ailin perez,1.0,0.22602242201557468,1.1655773420479303,791.0784770545114,0.26346269438286685,0.5834299564604989,1,2026-02-28,1,Ailin Perez,True,0.1913850164429449,1.5821000704721637,1,Ailin Perez,True,0.16455744190311397,0.9450549450549448,1,Ailin Perez,True,0.22602242201557468,1.1655773420479303
edgar chairez,1.0,0.1913850164429449,1.5821000704721637,669.8475575503071,0.32308143427286495,0.5124051733715053,11,edgar chairez,1.0,0.16455744190311397,0.9450549450549448,575.9510466608989,0.15552531672813696,0.594083637413901,11,edgar chairez,1.0,0.22602242201557468,1.1655773420479303,791.0784770545114,0.26346269438286685,0.5834299564604989,11,2026-02-28,1,Edgar Chairez,True,0.1913850164429449,1.5821000704721637,1,Edgar Chairez,True,0.16455744190311397,0.9450549450549448,1,Edgar Chairez,True,0.22602242201557468,1.1655773420479303
charles oliveira,0.0,0.09754845076634144,2.3697674418604646,341.4195776821951,0.3046735875776132,0.3871702157752752,9,raul rosas jr,0.0,0.12128436340978557,0.9128919860627176,424.4952719342495,0.13144103636731996,0.5914819261155206,7,sumudaerji,1.0,0.15305198873076722,1.2124582869855391,535.6819605576853,0.28123975312725125,0.579102331855907,4,2026-03-07,0,Charles Oliveira,True,0.09754845076634144,2.3697674418604646,0,Raul Rosas Jr.,True,0.12128436340978557,0.9128919860627176,1,Sumudaerji,True,0.15305198873076722,1.2124582869855391
sumudaerji,1.0,0.09754845076634144,2.3697674418604646,341.4195776821951,0.3046735875776132,0.3871702157752752,4,sumudaerji,1.0,0.12128436340978557,0.9128919860627176,424.4952719342495,0.13144103636731996,0.5914819261155206,4,raul rosas jr,0.0,0.15305198873076722,1.2124582869855391,535.6819605576853,0.28123975312725125,0.579102331855907,7,2026-03-07,1,Sumudaerji,True,0.09754845076634144,2.3697674418604646,1,Sumudaerji,True,0.12128436340978557,0.9128919860627176,0,Raul Rosas Jr.,True,0.15305198873076722,1.2124582869855391
charles johnson,1.0,0.122071174723768,1.333333333333333,427.24911153318794,0.2320393917048822,0.5280168821592353,12,charles johnson,1.0,0.09151923446785871,1.5080971659919027,320.3173206375055,0.1380283227149699,0.4537417202753795,12,charles johnson,1.0,0.11013636588963813,1.6938775510204085,385.47728061373346,0.22409284728332435,0.45439810240062795,12,2026-03-14,1,Charles Johnson,True,0.122071174723768,1.333333333333333,1,Charles Johnson,True,0.09151923446785871,1.5080971659919027,1,Charles Johnson,True,0.11013636588963813,1.6938775510204085
myktybek orolbai,0.0,0.122071174723768,1.333333333333333,427.24911153318794,0.2320393917048822,0.5280168821592353,11,piera rodriguez,1.0,0.09151923446785871,1.5080971659919027,320.3173206375055,0.1380283227149699,0.4537417202753795,2,piera rodriguez,1.0,0.11013636588963813,1.6938775510204085,385.47728061373346,0.22409284728332435,0.45439810240062795,2,2026-03-14,0,Myktybek Orolbai,True,0.122071174723768,1.333333333333333,1,Piera Rodriguez,True,0.09151923446785871,1.5080971659919027,1,Piera Rodriguez,True,0.11013636588963813,1.6938775510204085
abdul kareem al selwady,0.0,0.217088894462642,1.2407862407862411,759.811130619247,0.3029801732202493,0.5814834764261418,2,abdul kareem al selwady,0.0,0.16333933866188002,1.8912189983721155,571.6876853165801,0.30892931600795714,0.45272575918494673,2,abdul kareem al selwady,0.0,0.14621968279703731,2.966666666666667,511.7688897896306,0.8031567867640514,0.45457734120102133,2,2026-03-21,0,Abdul-Kareem Al-Selwady,True,0.217088894462642,1.2407862407862411,0,Abdul-Kareem Al-Selwady,True,0.16333933866188002,1.8912189983721155,0,Abdul-Kareem Al-Selwady,True,0.14621968279703731,2.966666666666667
mason jones,1.0,0.217088894462642,1.2407862407862411,759.811130619247,0.3029801732202493,0.5814834764261418,12,mason jones,1.0,0.16333933866188002,1.8912189983721155,571.6876853165801,0.30892931600795714,0.45272575918494673,12,mason jones,1.0,0.14621968279703731,2.966666666666667,511.7688897896306,0.8031567867640514,0.45457734120102133,12,2026-03-21,1,Mason Jones,True,0.217088894462642,1.2407862407862411,1,Mason Jones,True,0.16333933866188002,1.8912189983721155,1,Mason Jones,True,0.14621968279703731,2.966666666666667
casey oneill,1.0,0.111755583258052,2.1500000000000004,391.144541403182,0.41038741344670027,0.44774203601482543,3,casey oneill,1.0,0.15558854474220843,1.6322701688555346,544.5599065977295,0.25397804178781613,0.4763865262101967,3,maycee barber,0.0,0.15962962555370802,2.0779657219670664,558.703689437978,0.4828219631104411,0.48175389106113864,10,2026-03-28,1,Casey O'Neill,False,-0.111755583258052,-1.0,1,Casey O'Neill,False,-0.15558854474220843,-1.0,1,Alexa Grasso,False,-0.15962962555370802,-1.0
maycee barber,0.0,0.111755583258052,2.1500000000000004,391.144541403182,0.41038741344670027,0.44774203601482543,10,maycee barber,0.0,0.15558854474220843,1.6322701688555346,544.5599065977295,0.25397804178781613,0.4763865262101967,10,casey oneill,1.0,0.15962962555370802,2.0779657219670664,558.703689437978,0.4828219631104411,0.48175389106113864,3,2026-03-28,1,Alexa Grasso,False,-0.111755583258052,-1.0,1,Alexa Grasso,False,-0.15558854474220843,-1.0,1,Casey O'Neill,False,-0.15962962555370802,-1.0
