,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,fstar_net,choice_decimal_odds,parlay_strategy
0,joaquin buckley,0.008216255797397268,0.04417963762156918,1.704225352112676,1.2761130541639094,1,0.6127004485217472,0.44543032588877496,0.01384977947592514,2024-05-11,1.0,0.008216255797397268,1.704225352112676,top_ev
3,sean woodson,0.008216255797397268,-0.029046590311538167,1.3355704697986577,1.2761130541639094,0,0.7269952665506574,0.44543032588877496,0.01384977947592514,2024-05-11,0.0,0.008216255797397268,1.3355704697986577,top_ev
5,themba gorimbo,0.014562926436282158,0.12625025692875208,1.6896551724137931,-1,1,0.6665562745088532,0.3459564500372539,0.22754892099425628,2024-05-18,1.0,-0.014562926436282158,1.6896551724137931,top_ev
0,luana pinheiro,0.014562926436282158,0.08994329940642343,2.1,-1,1,0.5190206187649635,0.3459564500372539,0.22754892099425628,2024-05-18,0.0,-0.014562926436282158,2.1,top_ev
6,randy brown,0.030161918328966385,0.12089389214661173,1.5128205128205128,0.8153846153846152,1,0.7409298609104722,0.6406708275852008,0.16306396392390288,2024-06-01,1.0,0.030161918328966385,1.5128205128205128,top_ev
3,islam makhachev,0.030161918328966385,0.03762182314735574,1.2,0.8153846153846152,1,0.8646848526227965,0.6406708275852008,0.16306396392390288,2024-06-01,1.0,0.030161918328966385,1.2,top_ev
12,zachary reese,0.013527639909092686,0.09246015245029993,2.1,2.7153846153846155,0,0.5202191202144285,0.31187410673411425,0.15873225809674762,2024-06-08,0.0,0.013527639909092686,2.1,top_ev
10,nassourdine imavov,0.013527639909092686,0.06066317887916062,1.7692307692307692,2.7153846153846155,0,0.599505275018656,0.31187410673411425,0.15873225809674762,2024-06-08,0.0,0.013527639909092686,1.7692307692307692,top_ev
4,tatsuro taira,0.0244844853200667,0.03545789601932492,1.3773584905660377,0.9560805454257175,0,0.7517708012195099,0.5366875699016881,0.049804114456496906,2024-06-15,0.0,0.0244844853200667,1.3773584905660377,top_ev
0,melquizael costa,0.0244844853200667,0.0138549510243961,1.4201680672268908,0.9560805454257175,1,0.7138978649225037,0.5366875699016881,0.049804114456496906,2024-06-15,1.0,0.0244844853200667,1.4201680672268908,top_ev
0,sergei pavlovich,0.0,-0.06275572736067747,1.4,0.0,1,0.6694601947423733,0.42699527309641366,-0.01617076574964249,2024-06-22,0.0,0.0,1.4,top_ev
1,rinat fakhretdinov,0.0,-0.022598379634126475,1.2531645569620251,0.0,1,0.7799467475646871,0.42699527309641366,-0.01617076574964249,2024-06-22,1.0,0.0,1.2531645569620251,top_ev
2,robert whittaker,0.0,-0.055257920339479905,1.6666666666666663,0.0,1,0.5668452477963122,0.42699527309641366,-0.01617076574964249,2024-06-22,1.0,0.0,1.6666666666666663,top_ev
3,johnny walker,0.0,0.004259414609306789,1.6896551724137931,0.0,1,0.5943576127279571,0.42699527309641366,-0.01617076574964249,2024-06-22,0.0,0.0,1.6896551724137931,top_ev
4,nasrat haqparast,0.0,-0.020343528835024383,1.3636363636363638,0.0,1,0.7184147455209821,0.42699527309641366,-0.01617076574964249,2024-06-22,1.0,0.0,1.3636363636363638,top_ev
5,kelvin gastelum,0.0,-0.02176274131607686,1.4545454545454546,0.0,1,0.6725381153451971,0.42699527309641366,-0.01617076574964249,2024-06-22,1.0,0.0,1.4545454545454546,top_ev
