,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,fstar_net,choice_decimal_odds
6,jonathan martinez,0.08107097707983868,0.2568649999999997,1.6666666666666663,-1.0,0,0.754119,0.40412176164566993,0.4817797927007894,2024-05-04,1.0,-0.08107097707983868,1.6666666666666663
3,kevin borjas,0.08107097707983868,0.17894904599999994,2.2,-1.0,0,0.53588593,0.40412176164566993,0.4817797927007894,2024-05-04,1.0,-0.08107097707983868,2.2
6,rodrigo nascimento,0.07057490209008213,0.28246058500000015,2.45,-1.0,0,0.5234533,0.34289986186425,0.5176084208959701,2024-05-11,1.0,-0.07057490209008213,2.45
5,joaquin buckley,0.07057490209008213,0.1833567741935478,1.806451612903225,-1.0,1,0.6550725,0.34289986186425,0.5176084208959701,2024-05-11,1.0,-0.07057490209008213,1.806451612903225
4,themba gorimbo,0.07512652345737277,0.26155466885245904,1.819672131147541,-1.0,1,0.6932868,0.36989318881008,0.5009780496091656,2024-05-18,1.0,-0.07512652345737277,1.819672131147541
0,luana pinheiro,0.07512652345737277,0.18978438799999997,2.23,-1.0,1,0.5335356,0.36989318881008,0.5009780496091656,2024-05-18,0.0,-0.07512652345737277,2.23
8,randy brown,0.12071310639612907,0.1805395045454547,1.5681818181818183,1.3331485587583152,1,0.7528078,0.570700612061112,0.3315293105128718,2024-06-01,1.0,0.12071310639612907,1.5681818181818183
2,ailin perez,0.12071310639612907,0.12789898634146335,1.4878048780487805,1.3331485587583152,1,0.75809604,0.570700612061112,0.3315293105128718,2024-06-01,1.0,0.12071310639612907,1.4878048780487805
10,nassourdine imavov,0.07254016322805795,0.23158702333333336,1.8333333333333333,3.3083333333333336,0,0.67177474,0.3397180042289124,0.4636184015528977,2024-06-08,0.0,0.07254016322805795,1.8333333333333333
12,zachary reese,0.07254016322805795,0.188400311,2.35,3.3083333333333336,0,0.50570226,0.3397180042289124,0.4636184015528977,2024-06-08,0.0,0.07254016322805795,2.35
4,tatsuro taira,0.12805183895073585,0.09614952777777774,1.4444444444444444,1.1666666666666665,0,0.75887275,0.54647140067885,0.18402136813750825,2024-06-15,0.0,0.12805183895073585,1.4444444444444444
0,melquizael costa,0.12805183895073585,0.08016410000000002,1.5,1.1666666666666665,1,0.7201094,0.54647140067885,0.18402136813750825,2024-06-15,1.0,0.12805183895073585,1.5
5,ikram aliskerov,0.07936964951332831,0.16139826000000013,2.2,-1.0,0,0.5279083,0.32475609403416,0.28603413237527375,2024-06-22,1.0,-0.07936964951332831,2.2
4,johnny walker,0.07936964951332831,0.10731536000000008,1.8,-1.0,1,0.6151752,0.32475609403416,0.28603413237527375,2024-06-22,0.0,-0.07936964951332831,1.8
5,ian machado garry,0.12836261111605626,0.1172111758241759,1.5494505494505495,1.169230769230769,1,0.721037,0.5620071702873001,0.2191232463155277,2024-06-29,1.0,0.12836261111605626,1.5494505494505495
8,martin buday,0.12836261111605626,0.09122005999999999,1.4,1.169230769230769,0,0.7794429,0.5620071702873001,0.2191232463155277,2024-06-29,0.0,0.12836261111605626,1.4
7,montel jackson,0.11204415124478924,0.15176762666666654,1.9523809523809523,1.510204081632653,1,0.58992976,0.511881049871408,0.28492590069761614,2024-07-13,1.0,0.11204415124478924,1.9523809523809523
