date,opening_expected_bankroll
2024-05-11,3740.735924673168
2024-05-18,4384.416827132117
2024-06-01,4997.698887095729
2024-06-08,5637.875766716894
2024-06-15,6250.607278644565
2024-06-22,6420.611457428882
2024-06-29,7033.0642665482455
2024-07-13,7542.292596857916
2024-07-20,8425.90888257276
2024-07-27,9283.361672026327
2024-08-03,10850.399911369826
2024-08-10,11462.79178733492
2024-08-17,13269.894365919708
2024-08-24,14459.433801155892
2024-09-07,15710.539919271465
2024-09-14,17454.44692208203
2024-09-28,18192.18752233573
2024-10-05,22211.047748014025
2024-10-12,26073.838419186603
2024-10-19,29042.918601223195
2024-10-26,37562.73707854483
2024-11-02,41306.31579613559
2024-11-09,44465.6384120168
2024-11-16,49314.26585633083
2024-11-23,49314.26585633083
2024-12-07,56154.00444606808
2024-12-14,63830.22284961186
2025-01-11,64945.434185467595
2025-01-18,71538.97628888326
2025-02-01,83251.2540303745
2025-02-08,92227.08086396508
2025-02-15,109675.26635734453
2025-02-22,117221.56645433573
2025-03-01,126612.85765282607
2025-03-08,137666.35275892765
2025-03-15,157004.9624270563
2025-03-22,166091.45902424527
2025-03-29,187208.27359016894
2025-04-05,193078.45178974632
2025-04-12,217356.19730318314
2025-04-26,224678.61938649905
2025-05-03,252485.81892730147
2025-05-10,267900.2294422591
2025-05-17,285729.1867453032
2025-05-31,294623.4789047945
2025-06-07,322389.5353147038
2025-06-14,356928.989826552
2025-06-21,395523.2485668291
2025-06-28,442551.9672323773
2025-07-12,476664.0044479931
2025-07-19,479635.5695750307
2025-07-26,508559.7391109022
2025-08-02,565524.5757810797
2025-08-09,659711.4730291142
2025-08-16,692025.6153243355
2025-08-23,773112.4800530963
2025-09-06,808826.913392556
2025-09-13,972589.908032722
2025-09-27,1039361.2537815599
2025-10-04,1197949.1873081534
2025-10-11,1357040.4811272859
2025-10-18,1398345.6452677657
2025-10-25,1616558.1444602832
2025-11-01,1840341.3600698037
2025-11-08,2004228.4958262588
2025-11-15,2130340.99588543
2025-11-22,2404944.9466474056
2025-12-06,2938695.737073068
2025-12-13,3067494.936026047
2026-01-24,3315220.4582641292
2026-01-31,3491294.1698416434
2026-02-07,4012411.240657822
2026-02-21,5012319.378811284
