strategy,distance_bin_pp,unique_fights,scenario_rows,log_loss,brier,accuracy,roi_on_stakes_pct
always_open,"(-1e-09, 0.5]",440,1085,0.594029033165529,0.20327087041075567,0.7041474654377881,9.625723626933683
always_open,"(0.5, 1.0]",338,559,0.5851829485069836,0.1997602248713909,0.7030411449016101,12.044495301904666
always_open,"(1.0, 2.0]",389,811,0.5717134381556442,0.19352951855807757,0.7065351418002466,14.259350569219242
always_open,"(12.0, inf]",53,124,0.6200912705304122,0.21895293808633284,0.5967741935483871,-0.8455981448110663
always_open,"(2.0, 3.0]",337,569,0.5791057244292368,0.19682158182866957,0.6783831282952548,11.980864514761263
always_open,"(3.0, 5.0]",313,759,0.5821258840990562,0.1982272957694317,0.6982872200263505,13.211456428187313
always_open,"(5.0, 8.0]",234,598,0.5568728944739012,0.18727019748355955,0.717391304347826,16.271230400327724
always_open,"(8.0, 12.0]",141,335,0.5143700152884927,0.16927840064253857,0.746268656716418,19.79124902169735
always_close1,"(-1e-09, 0.5]",440,1085,0.5952802220356065,0.2039775742859092,0.6930875576036867,5.001866061320609
always_close1,"(0.5, 1.0]",338,559,0.5874074601943163,0.20081463681165232,0.6887298747763864,6.351906458672106
always_close1,"(1.0, 2.0]",389,811,0.5753578239618876,0.19532994330523626,0.7077681874229347,12.670604842188565
always_close1,"(12.0, inf]",53,124,0.6139163533443865,0.2151704002978385,0.6048387096774194,-0.6956534854897461
always_close1,"(2.0, 3.0]",337,569,0.5834250372102128,0.19903367015198375,0.6854130052724078,8.02057288895379
always_close1,"(3.0, 5.0]",313,759,0.5835877055520636,0.19892087689942073,0.7009222661396575,11.965781377570789
always_close1,"(5.0, 8.0]",234,598,0.5627978155446416,0.18952061966067468,0.7190635451505016,17.15245490284545
always_close1,"(8.0, 12.0]",141,335,0.5230600088114379,0.1721622946443154,0.7343283582089553,18.87047656940896
