model,actual_odds_type,predicted_odds_type,n_predictions,n_bets,total_stake,net_profit,percent_return
mnlogit,open,open,14,14,14.0,3.3960179422597143,24.257271016140816
mnlogit,open,close1,306,306,306.0,16.654452083113497,5.442631399710293
mnlogit,open,close2,331,331,331.0,37.67677108760479,11.382710298370029
mnlogit,close1,open,4,4,4.0,-1.2915348480490847,-32.288371201227115
mnlogit,close1,close1,355,355,355.0,10.47080933821667,2.9495237572441324
mnlogit,close1,close2,292,292,292.0,-12.722159299751356,-4.356903869777862
mnlogit,close2,open,0,0,0.0,0.0,
mnlogit,close2,close1,362,362,362.0,27.244479243526875,7.526099238543336
mnlogit,close2,close2,289,289,289.0,1.8772143930932461,0.6495551533194623
nearest_neighbors,open,open,416,416,416.0,38.489629612850216,9.252314810781302
nearest_neighbors,open,close1,148,148,148.0,5.245166130830098,3.544031169479796
nearest_neighbors,open,close2,87,87,87.0,13.992445369297696,16.08327053942264
nearest_neighbors,close1,open,353,353,353.0,3.585895878069005,1.0158345263651574
nearest_neighbors,close1,close1,198,198,198.0,-12.381910957985093,-6.253490382820755
nearest_neighbors,close1,close2,100,100,100.0,5.253130270332317,5.253130270332317
nearest_neighbors,close2,open,358,358,358.0,22.96334916387185,6.414343341863645
nearest_neighbors,close2,close1,194,194,194.0,0.6759132384328479,0.34840888579012774
nearest_neighbors,close2,close2,99,99,99.0,5.4824312343154205,5.537809327591334
