event_number,date,target_pct_opening_ev,p025_bankroll,median_bankroll,p95_bankroll,p975_bankroll,mean_bankroll,fraction_below_floor
0,start,50,500.0,500.0,500.0,500.0,500.0,0.0
1,2024-05-11,50,592.0532976934317,594.829301003757,597.9393240316996,598.3126318681051,594.9114773259665,0.0
2,2024-05-18,50,592.0532976934317,594.829301003757,597.9393240316996,598.3126318681051,594.9114773259665,0.0
3,2024-06-01,50,592.0532976934317,594.829301003757,597.9393240316996,598.3126318681051,594.9114773259665,0.0
4,2024-06-08,50,592.0532976934317,594.829301003757,597.9393240316996,598.3126318681051,594.9114773259665,0.0
5,2024-06-15,50,748.4121706567593,766.8795663008937,772.5740712252552,773.6530374752083,765.9821589233065,0.0
6,2024-06-22,50,779.4472314552788,811.9463504019666,818.5980815369462,819.8568930769322,809.7889743988201,0.0
7,2024-06-29,50,779.4472314552788,811.9463504019666,818.5980815369462,819.8568930769322,809.7889743988201,0.0
8,2024-07-13,50,779.4472314552788,811.9463504019666,818.5980815369462,819.8568930769322,809.7889743988201,0.0
9,2024-07-20,50,779.4472314552788,811.9463504019666,818.5980815369462,819.8568930769322,809.7889743988201,0.0
10,2024-07-27,50,804.818029101839,841.0864470606625,861.6496959640521,867.5262656181338,839.6985026907236,0.0
11,2024-08-03,50,804.818029101839,841.0864470606625,861.6496959640521,867.5262656181338,839.6985026907236,0.0
12,2024-08-10,50,930.0530158176718,995.8052279250151,1014.009331267545,1028.0813206700805,984.3913254955066,0.0
13,2024-08-17,50,930.0530158176718,995.8052279250151,1014.009331267545,1028.0813206700805,984.3913254955066,0.0
14,2024-08-24,50,907.9933255092093,991.5136739303916,1048.1988339607703,1064.2128135469436,987.2890407823693,0.0
15,2024-09-07,50,907.9933255092093,991.5136739303916,1048.1988339607703,1064.2128135469436,987.2890407823693,0.0
16,2024-09-14,50,1234.563745136423,1349.4158682672305,1427.5281179947483,1448.3650332188479,1344.0323552645825,0.0
17,2024-09-28,50,1234.563745136423,1349.4158682672305,1427.5281179947483,1448.3650332188479,1344.0323552645825,0.0
18,2024-10-05,50,1234.563745136423,1349.4158682672305,1427.5281179947483,1448.3650332188479,1344.0323552645825,0.0
19,2024-10-12,50,1234.563745136423,1349.4158682672305,1427.5281179947483,1448.3650332188479,1344.0323552645825,0.0
20,2024-10-19,50,1234.563745136423,1349.4158682672305,1427.5281179947483,1448.3650332188479,1344.0323552645825,0.0
21,2024-10-26,50,1648.150083627398,1820.24900694404,1975.6834954979918,2001.0939189097558,1823.811243765837,0.0
22,2024-11-02,50,2222.879500311213,2468.667483022637,2688.6968566181345,2723.5313974867004,2471.201349372203,0.0
23,2024-11-09,50,2222.879500311213,2468.667483022637,2688.6968566181345,2723.5313974867004,2471.201349372203,0.0
24,2024-11-16,50,1961.6571450059457,2199.4194325701947,2418.059877825295,2460.5321399656086,2203.5055042514455,0.0
25,2024-11-23,50,1961.6571450059457,2199.4194325701947,2418.059877825295,2460.5321399656086,2203.5055042514455,0.0
26,2024-12-07,50,1961.6571450059457,2199.4194325701947,2418.059877825295,2460.5321399656086,2203.5055042514455,0.0
27,2024-12-14,50,1506.372690323445,1697.6327119173734,1871.680583503276,1905.140125974223,1700.4187003940042,0.0
28,2025-01-11,50,1521.269284031974,1716.4678674865793,1893.2230279133773,1928.8948680040514,1719.6656310825315,0.0
29,2025-01-18,50,1823.4533968691821,2066.7941047013146,2284.5988342879496,2331.858876536193,2070.7481685792045,0.0
30,2025-02-01,50,1823.4533968691821,2066.7941047013146,2284.5988342879496,2331.858876536193,2070.7481685792045,0.0
31,2025-02-08,50,1823.4533968691821,2066.7941047013146,2284.5988342879496,2331.858876536193,2070.7481685792045,0.0
32,2025-02-15,50,1384.4526769982785,1627.993398145807,1831.4706683370912,1864.6334549394733,1625.720823036759,0.0
33,2025-02-22,50,1590.3333203869631,1877.8744616453137,2118.424167845819,2157.203587541962,1875.4897672148347,0.0
34,2025-03-01,50,1590.3333203869631,1877.8744616453137,2118.424167845819,2157.203587541962,1875.4897672148347,0.0
35,2025-03-08,50,1590.3333203869631,1877.8744616453137,2118.424167845819,2157.203587541962,1875.4897672148347,0.0
