event_number,date,target_pct_opening_ev,p025_bankroll,median_bankroll,p95_bankroll,p975_bankroll,mean_bankroll,fraction_below_floor
0,start,50,500.0,500.0,500.0,500.0,500.0,0.0
1,2024-05-11,50,545.4075241456261,547.0898431865446,548.4567752498298,548.7984075497947,547.09780949985,0.0
2,2024-05-18,50,545.4075241456261,547.0898431865446,548.4567752498298,548.7984075497947,547.09780949985,0.0
3,2024-06-01,50,545.4075241456261,547.0898431865446,548.4567752498298,548.7984075497947,547.09780949985,0.0
4,2024-06-08,50,545.4075241456261,547.0898431865446,548.4567752498298,548.7984075497947,547.09780949985,0.0
5,2024-06-15,50,602.3640909273881,604.3448343867053,605.9653544530081,606.4405691283141,604.3691960118705,0.0
6,2024-06-22,50,586.8170458340186,628.1689662984684,630.8751073793383,631.4764400889444,626.3188827380927,0.0
7,2024-06-29,50,586.8170458340186,628.1689662984684,630.8751073793383,631.4764400889444,626.3188827380927,0.0
8,2024-07-13,50,586.8170458340186,628.1689662984684,630.8751073793383,631.4764400889444,626.3188827380927,0.0
9,2024-07-20,50,586.8170458340186,628.1689662984684,630.8751073793383,631.4764400889444,626.3188827380927,0.0
10,2024-07-27,50,586.8170458340186,628.1689662984684,630.8751073793383,631.4764400889444,626.3188827380927,0.0
11,2024-08-03,50,586.8170458340186,628.1689662984684,630.8751073793383,631.4764400889444,626.3188827380927,0.0
12,2024-08-10,50,643.5516127390243,687.2617824329684,691.5879576223797,692.3324537960395,684.5133283240125,0.0
13,2024-08-17,50,643.5516127390243,687.2617824329684,691.5879576223797,692.3324537960395,684.5133283240125,0.0
14,2024-08-24,50,595.949792944908,624.5621648592352,638.3650050926415,747.0505807753483,627.1605979670975,0.0
15,2024-09-07,50,595.949792944908,624.5621648592352,638.3650050926415,747.0505807753483,627.1605979670975,0.0
16,2024-09-14,50,595.949792944908,624.5621648592352,638.3650050926415,747.0505807753483,627.1605979670975,0.0
17,2024-09-28,50,595.949792944908,624.5621648592352,638.3650050926415,747.0505807753483,627.1605979670975,0.0
18,2024-10-05,50,595.949792944908,624.5621648592352,638.3650050926415,747.0505807753483,627.1605979670975,0.0
19,2024-10-12,50,595.949792944908,624.5621648592352,638.3650050926415,747.0505807753483,627.1605979670975,0.0
20,2024-10-19,50,595.949792944908,624.5621648592352,638.3650050926415,747.0505807753483,627.1605979670975,0.0
21,2024-10-26,50,586.3665160801049,687.4700801656388,702.344540812469,821.9568721041836,686.257657534429,0.0
22,2024-11-02,50,659.5322362523644,773.0961484604568,790.2670157170026,924.5435456114049,771.7843074182434,0.0
23,2024-11-09,50,700.5559095369468,820.9724511617678,839.4104057206722,981.2331538197035,819.589545614809,0.0
24,2024-11-16,50,661.485045990309,775.171100768252,793.1662781324321,926.2531114083898,773.9593539696051,0.0
25,2024-11-23,50,661.485045990309,775.171100768252,793.1662781324321,926.2531114083898,773.9593539696051,0.0
26,2024-12-07,50,661.485045990309,775.171100768252,793.1662781324321,926.2531114083898,773.9593539696051,0.0
27,2024-12-14,50,661.485045990309,775.171100768252,793.1662781324321,926.2531114083898,773.9593539696051,0.0
28,2025-01-11,50,675.8726009699213,790.5417993051544,810.1909509687072,935.0329416207505,783.6089488486654,0.0
29,2025-01-18,50,675.8726009699213,790.5417993051544,810.1909509687072,935.0329416207505,783.6089488486654,0.0
30,2025-02-01,50,675.8726009699213,790.5417993051544,810.1909509687072,935.0329416207505,783.6089488486654,0.0
31,2025-02-08,50,675.8726009699213,790.5417993051544,810.1909509687072,935.0329416207505,783.6089488486654,0.0
32,2025-02-15,50,675.8726009699213,790.5417993051544,810.1909509687072,935.0329416207505,783.6089488486654,0.0
33,2025-02-22,50,749.5715199715726,876.537869536412,898.3976909547924,1036.6613733569072,868.8728912200999,0.0
34,2025-03-01,50,749.5715199715726,876.537869536412,898.3976909547924,1036.6613733569072,868.8728912200999,0.0
35,2025-03-08,50,749.5715199715726,876.537869536412,898.3976909547924,1036.6613733569072,868.8728912200999,0.0
36,2025-03-15,50,749.5715199715726,876.537869536412,898.3976909547924,1036.6613733569072,868.8728912200999,0.0
37,2025-03-22,50,696.3225683042011,814.2555890319268,834.4728578580491,963.1436805593129,807.1837780421089,0.0
38,2025-03-29,50,696.3225683042011,814.2555890319268,834.4728578580491,963.1436805593129,807.1837780421089,0.0
39,2025-04-05,50,719.9522970699455,841.9703545793645,862.8707859135068,995.7808218554503,834.635484843144,0.0
40,2025-04-12,50,673.452364741454,787.9542832387767,808.9171967271556,930.6382236253739,781.3942172015632,0.0
