event_number,date,target_pct_opening_ev,p025_bankroll,median_bankroll,p95_bankroll,p975_bankroll,mean_bankroll,fraction_below_floor
0,start,50,500.0,500.0,500.0,500.0,500.0,0.0
1,2024-05-11,50,505.76602874772203,512.6045667442049,514.9472649526234,515.4297389735547,512.6303953556248,0.0
2,2024-05-18,50,462.3200916731614,482.40281253406783,496.6890453015417,502.12901632908887,482.8417688720993,0.0
3,2024-06-01,50,556.3086871216634,581.0862948654935,599.2072228966456,605.7662239940174,581.4695853791181,0.0
4,2024-06-08,50,619.9321548070516,648.2461981447243,671.7060128008013,678.4087591291885,648.8192846417201,0.0
5,2024-06-15,50,787.4759973894654,826.174934297484,857.687112097491,865.6678243548912,826.9861557264176,0.0
6,2024-06-22,50,829.7985924472293,872.0530395272724,905.057294134074,913.4025567418211,872.7478606332315,0.0
7,2024-06-29,50,977.2348255317795,1029.2936706548348,1072.7226779357093,1083.5145365923986,1030.0681127031426,0.0
8,2024-07-13,50,1005.8303188231791,1073.9127089226677,1229.6206081754638,1249.5142895992756,1094.0444688643906,0.0
9,2024-07-20,50,1066.926588875791,1140.924215988126,1304.8819746609686,1328.5865995145475,1161.7425399182782,0.0
10,2024-07-27,50,1131.1436692147338,1225.5870936336255,1400.0203956785238,1429.155400370263,1244.8919973265297,0.0
11,2024-08-03,50,1020.823422596082,1133.139999290982,1299.0868582094936,1327.7442123529368,1145.5696550150149,0.0
12,2024-08-10,50,1143.261565547724,1278.5268509735497,1469.411219919887,1509.1157591806366,1293.740498981008,0.0
13,2024-08-17,50,1236.796549654323,1384.9971736907128,1591.6541486513415,1632.4935902959494,1401.0464323899744,0.0
14,2024-08-24,50,1272.4004929183704,1438.70138913243,1661.857619248452,1703.529639699724,1453.4211919082768,0.0
15,2024-09-07,50,1371.0625409994225,1560.5500595819485,1799.8617587250437,1851.3718131644089,1574.1525645893582,0.0
16,2024-09-14,50,1751.64353167379,2011.2042239058444,2329.0911193194424,2401.2543155143594,2027.6728943992566,0.0
17,2024-09-28,50,1928.1041279778087,2221.3964201980407,2580.5593095705754,2661.0301341622685,2240.690809683641,0.0
18,2024-10-05,50,1965.6361883151778,2268.618560755434,2635.5253220753857,2716.6902804857905,2284.8253047583344,0.0
19,2024-10-12,50,1727.5361790342465,2018.589570624974,2354.565363759423,2434.918265714587,2033.6519127852666,0.0
20,2024-10-19,50,1868.2923800946298,2225.574796940049,2656.0486625723597,2746.0088527612593,2247.805021628373,0.0
21,2024-10-26,50,2366.34558358307,2834.3302948970318,3414.043711566776,3532.9990670404304,2865.9014897651195,0.0
22,2024-11-02,50,3059.201063678161,3681.5210049244406,4435.824464030932,4605.292457228805,3723.070022715137,0.0
23,2024-11-09,50,3052.6712879403262,3675.905033360569,4436.11469324751,4585.020499030625,3715.3301866590723,0.0
24,2024-11-16,50,2847.796938086864,3458.6799415542764,4187.3970293634,4359.465994869677,3497.524377686362,0.0
25,2024-11-23,50,2847.796938086864,3458.6799415542764,4187.3970293634,4359.465994869677,3497.524377686362,0.0
26,2024-12-07,50,2868.8910098627034,3507.7442200387723,4264.141042924048,4425.380571119264,3544.83604381576,0.0
27,2024-12-14,50,2380.0277228657856,3166.8700886977726,4003.235603005202,4192.81215179413,3197.0970689084706,0.0
28,2025-01-11,50,2421.6868584154463,3222.6896186175377,4077.884789264134,4268.01724584884,3253.9611200555278,0.0
29,2025-01-18,50,2840.0085006865515,3803.66055301276,4815.595412139447,5052.896952862462,3837.380756578365,0.0
30,2025-02-01,50,3518.9263846684107,4733.804722457082,6032.776304105247,6282.479300122114,4776.15072695262,0.0
31,2025-02-08,50,4255.941929681042,5724.671532224651,7292.669917613851,7596.829435094586,5779.388321478687,0.0
32,2025-02-15,50,3695.438934768523,5098.546605178713,6634.023761640113,6966.586418300382,5148.841197762652,0.0
33,2025-02-22,50,4083.461816845043,5666.704103273953,7393.614050746131,7794.260239613567,5729.697276602423,0.0
34,2025-03-01,50,4720.022878234401,6548.055841273939,8534.926536881932,8991.682282436872,6616.54787650111,0.0
35,2025-03-08,50,4479.891845741568,6228.404941782554,8184.304273084504,8651.964591503125,6299.435103042561,0.0
36,2025-03-15,50,4781.325646151627,6644.282924180568,8727.901305413267,9193.769726979066,6719.702054078168,0.0
37,2025-03-22,50,4718.460526477604,6593.204125190006,8644.221957888343,9130.977437311349,6671.080464453745,0.0
38,2025-03-29,50,5758.728128437104,8030.747008712056,10543.238042247667,11155.865257359572,8125.250056267487,0.0
39,2025-04-05,50,6053.257183972151,8435.166731961906,11090.703498541598,11698.665933980907,8544.187615875051,0.0
40,2025-04-12,50,4945.679832673957,7053.014973435505,9456.723948914323,10007.775929770043,7177.835594914492,0.0
41,2025-04-26,50,5235.106801062606,7457.578013715207,10009.420805731243,10596.599857111372,7580.339059759872,0.0
42,2025-05-03,50,7151.225199686673,10266.502244203213,13796.63611810543,14647.225732747525,10441.378173891933,0.0
43,2025-05-10,50,8266.180789080307,11851.94833298432,15920.640750025847,16926.3237471043,12060.932457641491,0.0
44,2025-05-17,50,9548.826493021303,13743.535220841051,18460.056022208137,19636.777681044594,13982.090932443518,0.0
45,2025-05-31,50,9184.080183255426,13233.323703356265,17771.51535073591,19059.585588322054,13457.111064695466,0.0
46,2025-06-07,50,9371.75875359401,13467.930730925282,18096.546817143248,19371.51660671303,13698.88513284306,0.0
47,2025-06-14,50,10381.498618279164,15054.32219141935,20328.31514242495,21687.043195342383,15275.27545603928,0.0
48,2025-06-21,50,7942.273960657873,12077.110177402898,17042.429672389444,18201.162243539606,12323.902636742429,0.0
49,2025-06-28,50,9320.73711590207,14098.429112465914,19903.227756161144,21306.74594813395,14410.424979041785,0.0
50,2025-07-12,50,10182.833807552875,15378.53630627032,21767.96981194122,23307.092289806787,15724.248144772771,0.0
51,2025-07-19,50,9838.798678556475,14882.715817663578,20993.86993680576,22511.743207686486,15207.959490039397,0.0
52,2025-07-26,50,9574.61213547101,14631.124684113904,20864.742925405768,22315.8677928409,14932.17340876247,0.0
53,2025-08-02,50,12265.149888384436,18730.169642508896,26631.05172649964,28476.112621701697,19097.878109235317,0.0
54,2025-08-09,50,13280.478006766814,20317.479992174638,28992.94036790923,31055.442676741717,20754.332062153484,0.0
55,2025-08-16,50,11838.705546693562,18231.06756526196,25959.41016109871,27846.29245538369,18630.039078688336,0.0
56,2025-08-23,50,12087.744084075974,18567.672120451112,26537.098353962814,28391.13501107893,18982.592351976,0.0
57,2025-09-06,50,11847.331693310553,18204.528806562957,26061.19585854057,27884.945805636075,18616.381207124923,0.0
58,2025-09-13,50,13311.840376945986,20480.164687521225,29219.13398160074,31445.122321787283,20906.925190350314,0.0
59,2025-09-27,50,14456.550556544793,22359.70433870511,32005.812544836892,34300.40279851092,22799.79877240159,0.0
