date,fighter_red,fighter_blue,winner
2024-05-11,alex caceres,sean woodson,0.0
2024-05-11,derrick lewis,rodrigo nascimento,1.0
2024-05-11,jj aldrich,veronica hardy,0.0
2024-05-11,joaquin buckley,nursulton ruziboev,1.0
2024-05-18,abus magomedov,warlley alves,1.0
2024-05-18,adrian yanez,vinicius salvador,1.0
2024-05-18,edson barboza,lerone murphy,0.0
2024-05-18,khaos williams,carlston harris,1.0
2024-05-18,luana pinheiro,angela hill,0.0
2024-05-18,piera rodriguez,ariane carnelossi,0.0
2024-05-18,themba gorimbo,ramiz brahimaj,1.0
2024-05-18,vanessa demopoulos,emily ducote,1.0
2024-05-18,victor martinez,tom nolan,0.0
2024-06-01,ailin perez,joselyne edwards,1.0
2024-06-01,grant dawson,joe solecki,1.0
2024-06-01,islam makhachev,dustin poirier,1.0
2024-06-01,jailton almeida,alexandr romanov,1.0
2024-06-01,kevin holland,michal oleksiejczuk,1.0
2024-06-01,mickey gall,bassil hafez,0.0
2024-06-01,niko price,alex morono,1.0
2024-06-01,phil rowe,jake matthews,0.0
2024-06-01,randy brown,elizeu zaleski dos santos,1.0
2024-06-01,sean strickland,paulo costa,1.0
2024-06-08,andrea lee,montana de la rosa,0.0
2024-06-08,brad katona,jesse butler,1.0
2024-06-08,brunno ferreira,dustin stoltzfus,1.0
2024-06-08,charles radtke,carlos prates,0.0
2024-06-08,cody stamann,taylor lapilus,0.0
2024-06-08,dominick reyes,dustin jacoby,1.0
2024-06-08,eduarda moura,denise gomes,0.0
2024-06-08,jared cannonier,nassourdine imavov,0.0
2024-06-08,john castaneda,daniel marcos,0.0
2024-06-08,julian marquez,zachary reese,0.0
2024-06-08,miguel baeza,punahele soriano,0.0
2024-06-08,raul rosas jr,ricky turcios,1.0
2024-06-08,thiago moises,ludovit klein,0.0
2024-06-15,alex perez,tatsuro taira,0.0
2024-06-15,asu almabayev,jose johnson,1.0
2024-06-15,brady hiestand,garrett armfield,1.0
2024-06-15,douglas silva de andrade,miles johns,0.0
2024-06-15,jeka saragih,westin wilson,0.0
2024-06-15,jimmy flick,nate maness,0.0
2024-06-15,melquizael costa,shayilan nuerdanbieke,1.0
2024-06-22,johnny walker,volkan oezdemir,0.0
2024-06-22,kelvin gastelum,daniel rodriguez,1.0
2024-06-22,kyung ho kang,muin gafurov,0.0
2024-06-22,nasrat haqparast,jared gordon,1.0
2024-06-22,rinat fakhretdinov,nicolas dalby,1.0
2024-06-22,robert whittaker,ikram aliskerov,1.0
2024-06-22,sergei pavlovich,alexander volkov,0.0
2024-06-29,alex pereira,jiri prochazka,1.0
2024-06-29,andrei arlovski,martin buday,0.0
2024-06-29,anthony smith,roman dolidze,0.0
2024-06-29,charles jourdain,jean silva,0.0
2024-06-29,cub swanson,andre fili,0.0
2024-06-29,dan ige,diego lopes,0.0
2024-06-29,ian machado garry,michael page,1.0
2024-06-29,joe pyfer,marc andre barriault,1.0
2024-06-29,mayra bueno silva,macy chiasson,0.0
2024-06-29,michelle waterson gomez,gillian robertson,0.0
2024-06-29,payton talbott,yanis ghemmouri,1.0
2024-07-13,drew dober,jean silva,0.0
2024-07-13,evan elder,darrius flowers,1.0
2024-07-13,gabriel bonfim,ange loosa,1.0
2024-07-13,josh fremd,andre petroski,0.0
2024-07-13,joshua van,charles johnson,0.0
2024-07-13,julian erosa,christian rodriguez,1.0
2024-07-13,luana santos,mariya agapova,1.0
2024-07-13,montel jackson,damon blackshear,1.0
2024-07-13,rose namajunas,tracy cortez,1.0
2024-07-13,santiago ponzinibbio,muslim salikhov,0.0
2024-07-20,amanda lemos,virna jandiroba,0.0
2024-07-20,brian kelleher,cody gibson,0.0
2024-07-20,cody durden,bruno silva,0.0
2024-07-20,loik radzhabov,trey ogden,0.0
2024-07-20,luana carolina,lucie pudilova,1.0
2024-07-20,mohammed usman,thomas petersen,0.0
2024-07-20,steve garcia,seungwoo choi,1.0
2024-07-27,arnold allen,giga chikadze,1.0
2024-07-27,christian leroy duncan,gregory rodrigues,0.0
2024-07-27,jake hadley,caolan loughran,1.0
2024-07-27,leon edwards,belal muhammad,0.0
2024-07-27,mick parkin,lukasz brzeski,1.0
2024-07-27,modestas bukauskas,marcin prachnio,1.0
2024-07-27,molly mccann,bruna brasil,0.0
2024-07-27,muhammad mokaev,manel kape,1.0
2024-07-27,nathaniel wood,daniel pineda,1.0
2024-07-27,tom aspinall,curtis blaydes,1.0
2024-08-03,azamat murzakanov,alonzo menifield,1.0
2024-08-03,cory sandhagen,umar nurmagomedov,0.0
2024-08-03,jai herbert,rolando bedoya,1.0
2024-08-03,joel alvarez,elves brener,1.0
2024-08-03,mackenzie dern,loopy godinez,1.0
2024-08-03,marlon vera,deiveson figueiredo,0.0
2024-08-03,mohammad yahya,kaue fernandes,0.0
2024-08-03,sedriques dumas,denis tiuliulin,1.0
2024-08-03,shamil gaziev,dontale mayes,1.0
2024-08-03,tony ferguson,michael chiesa,0.0
2024-08-03,viktoriia dudakova,sam hughes,0.0
2024-08-10,damon jackson,chepe mariscal,0.0
2024-08-10,jhonata diniz,karl williams,1.0
2024-08-10,karol rosa,pannie kianzad,1.0
2024-08-10,yana santos,chelsea chandler,1.0
2024-08-10,youssef zalal,jarno errens,1.0
2024-08-17,casey oneill,luana santos,1.0
2024-08-17,dricus du plessis,israel adesanya,1.0
2024-08-17,jack jenkins,herbert burns,1.0
2024-08-17,josh culibao,ricardo ramos,0.0
2024-08-17,junior tafa,valter walker,0.0
2024-08-17,kai kara france,steve erceg,1.0
2024-08-17,li jingliang,carlos prates,0.0
2024-08-17,mateusz gamrot,dan hooker,0.0
2024-08-17,tai tuivasa,jairzinho rozenstruik,0.0
2024-08-17,tom nolan,alex reyes,1.0
2024-08-24,angela hill,tabatha ricci,0.0
2024-08-24,dennis buzukja,francis marshall,0.0
2024-08-24,edmen shahbazyan,gerald meerschaert,0.0
2024-08-24,jared cannonier,caio borralho,0.0
2024-08-24,neil magny,michael morales,0.0
2024-09-07,gilbert burns,sean brady,0.0
2024-09-07,isaac dulgarian,brendon marotte,1.0
2024-09-07,jaqueline amorim,vanessa demopoulos,1.0
2024-09-07,jessica andrade,natalia silva,0.0
2024-09-07,matt schnell,cody durden,0.0
2024-09-07,steve garcia,kyle nelson,1.0
2024-09-07,trevor peek,yanal ashmouz,0.0
2024-09-14,alexa grasso,valentina shevchenko,0.0
2024-09-14,brian ortega,diego lopes,0.0
2024-09-14,daniel zellhuber,esteban ribovics,0.0
2024-09-14,edgar chairez,joshua van,0.0
2024-09-14,irene aldana,norma dumont,0.0
2024-09-14,manuel torres,ignacio bahamondes,0.0
2024-09-14,raul rosas jr,aoriqileng,1.0
2024-09-14,ronaldo rodriguez,ode osbourne,1.0
2024-09-14,sean omalley,merab dvalishvili,0.0
2024-09-14,yazmin jauregui,ketlen souza,0.0
2024-09-28,daniel barez,victor altamirano,1.0
2024-09-28,fares ziam,matt frevola,1.0
2024-09-28,kevin jousset,bryan battle,0.0
2024-09-28,ludovit klein,roosevelt roberts,1.0
2024-09-28,morgan charriere,gabriel miranda,1.0
2024-09-28,nassourdine imavov,brendan allen,1.0
2024-09-28,nora cornolle,jacqueline cavalcanti,0.0
2024-09-28,renato moicano,benoit st denis,1.0
2024-09-28,taylor lapilus,vince morales,1.0
2024-09-28,william gomis,joanderson brito,1.0
2024-10-05,alex pereira,khalil rountree jr,1.0
2024-10-05,austin hubbard,alexander hernandez,0.0
2024-10-05,carla esparza,tecia pennington,0.0
2024-10-05,cesar almeida,ihor potieria,1.0
2024-10-05,court mcgee,tim means,1.0
2024-10-05,jose aldo,mario bautista,0.0
2024-10-05,ketlen vieira,kayla harrison,0.0
2024-10-05,marina rodriguez,iasmin lucindo,0.0
2024-10-05,raquel pennington,julianna pena,0.0
2024-10-05,roman dolidze,kevin holland,1.0
2024-10-05,ryan spann,ovince st preux,1.0
2024-10-05,stephen thompson,joaquin buckley,0.0
2024-10-12,brad tavares,junyong park,0.0
2024-10-12,brandon royval,tatsuro taira,1.0
2024-10-12,chidi njokuani,jared gooden,1.0
2024-10-12,daniel rodriguez,alex morono,1.0
2024-10-12,grant dawson,rafa garcia,1.0
2024-10-12,jonathan pearce,pat sabatini,0.0
2024-10-12,julia polastri,cory mckenna,1.0
2024-10-12,themba gorimbo,niko price,1.0
2024-10-19,anthony hernandez,michel pereira,1.0
2024-10-19,austen lane,robelis despaigne,1.0
2024-10-19,brad katona,jean matsumoto,0.0
2024-10-19,charles johnson,sumudaerji,1.0
2024-10-19,darren elkins,daniel pineda,1.0
2024-10-19,jessica penne,elise reed,0.0
2024-10-19,matheus nicolau,asu almabayev,0.0
2024-10-19,melissa martinez,alice ardelean,1.0
2024-10-19,rob font,kyler phillips,1.0
2024-10-26,abus magomedov,brunno ferreira,1.0
2024-10-26,geoff neal,rafael dos anjos,1.0
2024-10-26,ilia topuria,max holloway,1.0
2024-10-26,ismail naurdiev,bruno silva,1.0
2024-10-26,kennedy nzechukwu,chris barnett,1.0
2024-10-26,lerone murphy,dan ige,1.0
2024-10-26,mateusz rebecki,myktybek orolbai,1.0
2024-10-26,robert whittaker,khamzat chimaev,0.0
2024-10-26,shara magomedov,armen petrosyan,1.0
2024-11-02,aiemann zahabi,pedro munhoz,1.0
2024-11-02,alexandr romanov,rodrigo nascimento,1.0
2024-11-02,ariane da silva,jasmine jasudavicius,0.0
2024-11-02,brandon moreno,amir albazi,1.0
2024-11-02,chad anheliger,cody gibson,0.0
2024-11-02,charles jourdain,victor henry,1.0
2024-11-02,erin blanchfield,rose namajunas,1.0
2024-11-02,jack shore,youssef zalal,0.0
2024-11-02,marc andre barriault,dustin stoltzfus,0.0
2024-11-02,mike malott,trevin giles,1.0
2024-11-09,cody stamann,damon blackshear,0.0
2024-11-09,karolina kowalkiewicz,denise gomes,0.0
2024-11-09,luana pinheiro,gillian robertson,0.0
2024-11-09,matthew semelsberger,charles radtke,0.0
2024-11-09,neil magny,carlos prates,0.0
2024-11-09,tresean gore,antonio trocoli,1.0
2024-11-16,bassil hafez,oban elliott,0.0
