date,open_selected_fighters,close1_selected_fighters
2024-06-01,islam makhachev | randy brown,islam makhachev | randy brown
2024-06-08,nassourdine imavov | zachary reese,nassourdine imavov | zachary reese
2024-07-13,jean silva | montel jackson,jean silva | montel jackson
2024-07-27,muhammad mokaev | nathaniel wood,muhammad mokaev | nathaniel wood
2024-08-17,dricus du plessis | valter walker,dricus du plessis | valter walker
2024-09-28,fares ziam | jacqueline cavalcanti,fares ziam | jacqueline cavalcanti
2024-10-19,anthony hernandez | darren elkins,anthony hernandez | darren elkins
2024-11-02,aiemann zahabi | charles jourdain,aiemann zahabi | charles jourdain
2024-11-09,matthew semelsberger | tresean gore,matthew semelsberger | tresean gore
2024-11-23,carlos ulberg | petr yan,carlos ulberg | petr yan
2024-12-14,joaquin buckley | vitor petrino,joaquin buckley | vitor petrino
2025-01-18,grant dawson | reinier de ridder,grant dawson | reinier de ridder
2025-02-08,dricus du plessis | tom nolan,dricus du plessis | tom nolan
2025-02-22,anthony hernandez | melquizael costa,anthony hernandez | melquizael costa
2025-03-01,cody brundage | danny silva,cody brundage | danny silva
2025-03-08,brunno ferreira | iasmin lucindo,brunno ferreira | iasmin lucindo
2025-03-22,mick parkin | shauna bannon,mick parkin | shauna bannon
2025-04-05,brad tavares | lerone murphy,brad tavares | lerone murphy
2025-05-10,mike malott | valentina shevchenko,mike malott | valentina shevchenko
2025-05-17,luana santos | michael morales,luana santos | michael morales
2025-05-31,jafel filho | jordan leavitt,jafel filho | jordan leavitt
2025-07-19,brendan allen | dustin poirier,brendan allen | dustin poirier
2025-08-02,karol rosa | neil magny,karol rosa | neil magny
2025-08-09,iasmin lucindo | joselyne edwards,iasmin lucindo | joselyne edwards
2025-08-16,chase hooper | karine silva,chase hooper | karine silva
2025-08-23,diyar nurgozhay | gauge young,diyar nurgozhay | gauge young
2025-09-06,andreas gustafsson | sam patterson,andreas gustafsson | sam patterson
2025-09-13,claudio puelles | rafa garcia,claudio puelles | rafa garcia
2025-09-27,carlos ulberg | jimmy crute,carlos ulberg | jimmy crute
2025-10-04,daniel santos | youssef zalal,daniel santos | youssef zalal
2025-10-11,julia polastri | michael aswell jr,julia polastri | michael aswell jr
2025-11-01,timmy cuamba | waldo cortes acosta,timmy cuamba | waldo cortes acosta
2026-02-07,julius walker | klaudia sygula,julius walker | klaudia sygula
2026-02-21,anthony hernandez | serghei spivac,anthony hernandez | serghei spivac
