stage,policy,mean_gain_pp,bootstrap_low_pp,bootstrap_high_pp
close1,always_switch,-4.176109894460272,-12.081737277562658,3.945042076735233
close1,learned,-0.6511184815393274,-1.7313899059213416,0.0
close1,positive_bankroll_ev_gain,-3.569570527628528,-9.799952367122119,2.4974915690122903
close1,positive_ev_gain,-2.3003239289926913,-9.487345556652487,5.444239709271092
close1,positive_expected_log_gain,-3.569570527628528,-9.59782584704842,2.422124941173459
close2,always_switch,-3.8611971285945415,-13.167670609515225,5.761435376848556
close2,learned,-4.5755281214877925,-10.682717119003623,0.2914173808995754
close2,positive_bankroll_ev_gain,-3.6810055842545473,-11.32355259169958,3.6124382775278816
close2,positive_ev_gain,-1.8828777269692114,-10.945207330930456,8.09911080010246
close2,positive_expected_log_gain,-4.19059971443991,-11.55142379638435,3.1359361065608833
