date,shift_pct,ticket,fighter,decimal_odds,probability
2024-05-11,0.0,opening,rodrigo nascimento,2.3600000000000003,0.5058470010204251
2024-05-11,0.0,opening,sean woodson,1.5555555555555556,0.7144024033953298
2024-05-11,0.0,close1,joaquin buckley,1.704225352112676,0.6162257683670602
2024-05-11,0.0,close1,sean woodson,1.3355704697986577,0.7690491559626795
2024-05-18,0.0,opening,luana pinheiro,2.2,0.6501057335390199
2024-05-18,0.0,opening,piera rodriguez,1.8333333333333333,0.6380693350845542
2024-05-18,0.0,close1,luana pinheiro,2.1,0.6511610617841651
2024-05-18,0.0,close1,themba gorimbo,1.6896551724137931,0.6783021197854411
2024-06-15,0.0,opening,brady hiestand,2.6,0.5022619973485937
2024-06-15,0.0,opening,tatsuro taira,1.5882352941176472,0.7139875761513195
2024-06-15,0.0,close1,melquizael costa,1.4201680672268908,0.7461330047264597
2024-06-15,0.0,close1,tatsuro taira,1.3773584905660377,0.7677558204832936
2024-06-22,0.0,opening,rinat fakhretdinov,1.4,0.7576752962582732
2024-06-22,0.0,opening,muin gafurov,1.869565217391304,0.567208226129741
2024-06-22,0.0,close1,rinat fakhretdinov,1.2531645569620251,0.8103011056518453
2024-06-22,0.0,close1,johnny walker,1.6896551724137931,0.5966316099012712
2024-06-29,0.0,opening,ian machado garry,1.9523809523809523,0.7177466524647823
2024-06-29,0.0,opening,joe pyfer,1.617283950617284,0.6613424180344656
2024-06-29,0.0,close1,ian machado garry,1.4651162790697674,0.8159444747016544
2024-06-29,0.0,close1,gillian robertson,1.5,0.6792171314340114
2024-07-20,0.0,opening,cody durden,1.6666666666666663,0.7185295134289942
2024-07-20,0.0,opening,luana carolina,2.05,0.5585098220915442
2024-07-20,0.0,close1,cody durden,2.1,0.6113778737067949
2024-07-20,0.0,close1,steve garcia,1.526315789473684,0.7055507101974717
2024-08-03,0.0,opening,rolando bedoya,2.2,0.6075203871353874
2024-08-03,0.0,opening,viktoriia dudakova,1.526315789473684,0.7441564238550573
2024-08-03,0.0,close1,rolando bedoya,1.9090909090909087,0.6450355232312159
2024-08-03,0.0,close1,sedriques dumas,1.4,0.7867462332644821
2024-08-10,0.0,opening,yana santos,1.9523809523809523,0.568286884153729
2024-08-10,0.0,opening,youssef zalal,1.3875968992248062,0.7864260772106886
2024-08-10,0.0,close1,yana santos,1.6369426751592355,0.645757143772175
2024-08-10,0.0,close1,karol rosa,1.3571428571428572,0.7420401050057325
2024-08-24,0.0,opening,edmen shahbazyan,1.6756756756756757,0.6887089711987437
2024-08-24,0.0,opening,caio borralho,1.6896551724137931,0.663586652176154
2024-08-24,0.0,close1,edmen shahbazyan,1.2857142857142856,0.8045685833879228
2024-08-24,0.0,close1,tabatha ricci,1.5208333333333337,0.6671549182419867
2024-09-07,0.0,opening,steve garcia,1.6666666666666663,0.6630719003196633
2024-09-07,0.0,opening,trevor peek,1.9090909090909087,0.5742012670712252
2024-09-07,0.0,close1,jaqueline amorim,1.3278688524590163,0.8661978598821064
2024-09-07,0.0,close1,steve garcia,1.4444444444444444,0.7351997276769873
2024-09-14,0.0,opening,norma dumont,1.8333333333333333,0.6387131942314863
2024-09-14,0.0,opening,diego lopes,1.6666666666666663,0.6595574066356931
2024-09-14,0.0,close1,norma dumont,1.7407407407407407,0.649352187118116
2024-09-14,0.0,close1,merab dvalishvili,1.8333333333333333,0.6029631586158266
2024-10-05,0.0,opening,iasmin lucindo,1.8333333333333333,0.7241877523141033
2024-10-05,0.0,opening,joaquin buckley,1.6666666666666663,0.71545738983705
2024-10-05,0.0,close1,carla esparza,2.35,0.560296358450837
2024-10-05,0.0,close1,iasmin lucindo,1.5128205128205128,0.8022004728346426
2024-10-12,0.0,opening,tatsuro taira,1.5128205128205128,0.7846683330631056
2024-10-12,0.0,opening,themba gorimbo,1.3636363636363638,0.8455186347376521
2024-10-12,0.0,close1,jonathan pearce,1.5319148936170213,0.7438930000492778
2024-10-12,0.0,close1,julia polastri,1.8,0.6244158290466768
2024-10-26,0.0,opening,ismail naurdiev,2.24,0.6118583044641075
2024-10-26,0.0,opening,lerone murphy,1.5882352941176472,0.7696900431950858
2024-10-26,0.0,close1,ismail naurdiev,1.5494505494505495,0.7490490964965785
2024-10-26,0.0,close1,ilia topuria,1.3278688524590163,0.8181219187281623
2024-11-16,0.0,opening,mickey gall,2.2,0.5151242831973564
2024-11-16,0.0,opening,jonathan martinez,2.24,0.5057120302929768
2024-11-16,0.0,close1,charles oliveira,1.3636363636363638,0.7849083353617631
