blue_fighter,open_blue,close1_blue,close2_blue,red_fighter,open_red,close1_red,close2_red,event_date,og_blue_name,og_red_fighter
Julius Walker,385,440,530,Abdul Rakhman Yakhyaev,-500,-750,-625,2026-06-27,Julius Walker,Abdul Rakhman Yakhyaev
Brendson Ribeiro,850,290,850,Abdul Rakhman Yakhyaev,-1400,-1600,-410,2026-04-04,Brendson Ribeiro,Abdul Rakhman Yakhyaev
Saygid Izagakhmaev,175,164,210,Abubakar Vagaev,-205,-275,-190,2026-07-25,Saygid Izagakhmaev,Abubakar Vagaev
Michal Oleksiejczuk,165,-125,-110,Abus Magomedov,-190,-110,103,2026-06-27,Michal Oleksiejczuk,Abus Magomedov
Macy Chiasson,109,148,165,Ailin Perez,-129,-195,-180,2026-03-01,Macy Chiasson,Ailin Perez
Stewart Nicoll,550,600,850,Alden Coria,-800,-1500,-1000,2026-07-18,Stewart Nicoll,Alden Coria
Luis Gurule,180,275,350,Alden Coria,-210,-480,-342,2026-02-22,Luis Gurule,Alden Coria
Cody Durden,250,175,200,Alessandro Costa,-300,-250,-205,2026-07-11,Cody Durden,Alessandro Costa
Stewart Nicoll,350,300,350,Alessandro Costa,-450,-450,-400,2026-04-04,Stewart Nicoll,Alessandro Costa
Ciryl Gane,-185,-110,110,Alex Pereira,160,-130,-110,2026-06-15,Ciryl Gane,Alex Pereira
Sumudaerji Sumudaerji,-115,100,132,Alex Perez,-105,-157,-125,2026-05-30,Sumudaerji,Alex Perez
Maycee Barber,-200,-205,-158,Alexa Grasso,170,124,170,2026-03-29,Maycee Barber,Alexa Grasso
Maycee Barber,-130,-117,-110,Alexa Grasso,110,-111,-103,2021-02-13,Maycee Barber,Alexa Grasso
Waldo Cortes-Acosta,160,108,130,Alexander Volkov,-185,-150,-126,2026-05-09,Waldo Cortes Acosta,Alexander Volkov
Bruna Brasil,250,330,650,Alexia Thainara,-300,-1000,-480,2026-03-28,Bruna Brasil,Alexia Thainara
Polyana Viana,230,142,165,Alice Ardelean,-270,-200,-168,2026-05-16,Polyana Viana,Alice Ardelean
Hailey Cowan,-110,110,140,Alice Pereira,-110,-180,-135,2026-04-04,Hailey Cowan,Alice Pereira
Youssef Zalal,135,-141,-125,Aljamain Sterling,-155,105,115,2026-04-25,Youssef Zalal,Aljamain Sterling
Mitch Raposo,210,130,140,Allan Nascimento,-250,-175,-155,2026-06-20,Mitch Raposo,Allan Nascimento
Gillian Robertson,-250,-250,-235,Amanda Lemos,210,194,210,2026-03-14,Gillian Robertson,Amanda Lemos
Gillian Robertson,-110,-205,-188,Amanda Lemos,-110,150,175,2025-12-14,Gillian Robertson,Amanda Lemos
Jose Delgado,-260,-500,-401,Andre Fili,220,301,375,2026-03-14,Jose Delgado,Andre Fili
Kevin Borjas,450,450,600,Andre Lima,-600,-900,-649,2026-06-20,Kevin Borjas,Andre Lima
Xiong Jingnan,-190,-225,-190,Angela Hill,165,155,175,2026-05-30,Xiong Jingnan,Angela Hill
Jingnan Xiong,-200,-105,130,Angela Lee,160,-150,-125,2022-09-30,Xiong Jingnan,Angela Hill
Jing Nan Xiong,-210,-170,-170,Angela Lee,160,130,130,2019-10-12,Xiong Jingnan,Angela Hill
Jing Nan Xiong,270,180,182,Angela Lee,-390,-240,-212,2019-03-31,Xiong Jingnan,Angela Hill
Dione Barbosa,-280,-800,-649,Anna Melisano,240,450,550,2026-07-18,Dione Barbosa,Anna Melisano
Cody Haddon,-300,-460,-350,Aoriqileng,250,260,360,2026-05-30,Cody Haddon,
Melquizael Costa,130,-105,106,Arnold Allen,-150,-132,-115,2026-05-17,Melquizael Costa,Arnold Allen
Charles Johnson,275,210,290,Asu Almabayev,-325,-365,-275,2026-06-27,Charles Johnson,Asu Almabayev
Jose Ochoa,100,-110,-105,Asu Almabaev,-127,-120,-108,2025-07-26,Charles Johnson,Asu Almabayev
