title_fight,event_name,event_date,event_location,fight_url,weight_class,method,round,fight_time,performance_bonus_winner,fight_otn_bonus,winner,fighter_red,fighter_blue,record_red,record_blue,dob_red,dob_blue,height_red,height_blue,reach_red,reach_blue,stance_red,stance_blue,kd_red,kd_blue,sig_str_red,sig_str_blue,sig_str_percent_red,sig_str_percent_blue,td_red,td_blue,td_pct_red,td_pct_blue,clinch_red,clinch_blue,ground_red,ground_blue,sub_att_red,sub_att_blue,rev_red,rev_blue,ctrl_red,ctrl_blue,head_red,head_blue,body_red,body_blue,leg_red,leg_blue,distance_red,distance_blue,total_strikes_red,total_strikes_blue
0,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/fight-details/9009ec7b91f2be14,Light Heavyweight,"KO/TKO, Punches",5,2:41,0,0,Magomed Ankalaev,Magomed Ankalaev,Bogdan Guskov,22-2-1 (1 NC),18-4-1,"Jun 02, 1992","Sep 12, 1992","6' 3""","6' 3""","75""","76""",Orthodox,Orthodox,0,0,54 of 113,39 of 63,47%,61%,2 of 4,0 of 0,50%,---,4 of 4,0 of 0,6 of 11,0 of 0,3,1,0,0,8:26,0:00,19 of 63,2 of 21,26 of 39,3 of 4,9 of 11,34 of 38,44 of 98,39 of 63,156 of 235,45 of 70
0,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/fight-details/c36cd04f8f560f0a,Flyweight,"KO/TKO, Punches",1,4:21,1,0,Ramazan Temirov,Steve Erceg,Ramazan Temirov,14-5-0,20-3-0,"Jul 27, 1995","Jan 31, 1997","5' 8""","5' 4""","68""","63""",Orthodox,Orthodox,0,2,11 of 42,27 of 61,26%,44%,0 of 1,0 of 0,0%,---,1 of 1,0 of 0,0 of 0,2 of 2,0,0,0,0,0:08,0:06,9 of 37,25 of 56,2 of 5,1 of 4,0 of 0,1 of 1,10 of 41,25 of 59,11 of 42,32 of 67
0,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/fight-details/4ace64aa144389c5,Lightweight,U-DEC,3,5:00,0,0,Magomed Zaynukov,Magomed Zaynukov,Damian Rzepecki,9-0-0,10-1-0,"Jan 02, 1995","Nov 23, 2001","5' 10""","5' 10""","68""","71""",Orthodox,Orthodox,0,0,74 of 131,16 of 62,56%,25%,2 of 6,1 of 7,33%,14%,21 of 24,1 of 2,0 of 0,0 of 0,0,0,0,0,0:54,5:02,46 of 93,6 of 46,8 of 15,4 of 8,20 of 23,6 of 8,53 of 107,15 of 60,109 of 167,32 of 80
0,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/fight-details/5ffb251c6ea48b65,Heavyweight,"KO/TKO, Knee",3,1:12,0,1,Rizvan Kuniev,Rizvan Kuniev,Tyrell Fortune,14-3-1 (1 NC),18-4-0 (2 NC),"Mar 10, 1992","Jul 04, 1990","6' 4""","6' 3""","76""","75""",Orthodox,Orthodox,1,0,66 of 120,20 of 43,55%,46%,0 of 0,0 of 2,---,0%,30 of 44,10 of 13,1 of 1,0 of 0,0,0,0,0,2:21,0:00,46 of 94,12 of 33,20 of 26,4 of 5,0 of 0,4 of 5,35 of 75,10 of 30,68 of 122,29 of 52
0,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/fight-details/61280e5644189c61,Welterweight,U-DEC,3,5:00,0,0,Abubakar Vagaev,Abubakar Vagaev,Saygid Izagakhmaev,25-4-0,22-4-0,"Apr 14, 1993","Sep 03, 1994","5' 11""","6' 0""","73""","74""",Orthodox,Orthodox,0,0,27 of 70,33 of 83,38%,39%,4 of 10,2 of 7,40%,28%,7 of 9,8 of 11,2 of 2,2 of 3,0,3,0,0,7:46,2:46,16 of 52,16 of 63,7 of 13,7 of 9,4 of 5,10 of 11,18 of 59,23 of 69,91 of 138,73 of 124
0,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/fight-details/d7070ab1b2144f8d,Heavyweight,"SUB, Calf Slicer",1,1:32,1,0,Valter Walker,Valter Walker,Thomas Petersen,16-1-0,11-5-0,"Dec 14, 1997","Mar 30, 1995","6' 6""","6' 1""","78""","74""",Orthodox,Southpaw,0,0,1 of 1,0 of 1,100%,0%,0 of 0,0 of 1,---,0%,0 of 0,0 of 0,0 of 0,0 of 0,2,0,0,0,0:09,0:37,0 of 0,0 of 1,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,0 of 1,3 of 3,6 of 7
0,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/fight-details/05bc7a042156b6f6,Light Heavyweight,"KO/TKO, Kick",2,4:49,0,0,Muhammad Saidov,Dustin Jacoby,Muhammad Saidov,22-10-1,10-0-0,"Apr 04, 1988","Jan 10, 1996","6' 3""","6' 2""","76""","73""",Orthodox,Orthodox,0,2,34 of 93,60 of 133,36%,45%,0 of 0,0 of 0,---,---,0 of 0,4 of 7,0 of 0,4 of 5,0,0,0,0,0:00,0:02,8 of 45,41 of 105,3 of 11,9 of 16,23 of 37,10 of 12,34 of 93,52 of 121,34 of 93,60 of 133
0,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/fight-details/f6e6b004f07363e9,Welterweight,"KO/TKO, Punches",2,3:06,0,0,Sam Patterson,Santiago Ponzinibbio,Sam Patterson,31-10-0,15-3-1,"Sep 26, 1986","Apr 30, 1996","6' 0""","6' 3""","73""","78""",Orthodox,Orthodox,0,2,14 of 86,64 of 132,16%,48%,0 of 1,0 of 0,0%,---,0 of 0,0 of 0,0 of 0,5 of 7,0,0,0,0,0:00,0:08,10 of 79,58 of 118,1 of 3,6 of 14,3 of 4,0 of 0,14 of 86,59 of 125,14 of 86,65 of 133
0,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/fight-details/a122306d0ce5fbfb,Lightweight,"SUB, D'Arce Choke",1,4:44,0,0,Axel Sola,Ismael Bonfim,Axel Sola,20-7-0,12-1-1,"Dec 28, 1995","Sep 17, 1997","5' 8""","6' 0""","71""","74""",Orthodox,Southpaw,0,1,1 of 3,33 of 44,33%,75%,1 of 3,0 of 0,33%,---,0 of 0,25 of 25,0 of 0,6 of 15,0,1,0,0,2:03,2:03,0 of 1,31 of 42,0 of 0,2 of 2,1 of 2,0 of 0,1 of 3,2 of 4,1 of 3,77 of 96
0,UFC Fight Night: Ankalaev vs. Guskov,2026-07-25," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/fight-details/3ac870d6e7d323b7,Light Heavyweight,U-DEC,3,5:00,0,0,Magomed Tuchalov,Magomed Tuchalov,Brendson Ribeiro,7-0-0,17-11-0 (1 NC),"Dec 30, 1999","Sep 08, 1996","6' 3""","6' 3""","78""","81""",Orthodox,Orthodox,0,0,35 of 80,39 of 118,43%,33%,8 of 14,0 of 1,57%,0%,0 of 0,0 of 0,1 of 3,2 of 3,1,0,0,0,4:20,0:08,12 of 46,18 of 73,5 of 14,4 of 11,18 of 20,17 of 34,34 of 77,37 of 115,57 of 110,49 of 130
