red_fighter,blue_fighter,open_blue,close1_blue,close2_blue,open_red,close1_red,close2_red,og_blue_name,event_date,og_red_fighter
Alexander Volkanovski,Movsar Evloev,-110,-113,-107,-120,-120,-110,Movsar Evloev,2026-10-24,Alexander Volkanovski
Arman Tsarukyan,Mauricio Ruffy,280,280,303,-350,-400,-380,Mauricio Ruffy,2026-09-19,Arman Tsarukyan
Court McGee,Marcio Alexandre Jr.,135,140,145,-175,-165,-160,Eric Nolan,2015-12-12,Court McGee
Dan Hooker,Salahdine Parnasse,-400,-750,-450,300,333,534,Salahdine Parnasse,2026-09-05,Dan Hooker
Daniil Donchenko,Punahele Soriano,195,168,183,-235,-225,-215,Punahele Soriano,2026-09-05,Daniil Donchenko
David Martinez,Murad Guseinov,-275,-275,-275,200,200,200,Dan Ige,2023-11-25,David Martinez
Deiveson Figueiredo,Payton Talbott,-250,-550,-550,207,415,415,Payton Talbott,2026-10-04,Deiveson Figueiredo
Delphine Benouaich,Sofia Montenegro,-150,126,151,130,-182,-162,Sofia Montenegro,2026-09-05,
Fares Ziam,Axel Sola,153,118,135,-175,-157,-150,Axel Sola,2026-09-05,Fares Ziam
Gable Steveson,Sean Sharaf,900,600,800,-1600,-1800,-1408,Sean Sharaf,2026-09-19,Gable Steveson
Jj Aldrich,Gillian Robertson,-160,-139,-115,140,-105,115,Regina Tarin,2022-03-12,JJ Aldrich
Jean Silva,Jose Delgado,295,300,355,-360,-450,-400,Jose Delgado,2026-09-12,Jean Silva
Joshua van,Alexandre Pantoja,-185,-112,-105,160,-120,-112,Alexandre Pantoja,2026-09-19,Joshua Van
Joshua van,Alexandre Pantoja,-270,-235,-185,230,160,195,Alexandre Pantoja,2025-12-07,Joshua Van
Kurtis Campbell,Trevor Peek,285,250,270,-355,-370,-333,Trevor Peek,2026-09-05,Kurtis Campbell
Losene Keita,Muhammad Naimov,207,210,289,-250,-360,-275,Muhammad Naimov,2026-09-05,Losene Keita
Mario Pinto,Ryan Spann,189,195,210,-225,-280,-235,Ryan Spann,2026-09-05,Mario Pinto
Marlon Vera,Jose Aldo,-125,-161,-137,105,117,130,Charles Jourdain,2020-12-19,Marlon Vera
Matthieu Duclos,Luis Felipe Dias,-300,-106,110,245,-138,-120,Luis Felipe Dias,2026-09-05,Matthieu Duclos
Michael Aljarouj,Fabia Sintes,192,120,145,-230,-166,-150,Fabia Sintes,2026-09-05,Michael Aljarouj
Michael Page,Nursulton Ruziboev,145,135,150,-165,-188,-155,Nursulton Ruziboev,2026-09-05,Michael Page
Montel Jackson,Ricky Simon,-175,105,110,145,-130,-125,Ricky Simon,2018-08-04,Montel Jackson
Morgan Charriere,Felipe Lima,-185,-210,-200,161,162,174,Felipe Lima,2026-09-05,Morgan Charriere
Nathaniel Wood,Mairon Santos,-134,-134,-134,108,108,108,Mairon Santos,2026-09-05,Nathaniel Wood
Nikita Krylov,Ed Herman,160,200,205,-210,-240,-240,Abdul Rakhman Yakhyaev,2016-07-30,Nikita Krylov
Nora Cornolle,Klaudia Sygula,207,100,108,-250,-136,-120,Klaudia Sygula,2026-09-05,
Oumar Sy,Modestas Bukauskas,167,144,157,-192,-188,-180,Modestas Bukauskas,2026-09-05,Oumar Sy
Petr Yan,Merab Dvalishvili,150,132,174,-175,-200,-170,Merab Dvalishvili,2026-10-24,Petr Yan
Petr Yan,Merab Dvalishvili,-330,-440,150,240,-175,340,Merab Dvalishvili,2025-12-07,Petr Yan
Petr Yan,Merab Dvalishvili,150,200,220,-175,-286,-240,Merab Dvalishvili,2023-03-11,Petr Yan
Renato Moicano,Brian Ortega,140,158,160,-180,-185,-183,Brian Ortega,2017-07-29,Renato Moicano
Tai Tuivasa,Robelis Despaigne,-400,-600,-500,316,350,430,Robelis Despaigne,2026-09-19,Tai Tuivasa
