red_fighter,blue_fighter,open_blue,close1_blue,close2_blue,open_red,close1_red,close2_red,event_date,og_blue_name,og_red_fighter
Alex Pereira,Ciryl Gane,-185,-112,-105,+160,-120,-110,2026-06-15,Ciryl Gane,Alex Pereira
Alexa Grasso,Maycee Barber,-200,-158,-145,+170,+124,+125,2026-03-28,Maycee Barber,Alexa Grasso
Alexa Grasso,Maycee Barber,-130,-117,-110,+110,-111,-103,2021-02-13,Maycee Barber,Alexa Grasso
Alexander Volkov,Waldo Cortes-Acosta,+160,+105,+130,-185,-158,-138,2026-05-10,Waldo Cortes Acosta,Alexander Volkov
Alexia Thainara,Bruna Brasil,+250,+330,+385,-300,-500,-480,2026-03-28,Bruna Brasil,Alexia Thainara
Ateba Gautier,Ozzy Diaz,+650,+650,+650,-1000,-1000,-1000,2025-10-05,Ozzy Diaz,
Belal Muhammad,Geoff Neal,-155,-227,-200,+115,+162,+170,2019-01-19,Gabriel Bonfim,Belal Muhammad
Bo Nickal,Kyle Daukaus,+250,+240,+275,-300,-350,-330,2026-06-15,Kyle Daukaus,
Casey Oneill,Gabriella Fernandes,-130,-113,-110,+110,-113,-110,2026-03-28,Gabriella Fernandes,Casey O'Neill
Chase Hooper,Lance Gibson Jr,+285,+210,+210,-350,-280,-250,2026-03-28,Lance Gibson Jr.,Chase Hooper
Curtis Blaydes,Jairzinho Rozenstruik,+198,+240,+290,-240,-380,-300,2021-09-25,Josh Hokit,Curtis Blaydes
Diego Lopes,Steve Garcia,+190,+140,+160,-225,-200,-175,2026-06-15,Steve Garcia,Diego Lopes
Ignacio Bahamondes,Tofiq Musayev,+175,+220,+230,-200,-295,-265,2026-03-28,Tofiq Musayev,Ignacio Bahamondes
Ilia Topuria,Justin Gaethje,+385,+350,+525,-500,-770,-520,2026-06-15,Justin Gaethje,Ilia Topuria
Israel Adesanya,Joe Pyfer,-110,-110,+110,-110,-134,-110,2026-03-28,Joe Pyfer,Israel Adesanya
Iwo Baraniewski,Austen Lane,+350,+400,+475,-450,-650,-549,2026-03-21,Austen Lane,
Jack Della Maddalena,Carlos Prates,-175,-110,+100,+150,-125,-110,2026-05-02,Carlos Prates,Jack Della Maddalena
Jan Blachowicz,Bogdan Guskov,-140,-174,-155,+120,+120,+136,2026-05-10,Bogdan Guskov,Jan Blachowicz
Jan Blachowicz,Bogdan Guskov,+130,-126,-120,-150,-105,+108,2025-12-07,Bogdan Guskov,Jan Blachowicz
Jiri Prochazka,Carlos Ulberg,-170,-105,+114,+145,-146,-120,2026-04-11,Carlos Ulberg,Jiri Prochazka
Joshua van,Tatsuro Taira,-150,-194,-170,+130,+143,+150,,Tatsuro Taira,Joshua Van
Julian Erosa,Lerryan Douglas,-350,-320,-286,+285,+235,+246,2026-03-28,Lerryan Douglas,Julian Erosa
Khamzat Chimaev,Sean Strickland,+300,+310,+390,-400,-530,-440,2026-05-10,Sean Strickland,Khamzat Chimaev
King Green,Jeremy Stephens,+170,+175,+235,-200,-275,-250,2026-05-10,Jeremy Stephens,King Green
Kurtis Campbell,Danny Silva,+105,+175,+200,-125,-245,-225,2026-03-21,Danny Silva,Kurtis Campbell
Louie Sutherland,Brando Pericic,+145,-275,-250,-170,+205,+210,2026-03-21,Brando Pericic,Louie Sutherland
Luke Riley,Michael Aswell,+130,+150,+180,-150,-225,-185,2026-03-21,Michael Aswell Jr.,Luke Riley
Mansur Abdul-Malik,Yousri Belgaroui,-110,+118,+125,-110,-158,-138,2026-03-28,Yousri Belgaroui,Mansur Abdul-Malik
Mantas Kondratavicius,Antonio Trocoli,+300,+450,+550,-400,-800,-649,2026-03-21,Antonio Trocoli,
Marcin Tybura,Tyrell Fortune,+140,-122,-118,-160,-104,+100,2026-03-28,Tyrell Fortune,Marcin Tybura
Mario Pinto,Felipe Franco,+250,+500,+650,-300,-1000,-800,2026-03-21,Felipe Franco,Mario Pinto
Mason Jones,Axel Sola,+185,+110,+135,-220,-160,-138,2026-03-21,Axel Sola,Mason Jones
Mauricio Ruffy,Michael Chandler,+500,+330,+450,-700,-649,-480,2026-06-15,Michael Chandler,Mauricio Ruffy
Michael Page,Sam Patterson,+135,+144,+163,-155,-205,-178,2026-03-21,Sam Patterson,Michael Page
Movsar Evloev,Lerone Murphy,+210,+175,+200,-250,-250,-225,2026-03-21,Lerone Murphy,Movsar Evloev
Nathaniel Wood,Losene Keita,-150,-275,-225,+130,+175,+230,2026-03-21,Losene Keita,Nathaniel Wood
Navajo Stirling,Bruno Lopes,+355,+310,+345,-425,-440,-415,2026-03-28,Bruno Lopes,Navajo Stirling
Ricky Simon,Adrian Yanez,-110,+124,+130,-110,-158,-150,2026-03-28,Adrian Yanez,Ricky Simon
Roman Dolidze,Christian Leroy Duncan,-250,-500,-400,+210,+300,+370,2026-03-21,Christian Leroy Duncan,Roman Dolidze
Sean Brady,Joaquin Buckley,+250,+150,+170,-300,-215,-200,2026-05-10,Joaquin Buckley,Sean Brady
Shanelle Dyer,Ravena Oliveira,+170,+330,+400,-200,-550,-450,2026-03-21,Ravena Oliveira,Shanelle Dyer
Shem Rock,Abdul-Kareem Al-Selwady,-185,-118,+111,+160,-131,-104,2026-03-21,Abdul-Kareem Al-Selwady,Shem Rock
Steve Garcia,Melquizael Costa,-275,-810,-230,+225,+190,+500,2023-12-10,Tim Elliott,Steve Erceg
Terrance McKinney,Kyle Nelson,+150,+118,+121,-175,-150,-140,2026-03-28,Kyle Nelson,Terrance McKinney
