blue_fighter,open_blue,close1_blue,close2_blue,red_fighter,open_red,close1_red,close2_red,event_date,og_blue_name,og_red_fighter
Brendson Ribeiro,+850,+850,+850,Abdul Rakhman Yakhyaev,-1400,-1400,-1400,2026-04-04,Brendson Ribeiro,Abdul Rakhman Yakhyaev
Ciryl Gane,-185,-112,+110,Alex Pereira,+160,-130,-112,2026-06-15,Ciryl Gane,Alex Pereira
Maycee Barber,-200,-175,-158,Alexa Grasso,+170,+124,+145,2026-03-28,Maycee Barber,Alexa Grasso
Maycee Barber,-130,-117,-110,Alexa Grasso,+110,-111,-103,2021-02-13,Maycee Barber,Alexa Grasso
Waldo Cortes-Acosta,+160,+105,+130,Alexander Volkov,-185,-158,-138,2026-05-10,Waldo Cortes Acosta,Alexander Volkov
Bruna Brasil,+250,+330,+470,Alexia Thainara,-300,-649,-480,2026-03-28,Bruna Brasil,Alexia Thainara
Ozzy Diaz,+650,+650,+650,Ateba Gautier,-1000,-1000,-1000,2025-10-05,Ozzy Diaz,
Geoff Neal,-155,-227,-200,Belal Muhammad,+115,+162,+170,2019-01-19,Gabriel Bonfim,Belal Muhammad
Kyle Daukaus,+250,+240,+250,Bo Nickal,-300,-350,-280,2026-06-15,Kyle Daukaus,
Gabriella Fernandes,-130,-135,-113,Casey Oneill,+110,-113,+115,2026-03-28,Gabriella Fernandes,Casey O'Neill
Lance Gibson Jr,+285,+190,+210,Chase Hooper,-350,-280,-240,2026-03-28,Lance Gibson Jr.,Chase Hooper
Jairzinho Rozenstruik,+198,+240,+290,Curtis Blaydes,-240,-380,-300,2021-09-25,Josh Hokit,Curtis Blaydes
Steve Garcia,+190,+140,+160,Diego Lopes,-225,-200,-175,2026-06-15,Steve Garcia,Diego Lopes
Tofiq Musayev,+175,+220,+250,Ignacio Bahamondes,-200,-333,-295,2026-03-28,Tofiq Musayev,Ignacio Bahamondes
Justin Gaethje,+385,+350,+525,Ilia Topuria,-500,-770,-520,2026-06-15,Justin Gaethje,Ilia Topuria
Joe Pyfer,-110,+102,+118,Israel Adesanya,-110,-140,-130,2026-03-29,Joe Pyfer,Israel Adesanya
Carlos Prates,-175,-110,+100,Jack Della Maddalena,+150,-125,-110,2026-05-02,Carlos Prates,Jack Della Maddalena
Bogdan Guskov,-140,-174,-145,Jan Blachowicz,+120,+120,+136,2026-05-10,Bogdan Guskov,Jan Blachowicz
Bogdan Guskov,+130,-126,-120,Jan Blachowicz,-150,-105,+108,2025-12-07,Bogdan Guskov,Jan Blachowicz
Carlos Ulberg,-170,-105,+114,Jiri Prochazka,+145,-146,-120,2026-04-11,Carlos Ulberg,Jiri Prochazka
Tatsuro Taira,-150,-194,-180,Joshua van,+130,+143,+160,,Tatsuro Taira,Joshua Van
Lerryan Douglas,-350,-320,-275,Julian Erosa,+285,+210,+250,2026-03-29,Lerryan Douglas,Julian Erosa
Sean Strickland,+300,+310,+410,Khamzat Chimaev,-400,-560,-440,2026-05-10,Sean Strickland,Khamzat Chimaev
Jeremy Stephens,+170,+175,+250,King Green,-200,-300,-250,2026-05-10,Jeremy Stephens,King Green
Yousri Belgaroui,-110,-105,+124,Mansur Abdul-Malik,-110,-158,-116,2026-03-29,Yousri Belgaroui,Mansur Abdul-Malik
Tyrell Fortune,+140,-132,-122,Marcin Tybura,-160,-104,+110,2026-03-28,Tyrell Fortune,Marcin Tybura
Michael Chandler,+500,+330,+450,Mauricio Ruffy,-700,-649,-480,2026-06-15,Michael Chandler,Mauricio Ruffy
Bruno Lopes,+355,+310,+450,Navajo Stirling,-425,-600,-440,2026-03-28,Bruno Lopes,Navajo Stirling
Chris Duncan,-175,-170,-170,Renato Moicano,+150,+145,+145,2026-04-04,Chris Duncan,Renato Moicano
Adrian Yanez,-110,+118,+124,Ricky Simon,-110,-158,-140,2026-03-28,Adrian Yanez,Ricky Simon
Joaquin Buckley,+250,+150,+170,Sean Brady,-300,-215,-200,2026-05-10,Joaquin Buckley,Sean Brady
Melquizael Costa,-275,-810,-230,Steve Garcia,+225,+190,+500,2023-12-10,Tim Elliott,Steve Erceg
Kyle Nelson,+150,+118,+145,Terrance McKinney,-175,-180,-150,2026-03-28,Kyle Nelson,Terrance McKinney
Tabatha Ricci,+135,+110,+110,Virna Jandiroba,-155,-130,-130,2026-04-04,Tabatha Ricci,Virna Jandiroba
