title_fight,fighter_red,fighter_blue,weight_class,event_date,event_location,reach_red,reach_blue,height_red,height_blue,dob_red,dob_blue
0,Jack Della Maddalena,Carlos Prates,Welterweight,2026-05-02," Perth, Western Australia, Australia","73""","78""","5' 11""","6' 1""","Sep 10, 1996","Aug 17, 1993"
0,Beneil Dariush,Quillan Salkilld,Lightweight,2026-05-02," Perth, Western Australia, Australia","72""","75""","5' 10""","6' 0""","May 06, 1989","Dec 28, 1999"
0,Tim Elliott,Steve Erceg,Flyweight,2026-05-02," Perth, Western Australia, Australia","66""","68""","5' 7""","5' 8""","Dec 24, 1986","Jul 27, 1995"
0,Marwan Rahiki,Ollie Schmid,Featherweight,2026-05-02," Perth, Western Australia, Australia","72""","71""","5' 8""","6' 0""","May 10, 2002","Dec 28, 2000"
0,Shamil Gaziev,Brando Pericic,Heavyweight,2026-05-02," Perth, Western Australia, Australia","78""","79""","6' 4""","6' 5""","Feb 10, 1990","Aug 03, 1994"
0,Tai Tuivasa,Louie Sutherland,Heavyweight,2026-05-02," Perth, Western Australia, Australia","75""","76""","6' 2""","6' 3""","Mar 16, 1993","Feb 08, 1994"
0,Cam Rowston,Robert Bryczek,Middleweight,2026-05-02," Perth, Western Australia, Australia","78""","75""","6' 3""","6' 0""","Jan 19, 1995","Jul 04, 1990"
0,Junior Tafa,Kevin Christian,Light Heavyweight,2026-05-02," Perth, Western Australia, Australia","75""","80""","6' 3""","6' 7""","Sep 21, 1996","Jan 21, 1995"
0,Jacob Malkoun,Gerald Meerschaert,Middleweight,2026-05-02," Perth, Western Australia, Australia","73""","77""","5' 9""","6' 1""","Aug 26, 1995","Dec 18, 1987"
0,Colby Thicknesse,Vince Morales,Bantamweight,2026-05-02," Perth, Western Australia, Australia","69""","70""","5' 7""","5' 7""","Jun 23, 1999","Nov 12, 1990"
0,Ben Johnston,Wes Schultz,Middleweight,2026-05-02," Perth, Western Australia, Australia","76""","77""","6' 4""","6' 1""","Oct 11, 1990","Aug 09, 1996"
0,Jonathan Micallef,Themba Gorimbo,Welterweight,2026-05-02," Perth, Western Australia, Australia","77""","77""","6' 0""","6' 1""","Mar 05, 1999","Jan 23, 1991"
0,Dom Mar Fan,Kody Steele,Lightweight,2026-05-02," Perth, Western Australia, Australia","75""","71""","5' 11""","5' 9""","Mar 19, 2000","Apr 21, 1995"
1,Khamzat Chimaev,Sean Strickland,Middleweight,2026-05-09," Newark, New Jersey, USA","75""","76""","6' 2""","6' 1""","May 01, 1994","Feb 27, 1991"
1,Joshua Van,Tatsuro Taira,Flyweight,2026-05-09," Newark, New Jersey, USA","65""","70""","5' 5""","5' 7""","Oct 10, 2001","Jan 27, 2000"
1,Alexander Volkov,Waldo Cortes Acosta,Heavyweight,2026-05-09," Newark, New Jersey, USA","80""","78""","6' 7""","6' 4""","Oct 24, 1988","Oct 03, 1991"
1,Sean Brady,Joaquin Buckley,Welterweight,2026-05-09," Newark, New Jersey, USA","72""","76""","5' 10""","5' 10""","Nov 23, 1992","Apr 27, 1994"
1,King Green,Jeremy Stephens,Lightweight,2026-05-09," Newark, New Jersey, USA","71""","71""","5' 10""","5' 9""","Sep 09, 1986","May 25, 1986"
1,Ateba Gautier,Ozzy Diaz,Middleweight,2026-05-09," Newark, New Jersey, USA","81""","79""","6' 4""","6' 4""","Apr 10, 2002","Nov 22, 1990"
1,Joel Alvarez,Yaroslav Amosov,Welterweight,2026-05-09," Newark, New Jersey, USA","77""","75""","6' 3""","6' 0""","Mar 02, 1993","Sep 09, 1993"
1,Grant Dawson,Mateusz Rebecki,Lightweight,2026-05-09," Newark, New Jersey, USA","72""","66""","5' 10""","5' 7""","Feb 20, 1994","Oct 03, 1992"
1,Jim Miller,Jared Gordon,Lightweight,2026-05-09," Newark, New Jersey, USA","71""","68""","5' 8""","5' 9""","Aug 30, 1983","Sep 06, 1988"
1,Roman Kopylov,Marco Tulio,Middleweight,2026-05-09," Newark, New Jersey, USA","75""","74""","6' 0""","6' 0""","May 04, 1992","Jun 13, 1994"
1,Pat Sabatini,William Gomis,Featherweight,2026-05-09," Newark, New Jersey, USA","70""","73""","5' 8""","6' 0""","Nov 09, 1990","Jun 13, 1997"
1,Baisangur Susurkaev,Djorden Santos,Middleweight,2026-05-09," Newark, New Jersey, USA","79""","75""","6' 2""","6' 0""","Jan 08, 2001","Aug 01, 1997"
1,Clayton Carpenter,Jose Ochoa,Flyweight,2026-05-09," Newark, New Jersey, USA","66""","67""","5' 6""","5' 7""","Jun 09, 1996","Dec 31, 2000"
0,Arnold Allen,Melquizael Costa,Featherweight,2026-05-16," Las Vegas, Nevada, USA","70""","71""","5' 8""","5' 10""","Jan 22, 1994","Sep 14, 1996"
0,Dooho Choi,Daniel Santos,Featherweight,2026-05-16," Las Vegas, Nevada, USA","70""","67""","5' 10""","5' 7""","Apr 10, 1991","Mar 12, 1995"
0,Malcolm Wellmaker,Juan Diaz,Bantamweight,2026-05-16," Las Vegas, Nevada, USA","71""","69""","5' 10""","5' 8""","Jun 04, 1994","Jun 03, 1998"
0,Modestas Bukauskas,Rodolfo Bellato,Light Heavyweight,2026-05-16," Las Vegas, Nevada, USA","76""","75""","6' 3""","6' 3""","Feb 10, 1994","Feb 05, 1996"
0,Timmy Cuamba,Benardo Sopaj,Bantamweight,2026-05-16," Las Vegas, Nevada, USA","71""","66""","5' 9""","5' 6""","Feb 08, 1999","Sep 25, 2000"
0,Jeremiah Wells,Nicolas Dalby,Welterweight,2026-05-16," Las Vegas, Nevada, USA","74""","74""","5' 9""","5' 11""","Oct 30, 1986","Nov 16, 1984"
0,Tuco Tokkos,Ivan Erslan,Light Heavyweight,2026-05-16," Las Vegas, Nevada, USA","76""","72""","6' 4""","6' 2""","Jun 30, 1990","Nov 15, 1991"
0,Trey Ogden,Tommy Gantt,Lightweight,2026-05-16," Las Vegas, Nevada, USA","72""","76""","5' 11""","5' 11""","Nov 14, 1989","Jan 09, 1993"
0,Ketlen Vieira,Jacqueline Cavalcanti,Women's Bantamweight,2026-05-16," Las Vegas, Nevada, USA","68""","70""","5' 8""","5' 8""","Aug 26, 1991","Aug 29, 1997"
0,Cody Brundage,Andre Petroski,Middleweight,2026-05-16," Las Vegas, Nevada, USA","72""","73""","6' 0""","6' 0""","May 16, 1994","Jun 12, 1991"
0,Alice Ardelean,Polyana Viana,Women's Strawweight,2026-05-16," Las Vegas, Nevada, USA","62""","67""","5' 3""","5' 5""","Apr 19, 1992","Jun 14, 1992"
0,Daniel Barez,Luis Gurule,Flyweight,2026-05-16," Las Vegas, Nevada, USA","66""","64""","5' 6""","5' 5""","Dec 10, 1988","Nov 16, 1993"
0,Shauna Bannon,Nicolle Caliari,Women's Strawweight,2026-05-16," Las Vegas, Nevada, USA","65""","62""","5' 5""","5' 3""","Oct 23, 1993","Nov 04, 1996"
0,Song Yadong,Deiveson Figueiredo,Bantamweight,2026-05-30," Macau, China","67""","68""","5' 8""","5' 5""","Dec 02, 1997","Dec 18, 1987"
0,Zhang Mingyang,Alonzo Menifield,Light Heavyweight,2026-05-30," Macau, China","75""","76""","6' 2""","6' 0""","Aug 16, 1998","Oct 18, 1987"
0,Sergei Pavlovich,Tallison Teixeira,Heavyweight,2026-05-30," Macau, China","84""","83""","6' 3""","6' 7""","May 13, 1992","Dec 07, 1999"
0,Kai Asakura,Cameron Smotherman,Bantamweight,2026-05-30," Macau, China","69""","69""","5' 8""","5' 9""","Oct 31, 1993","Sep 17, 1997"
0,Alex Perez,Sumudaerji,Flyweight,2026-05-30," Macau, China","65""","72""","5' 6""","5' 8""","Mar 21, 1992","Jan 20, 1996"
0,Muslim Salikhov,Jake Matthews,Welterweight,2026-05-30," Macau, China","70""","73""","5' 11""","5' 11""","Jun 09, 1984","Aug 19, 1994"
0,Yi Sak Lee,Luis Felipe Dias,Middleweight,2026-05-30," Macau, China",--,"74""",--,"5' 10""","Jan 01, 2000","Jan 17, 1995"
0,Aoriqileng,Cody Haddon,Bantamweight,2026-05-30," Macau, China","69""","69""","5' 7""","5' 7""","Jun 25, 1993","Sep 08, 1998"
0,Rei Tsuruya,Jesus Aguilar,Flyweight,2026-05-30," Macau, China","68""","62""","5' 6""","5' 4""","Jun 22, 2002","Mar 13, 1996"
0,Angela Hill,Xiong Jingnan,Women's Strawweight,2026-05-30," Macau, China","64""",--,"5' 3""",--,"Jan 12, 1985","Jan 12, 1988"
0,Loma Lookboonmee,Jaqueline Amorim,Women's Strawweight,2026-05-30," Macau, China","61""","68""","5' 1""","5' 3""","Jan 18, 1996","Jun 24, 1995"
0,Zhu Kangjie,Ramon Taveras,Featherweight,2026-05-30," Macau, China","70""","70""","5' 8""","5' 8""","Jan 16, 1996","Jan 09, 1994"
0,Belal Muhammad,Gabriel Bonfim,Welterweight,2026-06-06," Las Vegas, Nevada, USA","72""","72""","5' 11""","6' 1""","Jul 09, 1988","Aug 20, 1997"
0,Iwo Baraniewski,Billy Elekana,Light Heavyweight,2026-06-06," Las Vegas, Nevada, USA","73""","77""","6' 0""","6' 3""","Nov 20, 1998","May 28, 1995"
0,Imanol Rodriguez,Matt Schnell,Flyweight,2026-06-06," Las Vegas, Nevada, USA","64""","70""","5' 4""","5' 8""","Nov 15, 1999","Jan 15, 1990"
0,Bruno Silva,Edgar Chairez,Flyweight,2026-06-06," Las Vegas, Nevada, USA","65""","71""","5' 4""","5' 7""","Mar 16, 1990","Jan 27, 1996"
0,Jeisla Chaves,Yuneisy Duben,Women's Flyweight,2026-06-06," Las Vegas, Nevada, USA","68""","65""","5' 6""","5' 4""","Feb 02, 1997","Jul 08, 1996"
0,Brendan Allen,Edmen Shahbazyan,Middleweight,2026-06-06," Las Vegas, Nevada, USA","75""","75""","6' 2""","6' 2""","Dec 28, 1995","Nov 20, 1997"
0,Bryce Mitchell,Victor Henry,Bantamweight,2026-06-06," Las Vegas, Nevada, USA","70""","68""","5' 10""","5' 7""","Oct 04, 1994","May 04, 1987"
0,Marcus McGhee,Jakub Wiklacz,Bantamweight,2026-06-06," Las Vegas, Nevada, USA","69""","72""","5' 8""","5' 10""","May 07, 1990","Sep 10, 1996"
0,Jordan Leavitt,Joanderson Brito,Featherweight,2026-06-06," Las Vegas, Nevada, USA","71""","72""","5' 9""","5' 8""","Jun 02, 1995","Feb 11, 1995"
0,Fares Ziam,Tom Nolan,Lightweight,2026-06-06," Las Vegas, Nevada, USA","75""","73""","6' 1""","6' 3""","Mar 21, 1997","Mar 08, 2000"
0,Ketlen Souza,Ariane Carnelossi,Women's Strawweight,2026-06-06," Las Vegas, Nevada, USA","63""","61""","5' 3""","5' 2""","Aug 18, 1994","Nov 17, 1992"
0,Priscila Cachoeira,Chelsea Chandler,Women's Bantamweight,2026-06-06," Las Vegas, Nevada, USA","65""","68""","5' 7""","5' 8""","Aug 19, 1988","Nov 23, 1990"
1,Ilia Topuria,Justin Gaethje,Lightweight,2026-06-14," Washington, DC, USA","69""","70""","5' 7""","5' 11""","Jan 21, 1997","Nov 14, 1988"
1,Alex Pereira,Ciryl Gane,Heavyweight,2026-06-14," Washington, DC, USA","79""","81""","6' 4""","6' 4""","Jul 07, 1987","Apr 12, 1990"
1,Sean O'Malley,Aiemann Zahabi,Bantamweight,2026-06-14," Washington, DC, USA","72""","68""","5' 11""","5' 8""","Oct 24, 1994","Nov 19, 1987"
1,Mauricio Ruffy,Michael Chandler,Lightweight,2026-06-14," Washington, DC, USA","75""","71""","5' 11""","5' 8""","Jun 17, 1996","Apr 24, 1986"
1,Bo Nickal,Kyle Daukaus,Middleweight,2026-06-14," Washington, DC, USA","76""","76""","6' 1""","6' 2""","Jan 14, 1996","Feb 27, 1993"
1,Diego Lopes,Steve Garcia,Featherweight,2026-06-14," Washington, DC, USA","72""","75""","5' 11""","6' 0""","Dec 30, 1994","May 22, 1992"
1,Josh Hokit,Derrick Lewis,Heavyweight,2026-06-14," Washington, DC, USA","73""","79""","6' 1""","6' 3""","Nov 12, 1997","Feb 07, 1985"
0,Allan Nascimento,Mitch Raposo,Flyweight,2026-06-20," Las Vegas, Nevada, USA","69""","64""","5' 8""","5' 5""","Sep 11, 1991","Oct 16, 1998"
