title_fight,fighter_red,fighter_blue,weight_class,event_date,event_location,reach_red,reach_blue,height_red,height_blue,dob_red,dob_blue
0,Movsar Evloev,Lerone Murphy,Featherweight,2026-03-21," London, England, United Kingdom","72""","73""","5' 7""","5' 9""","Feb 11, 1994","Jul 22, 1991"
0,Luke Riley,Michael Aswell Jr.,Featherweight,2026-03-21," London, England, United Kingdom","69""","69""","5' 9""","5' 8""","Jun 30, 1999","Sep 27, 2000"
0,Michael Page,Sam Patterson,Welterweight,2026-03-21," London, England, United Kingdom","79""","78""","6' 3""","6' 3""","Apr 07, 1987","Apr 30, 1996"
0,Iwo Baraniewski,Austen Lane,Light Heavyweight,2026-03-21," London, England, United Kingdom","73""","80""","6' 0""","6' 6""","Nov 20, 1998","Nov 09, 1987"
0,Roman Dolidze,Christian Leroy Duncan,Middleweight,2026-03-21," London, England, United Kingdom","76""","79""","6' 2""","6' 2""","Jul 15, 1988","Jul 24, 1995"
0,Kurtis Campbell,Danny Silva,Featherweight,2026-03-21," London, England, United Kingdom","72""","70""","5' 9""","5' 11""","Jul 29, 2002","Jan 30, 1997"
0,Mason Jones,Axel Sola,Lightweight,2026-03-21," London, England, United Kingdom","74""","74""","5' 10""","6' 2""","Apr 26, 1995","Sep 17, 1997"
0,Nathaniel Wood,Losene Keita,Featherweight,2026-03-21," London, England, United Kingdom","69""","72""","5' 6""","5' 7""","May 08, 1993","Dec 30, 1997"
0,Mario Pinto,Felipe Franco,Heavyweight,2026-03-21," London, England, United Kingdom","79""","76""","6' 5""","6' 1""","Mar 14, 1998","Jan 22, 2001"
0,Mantas Kondratavicius,Antonio Trocoli,Middleweight,2026-03-21," London, England, United Kingdom","75""","80""","6' 2""","6' 5""","Jul 17, 1999","Dec 06, 1990"
0,Louie Sutherland,Brando Pericic,Heavyweight,2026-03-21," London, England, United Kingdom","76""","79""","6' 3""","6' 5""","Feb 08, 1994","Aug 03, 1994"
0,Shem Rock,Abdul-Kareem Al-Selwady,Lightweight,2026-03-21," London, England, United Kingdom","73""","69""","5' 11""","5' 8""","Nov 05, 1993","Apr 10, 1995"
0,Shanelle Dyer,Ravena Oliveira,Women's Strawweight,2026-03-21," London, England, United Kingdom","65""","65""","5' 6""","5' 5""","Apr 23, 2001","Feb 20, 1997"
