date,fighter_red,fighter_blue,open_red,open_blue,close1_red,close2_red,close1_blue,close2_blue,pred_name_open,pred_winner_open,choice_proba_open,fstar_open,stake_open,edge_open,ev_open,pred_name_close1,pred_winner_close1,choice_proba_close1,fstar_close1,stake_close1,edge_close1,ev_close1,pred_name_close2,pred_winner_close2,choice_proba_close2,fstar_close2,stake_close2,edge_close2,ev_close2,pred_name_close1_stack,pred_winner_close1_stack,choice_proba_close1_stack,fstar_close1_stack,stake_close1_stack,edge_close1_stack,ev_close1_stack,pred_name_close2_stack,pred_winner_close2_stack,choice_proba_close2_stack,fstar_close2_stack,stake_close2_stack,edge_close2_stack,ev_close2_stack
2026-07-25,nurullo aliev,mike davis,,,,,,,mike davis,0,,,,,,mike davis,0,,,,,,mike davis,0,,,,,,,,,,,,,,,,,,,
2026-07-25,magomed tuchalov,brendson ribeiro,,,,,,,brendson ribeiro,0,,,,,,brendson ribeiro,0,,,,,,brendson ribeiro,0,,,,,,,,,,,,,,,,,,,
2026-07-25,uran satybaldiev,dustin jacoby,,,,,,,dustin jacoby,0,,,,,,dustin jacoby,0,,,,,,dustin jacoby,0,,,,,,,,,,,,,,,,,,,
2026-07-25,valter walker,thomas petersen,,,,,,,thomas petersen,0,,,,,,thomas petersen,0,,,,,,thomas petersen,0,,,,,,,,,,,,,,,,,,,
2026-07-25,rizvan kuniev,tyrell fortune,,,,,,,tyrell fortune,0,,,,,,tyrell fortune,0,,,,,,tyrell fortune,0,,,,,,,,,,,,,,,,,,,
2026-07-25,magomed zaynukov,damian rzepecki,,,,,,,damian rzepecki,0,,,,,,damian rzepecki,0,,,,,,damian rzepecki,0,,,,,,,,,,,,,,,,,,,
2026-07-25,steve erceg,ramazan temirov,,,,,,,ramazan temirov,0,,,,,,ramazan temirov,0,,,,,,ramazan temirov,0,,,,,,,,,,,,,,,,,,,
2026-07-25,magomed ankalaev,khalil rountree jr,-300.0,250.0,-335.0,-310.0,230.0,260.0,magomed ankalaev,1,0.7697412290739245,0.12677332774915215,342.2879849227108,0.03343085136842805,0.026321638765232636,magomed ankalaev,1,0.7599053293349128,0.06611523293554966,0.0,0.016997723528036524,-0.013257258923322163,magomed ankalaev,1,0.7640052137652606,0.0809044860859174,218.44211243197697,0.020775104025567925,0.010458508528247895,magomed ankalaev,1.0,0.8594853281974792,0.25240690785988773,681.4986512216968,0.11657772239060293,0.1160481127340402,magomed ankalaev,1.0,0.8594853281974792,0.2524945722347985,681.7353450339559,0.11625521845778652,0.1367386598740854
2026-07-25,ismael bonfim,axel sola,,,,,,,axel sola,0,,,,,,axel sola,0,,,,,,axel sola,0,,,,,,,,,,,,,,,,,,,
2026-07-25,islam dulatov,wellington turman,,,,,,,wellington turman,0,,,,,,wellington turman,0,,,,,,wellington turman,0,,,,,,,,,,,,,,,,,,,
