,fighter_red,fighter_blue,pred_name_open,pred_winner_open,choice_proba_open,open_red,open_blue,fstar_open,stake_open,ev_open,edge_open
0,roman dolidze,christian leroy duncan,christian leroy duncan,0,0.7541633410024459,210.0,-250.0,0.1028898263059321,51.44491315296605,0.07825437011118352,0.03987762671673156
1,movsar evloev,lerone murphy,movsar evloev,1,0.7494341663940581,-250.0,210.0,0.10225852614882625,51.129263074413124,0.07149289960303751,0.03514845210834383
2,luke riley,michael aswell jr,luke riley,1,0.5352067985742016,-150.0,130.0,0.0,0.0,-0.08352275142406562,-0.06479320142579847
3,mason jones,axel sola,mason jones,1,0.7388646098639768,-220.0,185.0,0.09751250153864359,48.756250769321795,0.10033781404641601,0.05136460986397684
4,michael page,sam patterson,michael page,1,0.5427934438388575,-155.0,135.0,0.0,0.0,-0.08406008733351678,-0.06504969341604461
5,iwo baraniewski,austen lane,iwo baraniewski,1,0.7759212784572384,-450.0,350.0,0.0,0.0,-0.035380633751220664,-0.04226053972457977
6,kurtis campbell,danny silva,danny silva,0,,-125.0,105.0,0.0,0.0,,
7,shanelle dyer,ravena oliveira,ravena oliveira,0,,-200.0,170.0,0.0,0.0,,
8,nathaniel wood,losene keita,losene keita,0,,130.0,-150.0,0.0,0.0,,
9,louie sutherland,brando pericic,brando pericic,0,,-170.0,145.0,0.0,0.0,,
10,shem rock,abdul kareem al selwady,abdul kareem al selwady,0,0.7735213279131938,160.0,-185.0,0.10456035833484956,52.28017916742478,0.21928826493652392,0.12439852089564996
11,melissa mullins,luana carolina,melissa mullins,1,0.5911087447536737,-110.0,-110.0,0.0734072496028382,36.7036248014191,0.1822174895073474,0.06729922094414975
12,mario pinto,felipe franco,felipe franco,0,,-300.0,250.0,0.0,0.0,,
13,mantas kondratavicius,antonio trocoli,antonio trocoli,0,,-400.0,300.0,0.0,0.0,,
