blue_fighter,open_blue,close1_blue,close2_blue,red_fighter,open_red,close1_red,close2_red,event_date,og_blue_name,og_red_fighter
Macy Chiasson,+109,+146,+160,Ailin Perez,-129,-190,-180,2026-02-28,Macy Chiasson,Ailin Perez
Maycee Barber,-130,-117,-110,Alexa Grasso,+110,-111,-103,2021-02-13,Maycee Barber,Alexa Grasso
Gillian Robertson,-110,-205,-188,Amanda Lemos,-110,+150,+175,2025-12-14,Gillian Robertson,Amanda Lemos
Loneer Kavanagh,+180,+172,+188,Brandon Moreno,-210,-240,-210,2026-03-01,Lone'er Kavanagh,Brandon Moreno
Reinier de Ridder,+180,+200,+220,Caio Borralho,-235,-275,-260,2026-03-07,Reinier de Ridder,Caio Borralho
Nassourdine Imavov,-150,+100,+115,Caio Borralho,+110,-141,-125,2025-09-06,Reinier de Ridder,Caio Borralho
Jared Cannonier,+122,+210,+260,Caio Borralho,-145,-350,-270,2024-08-25,Reinier de Ridder,Caio Borralho
Nyamjargal Tumendemberel,-160,-175,-156,Cody Durden,+140,+120,+145,2026-03-07,Nyamjargal Tumendemberel,Cody Durden
Long Xiao,-200,-163,-150,Cody Garbrandt,+170,+120,+140,2026-03-07,Xiao Long,Cody Garbrandt
Kris Moutinho,+385,+420,+500,Cristian Quinonez,-500,-700,-649,2026-02-28,Kris Moutinho,Cristian Quinonez
Jairzinho Rozenstruik,+198,+240,+290,Curtis Blaydes,-240,-380,-300,2021-09-25,Josh Hokit,Curtis Blaydes
Wes Schultz,+300,+200,+220,Damian Pinas,-400,-290,-250,2026-02-28,Wes Schultz,Damian Pinas
King Green,+350,+350,+360,Daniel Zellhuber,-520,-520,-500,2026-03-01,King Green,Daniel Zellhuber
Javier Reyes,-210,-250,-215,Douglas Silva de Andrade,+180,+175,+190,2026-02-28,Javier Reyes,Douglas Silva de Andrade
Michael Johnson,-185,-160,-145,Drew Dober,+160,+110,+140,2026-03-08,Michael Johnson,Drew Dober
Felipe Bunes,+185,+240,+290,Edgar Chairez,-220,-355,-330,2026-03-01,Felipe Bunes,Edgar Chairez
Francis Marshall,-450,-835,-725,Erik Silva,+350,+460,+575,2026-02-28,Francis Marshall,Erik Silva
Brunno Ferreira,+130,+150,+175,Gregory Rodrigues,-150,-215,-190,2026-03-08,Brunno Ferreira,Gregory Rodrigues
Brunno Ferreira,+300,+245,+270,Gregory Rodrigues,-400,-350,-300,2023-01-21,Brunno Ferreira,Gregory Rodrigues
Kevin Borjas,+195,+330,+350,Imanol Rodriguez,-230,-480,-450,2026-03-01,Kevin Borjas,Imanol Rodriguez
Joe Pyfer,-110,-138,-115,Israel Adesanya,-110,-105,+108,2026-03-29,Joe Pyfer,Israel Adesanya
Tatsuro Taira,-150,-170,-170,Joshua van,+130,+145,+145,,Tatsuro Taira,Joshua Van
Darmon Blackshear,-230,+111,+132,Luan Lacerda,+195,-163,-131,2023-06-03,Hecher Sosa,Luan Lacerda
Rodolfo Bellato,+105,+175,+185,Luke Fernandez,-125,-250,-220,2026-03-07,Rodolfo Bellato,Luke Fernandez
David Martinez,-150,-330,-275,Marlon Vera,+130,+210,+265,2026-03-01,David Martinez,Marlon Vera
Charles Oliveira,+130,+140,+160,Max Holloway,-150,-210,-175,2026-03-08,Charles Oliveira,Max Holloway
Charles Oliveira,+125,+210,+215,Max Holloway,-165,-255,-245,2015-08-23,Charles Oliveira,Max Holloway
Lerone Murphy,+210,+190,+205,Movsar Evloev,-250,-260,-240,2026-03-22,Lerone Murphy,Movsar Evloev
Sam Hughes,+190,+135,+155,Piera Rodriguez,-230,-180,-167,2022-10-15,Sam Hughes,Piera Rodriguez
Ernesta Kareckaite,-150,-225,-190,Regina Tarin,+130,+160,+170,2026-02-28,Ernesta Kareckaite,Regina Tarin
Alberto Montes,-225,-190,-185,Ricky Turcios,+190,+140,+160,2026-03-07,Alberto Montes,Ricky Turcios
Boston Salmon,+160,-170,-155,Ricky Turcios,-210,+135,+150,2017-07-11,Alberto Montes,Ricky Turcios
Raul Rosas Jr,-500,-235,-195,Rob Font,+375,+155,+200,2026-03-08,Raul Rosas Jr.,Rob Font
Jose Medina,+420,+450,+525,Ryan Gandra,-550,-770,-649,2026-02-28,Jose Daniel Medina,Ryan Gandra
Angel Pacheco,+300,+400,+460,Santiago Luna,-400,-650,-590,2026-03-01,Angel Pacheco,Santiago Luna
Jesus Aguilar,+185,+175,+195,Sumudaerji Sumudaerji,-215,-250,-225,2026-03-07,Jesus Aguilar,
Austen Lane,+275,+420,+460,Vitor Petrino,-400,-670,-649,2025-07-13,Steven Asplund,Vitor Petrino
