title_fight,fighter_red,fighter_blue,weight_class,event_date,event_location,reach_red,reach_blue,height_red,height_blue,dob_red,dob_blue
0,Brandon Moreno,Lone'er Kavanagh,Flyweight,2026-02-28," Mexico City, Distrito Federal, Mexico","70""","67""","5' 7""","5' 6""","Dec 07, 1993","Jun 09, 1999"
0,Marlon Vera,David Martinez,Bantamweight,2026-02-28," Mexico City, Distrito Federal, Mexico","70""","67""","5' 8""","5' 5""","Dec 02, 1992","Aug 03, 1998"
0,Daniel Zellhuber,King Green,Lightweight,2026-02-28," Mexico City, Distrito Federal, Mexico","77""","71""","6' 1""","5' 10""","Jul 07, 1999","Sep 09, 1986"
0,Edgar Chairez,Felipe Bunes,Flyweight,2026-02-28," Mexico City, Distrito Federal, Mexico","71""","69""","5' 7""","5' 7""","Jan 27, 1996","Oct 29, 1989"
0,Imanol Rodriguez,Kevin Borjas,Flyweight,2026-02-28," Mexico City, Distrito Federal, Mexico","64""","68""","5' 4""","5' 5""","Nov 15, 1999","Dec 06, 1997"
0,Santiago Luna,Angel Pacheco,Bantamweight,2026-02-28," Mexico City, Distrito Federal, Mexico","74""","70""","5' 9""","5' 8""","Aug 06, 2004","Jan 13, 1992"
0,Ryan Gandra,Jose Daniel Medina,Middleweight,2026-02-28," Mexico City, Distrito Federal, Mexico","74""","74""","6' 1""","6' 0""","May 08, 1995","May 17, 1991"
0,Ailin Perez,Macy Chiasson,Women's Bantamweight,2026-02-28," Mexico City, Distrito Federal, Mexico","66""","72""","5' 5""","5' 11""","Oct 05, 1994","Jul 27, 1991"
0,Cristian Quinonez,Kris Moutinho,Bantamweight,2026-02-28," Mexico City, Distrito Federal, Mexico","70""","68""","5' 8""","5' 7""","Apr 26, 1996","Aug 09, 1992"
0,Douglas Silva de Andrade,Javier Reyes,Featherweight,2026-02-28," Mexico City, Distrito Federal, Mexico","68""","73""","5' 7""","5' 7""","Jun 22, 1985","Oct 10, 1993"
0,Regina Tarin,Ernesta Kareckaite,Catch Weight,2026-02-28," Mexico City, Distrito Federal, Mexico","66""","71""","4' 7""","5' 9""","Oct 19, 2004","Jul 05, 1998"
0,Erik Silva,Francis Marshall,Featherweight,2026-02-28," Mexico City, Distrito Federal, Mexico","71""","72""","5' 9""","5' 9""","Mar 16, 1987","Mar 03, 1999"
0,Damian Pinas,Wes Schultz,Middleweight,2026-02-28," Mexico City, Distrito Federal, Mexico","79""","77""","6' 1""","6' 1""","Mar 12, 2002","Aug 09, 1996"
0,Max Holloway,Charles Oliveira,Lightweight,2026-03-07," Las Vegas, Nevada, USA","69""","74""","5' 11""","5' 10""","Dec 04, 1991","Oct 17, 1989"
0,Caio Borralho,Reinier de Ridder,Middleweight,2026-03-07," Las Vegas, Nevada, USA","75""","78""","6' 1""","6' 4""","Jan 16, 1993","Sep 07, 1990"
0,Rob Font,Raul Rosas Jr.,Bantamweight,2026-03-07," Las Vegas, Nevada, USA","71""","67""","5' 8""","5' 9""","Jun 25, 1987","Oct 08, 2004"
0,Drew Dober,Michael Johnson,Lightweight,2026-03-07," Las Vegas, Nevada, USA","70""","73""","5' 8""","5' 10""","Oct 19, 1988","Jun 04, 1986"
0,Gregory Rodrigues,Brunno Ferreira,Middleweight,2026-03-07," Las Vegas, Nevada, USA","75""","72""","6' 3""","5' 10""","Feb 17, 1992","Nov 04, 1992"
0,Cody Garbrandt,Xiao Long,Bantamweight,2026-03-07," Las Vegas, Nevada, USA","65""","70""","5' 8""","5' 8""","Jul 07, 1991","Apr 13, 1998"
0,Donte Johnson,Dusko Todorovic,Middleweight,2026-03-07," Las Vegas, Nevada, USA","74""","74""","5' 8""","6' 1""","Jan 25, 1999","May 19, 1994"
0,Ricky Turcios,Alberto Montes,Featherweight,2026-03-07," Las Vegas, Nevada, USA","71""","69""","5' 9""","5' 7""","Jun 05, 1993","May 31, 1994"
0,Cody Durden,Nyamjargal Tumendemberel,Flyweight,2026-03-07," Las Vegas, Nevada, USA","67""","71""","5' 7""","5' 7""","Mar 29, 1991","Mar 22, 1998"
0,Sumudaerji,Jesus Aguilar,Flyweight,2026-03-07," Las Vegas, Nevada, USA","72""","62""","5' 8""","5' 4""","Jan 20, 1996","Mar 13, 1996"
0,JooSang Yoo,Gaston Bolanos,Featherweight,2026-03-07," Las Vegas, Nevada, USA","71""","69""","5' 7""","5' 7""","Jan 21, 1994","Sep 14, 1992"
0,Luke Fernandez,Rodolfo Bellato,Light Heavyweight,2026-03-07," Las Vegas, Nevada, USA","76""","75""","6' 1""","6' 3""","Jun 29, 1995","Feb 05, 1996"
0,Josh Emmett,Kevin Vallejos,Featherweight,2026-03-14," Las Vegas, Nevada, USA","70""","68""","5' 6""","5' 7""","Mar 04, 1985","Dec 08, 2001"
0,Amanda Lemos,Gillian Robertson,Women's Strawweight,2026-03-14," Las Vegas, Nevada, USA","65""","63""","5' 4""","5' 5""","May 22, 1987","May 17, 1995"
0,Ion Cutelaba,Oumar Sy,Light Heavyweight,2026-03-14," Las Vegas, Nevada, USA","75""","83""","6' 1""","6' 4""","Dec 14, 1993","Nov 21, 1995"
0,Marwan Rahiki,Harry Hardwick,Featherweight,2026-03-14," Las Vegas, Nevada, USA","72""","71""","5' 8""","5' 8""","May 10, 2002","Sep 29, 1994"
0,Luan Lacerda,Hecher Sosa,Bantamweight,2026-03-14," Las Vegas, Nevada, USA","71""","70""","5' 7""","5' 9""","Jan 07, 1993","Aug 25, 1995"
0,Bia Mesquita,Montse Rendon,Women's Bantamweight,2026-03-14," Las Vegas, Nevada, USA","67""","68""","5' 4""","5' 8""","Apr 07, 1991","Mar 16, 1989"
0,Piera Rodriguez,Sam Hughes,Women's Strawweight,2026-03-14," Las Vegas, Nevada, USA","63""","64""","5' 3""","5' 5""","Nov 11, 1992","Jun 28, 1992"
0,Charles Johnson,Bruno Silva,Flyweight,2026-03-14," Las Vegas, Nevada, USA","70""","65""","5' 9""","5' 4""","Jan 10, 1991","Mar 16, 1990"
0,Elijah Smith,SuYoung You,Bantamweight,2026-03-14," Las Vegas, Nevada, USA","71""","65""","5' 9""","5' 6""","Sep 05, 2002","Dec 11, 1995"
0,Bolaji Oki,Manoel Sousa,Lightweight,2026-03-14," Las Vegas, Nevada, USA","73""","70""","5' 10""","5' 9""","Nov 15, 1995","Jun 04, 1997"
0,Vitor Petrino,Steven Asplund,Heavyweight,2026-03-14," Las Vegas, Nevada, USA","77""","78""","6' 2""","6' 5""","Aug 28, 1997","Jul 16, 1998"
0,Andre Fili,Jose Delgado,Featherweight,2026-03-14," Las Vegas, Nevada, USA","74""","74""","5' 11""","5' 11""","Jun 25, 1990","Apr 21, 1998"
0,Movsar Evloev,Lerone Murphy,Featherweight,2026-03-21," London, England, United Kingdom","72""","73""","5' 7""","5' 9""","Feb 11, 1994","Jul 22, 1991"
0,Luke Riley,Michael Aswell Jr.,Featherweight,2026-03-21," London, England, United Kingdom","69""","69""","5' 9""","5' 8""","Jun 30, 1999","Sep 27, 2000"
0,Michael Page,Sam Patterson,Welterweight,2026-03-21," London, England, United Kingdom","79""","78""","6' 3""","6' 3""","Apr 07, 1987","Apr 30, 1996"
0,Iwo Baraniewski,Austen Lane,Light Heavyweight,2026-03-21," London, England, United Kingdom","73""","80""","6' 0""","6' 6""","Nov 20, 1998","Nov 09, 1987"
0,Roman Dolidze,Christian Leroy Duncan,Middleweight,2026-03-21," London, England, United Kingdom","76""","79""","6' 2""","6' 2""","Jul 15, 1988","Jul 24, 1995"
0,Kurtis Campbell,Danny Silva,Featherweight,2026-03-21," London, England, United Kingdom","72""","70""","5' 9""","5' 11""","Jul 29, 2002","Jan 30, 1997"
0,Mason Jones,Axel Sola,Lightweight,2026-03-21," London, England, United Kingdom","74""","74""","5' 10""","6' 2""","Apr 26, 1995","Sep 17, 1997"
0,Nathaniel Wood,Losene Keita,Featherweight,2026-03-21," London, England, United Kingdom","69""","72""","5' 6""","5' 8""","May 08, 1993","Dec 30, 1997"
0,Louie Sutherland,Brando Pericic,Heavyweight,2026-03-21," London, England, United Kingdom","76""","79""","6' 3""","6' 5""","Feb 08, 1994","Aug 03, 1994"
0,Mantas Kondratavicius,Antonio Trocoli,Middleweight,2026-03-21," London, England, United Kingdom","75""","80""","6' 2""","6' 5""","Jul 17, 1999","Dec 06, 1990"
0,Shem Rock,Abdul-Kareem Al-Selwady,Lightweight,2026-03-21," London, England, United Kingdom","73""","69""","5' 11""","5' 8""","Nov 05, 1993","Apr 10, 1995"
0,Shanelle Dyer,Ravena Oliveira,Women's Strawweight,2026-03-21," London, England, United Kingdom","65""","65""","5' 6""","5' 5""","Apr 23, 2001","Feb 20, 1997"
0,Melissa Mullins,Luana Carolina,Women's Bantamweight,2026-03-21," London, England, United Kingdom","68""","69""","5' 7""","5' 6""","Jul 23, 1991","Jun 11, 1993"
0,Mario Pinto,Felipe Franco,Heavyweight,2026-03-21," London, England, United Kingdom","79""","76""","6' 5""","6' 1""","Mar 14, 1998","Jan 22, 2001"
0,Israel Adesanya,Joe Pyfer,Middleweight,2026-03-28," Seattle, Washington, USA","80""","75""","6' 4""","6' 2""","Jul 22, 1989","Sep 17, 1996"
0,Alexa Grasso,Maycee Barber,Women's Flyweight,2026-03-28," Seattle, Washington, USA","66""","65""","5' 5""","5' 5""","Aug 09, 1993","May 18, 1998"
0,Chase Hooper,Lance Gibson Jr.,Lightweight,2026-03-28," Seattle, Washington, USA","74""","72""","6' 1""","5' 9""","Sep 13, 1999","Feb 02, 1995"
0,Navajo Stirling,Bruno Lopes,Light Heavyweight,2026-03-28," Seattle, Washington, USA","79""","74""","6' 4""","6' 2""","Nov 07, 1997","Apr 24, 1993"
0,Marcin Tybura,Valter Walker,Heavyweight,2026-03-28," Seattle, Washington, USA","78""","78""","6' 3""","6' 6""","Nov 09, 1985","Dec 14, 1997"
0,Michael Chiesa,Carlston Harris,Welterweight,2026-03-28," Seattle, Washington, USA","75""","76""","6' 1""","6' 0""","Dec 07, 1987","Jul 09, 1987"
0,Mansur Abdul-Malik,Yousri Belgaroui,Middleweight,2026-03-28," Seattle, Washington, USA","80""","79""","6' 2""","6' 6""","Oct 07, 1997","Jun 02, 1992"
0,Casey O'Neill,Gabriella Fernandes,Women's Flyweight,2026-03-28," Seattle, Washington, USA","69""","66""","5' 6""","5' 6""","Oct 07, 1997","Aug 13, 1993"
0,Julian Erosa,Lerryan Douglas,Featherweight,2026-03-28," Seattle, Washington, USA","74""","72""","6' 1""","5' 9""","Jul 31, 1989","Apr 27, 1995"
0,Zhu Kangjie,Marcio Barbosa,Featherweight,2026-03-28," Seattle, Washington, USA","70""","70""","5' 8""","5' 6""","Jan 16, 1996","May 22, 1998"
0,Carol Foro,Stephanie Luciano,Women's Strawweight,2026-03-28," Seattle, Washington, USA","61""","65""","5' 2""","5' 6""","Mar 21, 1997","Dec 16, 1999"
0,Terrance McKinney,Kyle Nelson,Lightweight,2026-03-28," Seattle, Washington, USA","73""","71""","5' 10""","5' 11""","Sep 15, 1994","Apr 20, 1991"
0,Renato Moicano,Chris Duncan,Lightweight,2026-04-04," Las Vegas, Nevada, USA","72""","71""","5' 11""","5' 10""","May 21, 1989","May 10, 1993"
0,Jose Delano,Robert Ruchala,Featherweight,2026-04-04," Las Vegas, Nevada, USA","70""","72""","5' 8""","5' 8""","Sep 11, 1996","May 15, 1998"
0,Tofiq Musayev,Samuel Sanches,Lightweight,2026-04-04," Las Vegas, Nevada, USA","69""","74""","5' 9""","5' 10""","Dec 15, 1989","Jan 28, 2003"
0,Edmen Shahbazyan,JunYong Park,Middleweight,2026-04-04," Las Vegas, Nevada, USA","75""","73""","6' 2""","5' 10""","Nov 20, 1997","Feb 27, 1991"
0,Alessandro Costa,Stewart Nicoll,Flyweight,2026-04-04," Las Vegas, Nevada, USA","67""","65""","5' 4""","5' 5""","Jan 28, 1996","Apr 11, 1996"
0,Virna Jandiroba,Tabatha Ricci,Women's Strawweight,2026-04-04," Las Vegas, Nevada, USA","64""","61""","5' 3""","5' 1""","May 30, 1988","Feb 21, 1995"
0,Ethyn Ewing,Rafael Estevam,Bantamweight,2026-04-04," Las Vegas, Nevada, USA","69""","69""","5' 6""","5' 8""","Feb 16, 1998","Aug 10, 1996"
0,Guilherme Pat,Thomas Petersen,Light Heavyweight,2026-04-04," Las Vegas, Nevada, USA","81""","74""","6' 6""","6' 1""","Apr 20, 1994","Mar 30, 1995"
0,Alice Pereira,Hailey Cowan,Women's Bantamweight,2026-04-04," Las Vegas, Nevada, USA","71""","67""","5' 8""","5' 8""","Dec 20, 2005","Feb 12, 1992"
0,Dione Barbosa,Melissa Gatto,Women's Flyweight,2026-04-04," Las Vegas, Nevada, USA","66""","69""","5' 6""","5' 5""","May 08, 1992","May 02, 1996"
1,Joshua Van,Tatsuro Taira,Flyweight,2026-04-11," Miami, Florida, USA","65""","70""","5' 5""","5' 7""","Oct 10, 2001","Jan 27, 2000"
1,Kevin Holland,Randy Brown,Welterweight,2026-04-11," Miami, Florida, USA","81""","78""","6' 3""","6' 3""","Nov 05, 1992","Jul 08, 1990"
1,Tatiana Suarez,Loopy Godinez,Women's Strawweight,2026-04-11," Miami, Florida, USA","66""","61""","5' 5""","5' 2""","Dec 19, 1990","Sep 06, 1993"
1,Curtis Blaydes,Josh Hokit,Heavyweight,2026-04-11," Miami, Florida, USA","80""","73""","6' 4""","6' 1""","Feb 18, 1991","Nov 12, 1997"
1,Dominick Reyes,Johnny Walker,Light Heavyweight,2026-04-11," Miami, Florida, USA","77""","82""","6' 4""","6' 6""","Dec 26, 1989","Mar 30, 1992"
1,Azamat Murzakanov,Paulo Costa,Light Heavyweight,2026-04-11," Miami, Florida, USA","71""","72""","5' 10""","6' 1""","Apr 12, 1989","Apr 21, 1991"
1,Cub Swanson,Nate Landwehr,Featherweight,2026-04-11," Miami, Florida, USA","70""","72""","5' 8""","5' 9""","Nov 02, 1983","Jun 06, 1988"
1,Kyle Daukaus,Vicente Luque,Middleweight,2026-04-11," Miami, Florida, USA","76""","75""","6' 2""","5' 11""","Feb 27, 1993","Nov 27, 1991"
0,Gilbert Burns,Mike Malott,Welterweight,2026-04-18," Winnipeg, Manitoba, Canada","71""","73""","5' 10""","6' 1""","Jul 20, 1986","Nov 07, 1991"
0,Jasmine Jasudavicius,Karine Silva,Women's Flyweight,2026-04-18," Winnipeg, Manitoba, Canada","68""","67""","5' 7""","5' 5""","Mar 01, 1989","Dec 02, 1993"
0,Melissa Croden,Daria Zhelezniakova,Women's Bantamweight,2026-04-18," Winnipeg, Manitoba, Canada","68""","68""","5' 9""","5' 9""","Apr 12, 1991","Jan 23, 1996"
0,Sean Brady,Joaquin Buckley,Welterweight,2026-04-25," Las Vegas, Nevada, USA","72""","76""","5' 10""","5' 10""","Nov 23, 1992","Apr 27, 1994"
