,blue_probs,red_probs,pred_winner,winner,correct_pred,event_dates,open_red,open_blue,close1_red,close1_blue,close2_red,close2_blue,fighter_red,fighter_blue
0,0.18010652,0.8198935,1,0,0,2017-12-16,-210.0,160.0,-290.0,230.0,-270.0,245.0,ricardo lamas,josh emmett
1,0.71073425,0.28926572,0,0,1,2017-12-16,-160.0,120.0,105.0,-128.0,108.0,-125.0,robbie lawler,rafael dos anjos
2,0.69364095,0.30635908,0,1,0,2017-12-16,-155.0,115.0,125.0,-155.0,135.0,-145.0,glover teixeira,misha cirkunov
3,0.6612636,0.33873641,0,1,0,2017-12-16,-155.0,115.0,-161.0,140.0,-160.0,141.0,jordan mein,erick silva
4,0.074974954,0.92502505,1,2,0,2017-12-30,-265.0,185.0,-270.0,210.0,-250.0,230.0,marvin vettori,omari akhmedov
5,0.23773432,0.7622657,1,1,1,2017-12-30,-230.0,170.0,-200.0,165.0,-190.0,170.0,tim elliott,mark de la rosa
6,0.5812441,0.41875592,0,2,0,2017-12-30,,,,,,,khalil rountree jr,michal oleksiejczuk
7,0.45555878,0.5444412,1,0,0,2017-12-30,120.0,-160.0,170.0,-214.0,184.0,-200.0,louis smolka,matheus nicolau
8,0.2451101,0.7548899,1,1,1,2017-12-30,,,,,,,myles jury,ricky glenn
9,0.55814797,0.44185203,0,0,1,2017-12-30,-150.0,110.0,-130.0,110.0,-130.0,110.0,carlos condit,neil magny
10,0.13220918,0.8677908,1,1,1,2017-12-30,-260.0,180.0,-410.0,295.0,-360.0,330.0,khabib nurmagomedov,edson barboza
11,0.28178185,0.71821815,1,1,1,2017-12-30,-400.0,280.0,-325.0,250.0,-300.0,265.0,cristiane justino,holly holm
12,0.75437415,0.24562588,0,1,0,2017-12-30,170.0,-230.0,163.0,-190.0,165.0,-188.0,dan hooker,marc diakiese
13,0.35813856,0.64186144,1,0,0,2017-12-30,-190.0,150.0,-220.0,170.0,-200.0,180.0,cynthia calvillo,carla esparza
14,0.5446111,0.45538887,0,1,0,2018-01-14,175.0,-245.0,165.0,-205.0,175.0,-190.0,mads burnell,mike santiago
15,0.14142513,0.85857487,1,0,0,2018-01-14,-230.0,170.0,-202.0,172.0,-200.0,185.0,matt frevola,marco polo reyes
16,0.19898123,0.8010188,1,0,0,2018-01-14,-125.0,-115.0,105.0,-130.0,110.0,-125.0,danielle taylor,jj aldrich
17,0.19511324,0.80488676,1,0,0,2018-01-14,-145.0,105.0,110.0,-135.0,115.0,-130.0,kalindra faria,jessica eye
18,0.47221625,0.52778375,1,1,1,2018-01-14,-300.0,220.0,-300.0,245.0,-290.0,250.0,kyung ho kang,guido cannetti
19,0.20302165,0.79697835,1,0,0,2018-01-14,180.0,-260.0,115.0,-145.0,125.0,-135.0,talita bernardo,irene aldana
20,0.8608664,0.13913357,0,1,0,2018-01-14,-230.0,170.0,-180.0,140.0,-160.0,158.0,james krause,alex white
21,0.60302603,0.39697394,0,1,0,2018-01-14,125.0,-165.0,170.0,-210.0,175.0,-200.0,darren elkins,michael johnson
22,0.5686408,0.4313592,0,1,0,2018-01-14,-705.0,435.0,-750.0,470.0,-620.0,525.0,kamaru usman,emil meek
23,0.35073608,0.6492639,1,1,1,2018-01-14,,,,,,,jeremy stephens,dooho choi
24,0.74249244,0.25750753,0,0,1,2018-01-14,-145.0,105.0,-127.0,100.0,-120.0,107.0,paige vanzant,jessica rose clark
25,0.2814458,0.7185542,1,1,1,2018-01-20,145.0,-185.0,120.0,-140.0,120.0,-140.0,kyle bochniak,brandon davis
26,0.726394,0.273606,0,0,1,2018-01-20,165.0,-215.0,235.0,-290.0,245.0,-275.0,matt bessette,enrique barzola
27,0.560858,0.43914202,0,0,1,2018-01-20,140.0,-180.0,120.0,-147.0,127.0,-140.0,dan ige,julio arce
28,0.482916,0.517084,1,1,1,2018-01-20,110.0,-150.0,-135.0,109.0,-129.0,115.0,dustin ortiz,alexandre pantoja
29,0.5726167,0.4273833,0,0,1,2018-01-20,235.0,-315.0,168.0,-210.0,180.0,-195.0,sabah homasi,abdul razak alhassan
30,0.37179828,0.6282017,1,1,1,2018-01-20,-215.0,165.0,-164.0,135.0,-155.0,144.0,gian villante,francimar barroso
31,0.46738374,0.53261626,1,0,0,2018-01-20,-175.0,135.0,-145.0,120.0,-140.0,125.0,thomas almeida,rob font
32,0.15758377,0.8424162,1,1,1,2018-01-20,185.0,-265.0,190.0,-250.0,210.0,-230.0,calvin kattar,shane burgos
33,0.28613448,0.7138655,1,1,1,2018-01-20,-380.0,260.0,-345.0,280.0,-340.0,285.0,daniel cormier,volkan oezdemir
34,0.7417859,0.2582141,0,1,0,2018-01-20,130.0,-160.0,150.0,-176.0,151.0,-170.0,stipe miocic,francis ngannou
35,0.052999675,0.9470003,1,1,1,2018-01-20,-270.0,190.0,-300.0,245.0,-290.0,250.0,islam makhachev,gleison tibau
36,0.10385668,0.8961433,1,0,0,2018-01-27,150.0,-190.0,167.0,-200.0,170.0,-192.0,austin arnett,cory sandhagen
37,0.44011164,0.55988836,1,1,1,2018-01-27,110.0,-150.0,110.0,-135.0,115.0,-130.0,vinc pichel,joaquim silva
38,0.49719942,0.5028006,1,1,1,2018-01-27,-150.0,110.0,-160.0,135.0,-155.0,140.0,randa markos,juliana lima
39,0.78002465,0.21997537,0,1,0,2018-01-27,-565.0,375.0,-625.0,425.0,-550.0,475.0,mirsad bektic,godofredo pepey
40,0.90861684,0.09138318,0,1,0,2018-01-27,-185.0,145.0,-365.0,295.0,-360.0,305.0,niko price,george sullivan
41,0.28984702,0.710153,1,1,1,2018-01-27,,,,,,,katlyn cerminara,mara romero borella
42,0.27476072,0.7252393,1,1,1,2018-01-27,-190.0,150.0,-141.0,120.0,-140.0,121.0,drew dober,frank camacho
43,0.775236,0.22476399,0,0,1,2018-01-27,,,,,,,erik koch,king green
44,0.30762732,0.6923727,1,0,0,2018-01-27,-190.0,150.0,-151.0,130.0,-150.0,131.0,dennis bermudez,andre fili
45,0.346915,0.653085,1,1,1,2018-01-27,,,,,,,jacare souza,derek brunson
46,0.5248904,0.47510958,0,0,1,2018-01-27,-230.0,170.0,-163.0,140.0,-160.0,143.0,justine kish,ji yeon kim
47,0.59015495,0.40984505,0,0,1,2018-01-27,285.0,-405.0,425.0,-560.0,430.0,-550.0,jordan rinaldi,gregor gillespie
48,0.3160963,0.6839037,1,1,1,2018-02-03,-165.0,125.0,107.0,-130.0,110.0,-127.0,deiveson figueiredo,joseph morales
49,0.18095297,0.81904703,1,1,1,2018-02-03,-125.0,-115.0,-125.0,100.0,-120.0,105.0,iuri alcantara,joe soto
50,0.2940334,0.7059666,1,0,0,2018-02-03,190.0,-270.0,350.0,-440.0,355.0,-425.0,maia stevenson,polyana viana
51,0.73301524,0.26698476,0,1,0,2018-02-03,-215.0,165.0,-250.0,200.0,-240.0,210.0,alan patrick,damir hadzovic
52,0.21246147,0.7875385,1,1,1,2018-02-03,180.0,-260.0,165.0,-205.0,173.0,-190.0,sergio moraes,tim means
53,0.43599612,0.5640039,1,1,1,2018-02-03,-230.0,170.0,-255.0,210.0,-245.0,215.0,thiago santos,anthony smith
54,0.78634775,0.21365224,0,1,0,2018-02-03,120.0,-160.0,165.0,-190.0,165.0,-190.0,douglas silva de andrade,marlon vera
55,0.35532612,0.6446739,1,1,1,2018-02-03,145.0,-185.0,147.0,-172.0,150.0,-170.0,timothy johnson,marcelo golm
56,0.39886367,0.6011363,1,1,1,2018-02-03,-175.0,135.0,-127.0,100.0,-120.0,107.0,michel prazeres,desmond green
57,0.45091033,0.54908967,1,1,1,2018-02-03,-705.0,435.0,-1100.0,650.0,-950.0,700.0,valentina shevchenko,priscila cachoeira
58,0.27392673,0.72607327,1,1,1,2018-02-03,220.0,-300.0,205.0,-250.0,210.0,-245.0,lyoto machida,eryk anders
59,0.79847425,0.20152573,0,0,1,2018-02-10,115.0,-145.0,115.0,-140.0,120.0,-135.0,damien brown,dong hyun ma
60,0.23386246,0.76613754,1,0,0,2018-02-10,145.0,-175.0,135.0,-163.0,143.0,-155.0,teruto ishihara,jose quinonez
61,0.6915277,0.30847225,0,1,0,2018-02-10,-155.0,125.0,-160.0,134.0,-154.0,140.0,ross pearson,mizuto hirota
62,0.16584003,0.83416,1,1,1,2018-02-10,-155.0,125.0,-113.0,-110.0,-110.0,-107.0,jussier formiga,ben nguyen
63,0.6041218,0.39587817,0,1,0,2018-02-10,,,,,,,alexander volkanovski,jeremy kennedy
64,0.22476733,0.7752327,1,0,0,2018-02-10,250.0,-325.0,285.0,-365.0,305.0,-350.0,rob wilkinson,israel adesanya
65,0.6879594,0.31204063,0,1,0,2018-02-10,-190.0,150.0,160.0,-186.0,161.0,-185.0,yoel romero,luke rockhold
66,0.36182016,0.63817984,1,1,1,2018-02-10,,,,,,,tyson pedro,saparbeg safarov
67,0.40469384,0.59530616,1,1,1,2018-02-10,130.0,-170.0,125.0,-150.0,130.0,-145.0,jake matthews,li jingliang
68,0.23781312,0.7621869,1,1,1,2018-02-10,-190.0,150.0,-275.0,225.0,-265.0,235.0,tai tuivasa,cyril asker
69,0.1827082,0.8172918,1,0,0,2018-02-10,-120.0,-120.0,165.0,-191.0,166.0,-190.0,mark hunt,curtis blaydes
70,0.2123779,0.7876221,1,1,1,2018-02-10,130.0,-160.0,137.0,-160.0,140.0,-157.0,luke jumeau,daichi abe
71,0.69664866,0.30335134,0,1,0,2018-02-18,,,,,,,geoff neal,brian camozzi
72,0.38303292,0.6169671,1,1,1,2018-02-18,-215.0,170.0,-375.0,300.0,-365.0,313.0,sage northcutt,thibault gouti
73,0.7857554,0.21424459,0,0,1,2018-02-18,,,,,,,joshua burkman,alex morono
74,0.6336094,0.36639062,0,0,1,2018-02-18,155.0,-185.0,127.0,-150.0,130.0,-147.0,sarah moras,lucie pudilova
75,0.71197945,0.28802055,0,1,0,2018-02-18,,,,,,,robert sanchez,joby sanchez
76,0.8613467,0.1386533,0,0,1,2018-02-18,-195.0,160.0,-180.0,155.0,-175.0,155.0,jared gordon,diego ferreira
77,0.42348093,0.5765191,1,0,0,2018-02-18,-160.0,130.0,-151.0,130.0,-150.0,131.0,thiago alves,curtis millender
78,0.72114336,0.27885664,0,0,1,2018-02-18,160.0,-195.0,130.0,-153.0,133.0,-150.0,steven peterson,brandon davis
79,0.31668425,0.68331575,1,1,1,2018-02-18,-245.0,175.0,-210.0,170.0,-200.0,175.0,james vick,francisco trinaldo
80,0.40862477,0.59137523,1,1,1,2018-02-18,-110.0,-130.0,-115.0,-110.0,-110.0,-105.0,derrick lewis,marcin tybura
81,0.16090131,0.8390987,1,1,1,2018-02-18,-160.0,120.0,100.0,-121.0,101.0,-120.0,donald cerrone,yancy medeiros
82,0.33813477,0.66186523,1,1,1,2018-02-18,-255.0,215.0,-340.0,267.0,-317.0,280.0,oskar piechota,tim williams
83,0.6848412,0.31515878,0,0,1,2018-02-24,-140.0,100.0,130.0,-152.0,132.0,-150.0,maryna moroz,angela hill
84,0.57889205,0.42110795,0,0,1,2018-02-24,175.0,-245.0,155.0,-180.0,155.0,-175.0,albert morales,manny bermudez
85,0.5076331,0.49236688,0,0,1,2018-02-24,120.0,-160.0,-140.0,100.0,-120.0,120.0,eric shelton,alex perez
86,0.090495706,0.9095043,1,1,1,2018-02-24,-285.0,205.0,-220.0,180.0,-210.0,180.0,rani yahya,russell doane
87,0.46804738,0.5319526,1,1,1,2018-02-24,200.0,-280.0,180.0,-220.0,183.0,-213.0,sam alvey,marcin prachnio
88,0.37700284,0.62299716,1,0,0,2018-02-24,165.0,-215.0,210.0,-250.0,210.0,-250.0,ben saunders,alan jouban
89,0.34954524,0.65045476,1,0,0,2018-02-24,-160.0,120.0,-165.0,137.0,-157.0,145.0,renan barao,brian kelleher
90,0.557294,0.44270602,0,0,1,2018-02-24,-230.0,170.0,-320.0,250.0,-300.0,270.0,mike perry,max griffin
