,blue_fighter,open_blue,close1_blue,close2_blue,red_fighter,open_red,close1_red,close2_red,event_date,og_blue_name,og_red_fighter
0,Tafon Nchukwi,-150,-150,-125,A.J. Dobson,+120,+100,+124,2023-08-12,Tafon Nchukwi,AJ Dobson
1,Jacob Malkoun,+170,-118,+130,Aj Dobson,-200,-160,-102,2022-02-12,Jacob Malkoun,AJ Dobson
2,Themba Gorimbo,+140,+230,+310,A.J. Fletcher,-160,-410,-300,2023-02-18,Themba Gorimbo,AJ Fletcher
3,Ange Loosa,+165,+130,+143,A.J. Fletcher,-190,-175,-161,2022-08-20,Ange Loosa,AJ Fletcher
4,Spike Carlyle,+100,+170,+177,Aalon Cruz,-130,-207,-200,2020-02-29,Spike Carlyle,Aalon Cruz
5,Gaston Bolanos,-160,-190,-175,Aaron Phillips,+140,+140,+165,2023-04-15,Gaston Bolanos,Aaron Phillips
6,Matt Hobar,-230,-170,-155,Aaron Phillips,+170,+145,+145,2014-08-23,Matt Hobar,Aaron Phillips
7,Justin Salas,-190,-245,-240,Aaron Riley,+150,+195,+220,2013-07-27,Justin Salas,Aaron Riley
8,Joe Brammer,+145,+170,+170,Aaron Riley,-175,-200,-200,2010-05-29,Joe Brammer,Aaron Riley
9,Shane Nelson,-120,+135,+135,Aaron Riley,-120,-155,-155,2009-08-08,Shane Nelson,Aaron Riley
10,Shane Nelson,+175,+225,+225,Aaron Riley,-225,-265,-265,2009-03-07,Shane Nelson,Aaron Riley
11,Jorge Gurgel,-130,-115,-115,Aaron Riley,+100,-105,-105,2008-11-15,Jorge Gurgel,Aaron Riley
12,Matt Lucas,+120,+110,+110,Aaron Rosa,-150,-120,-120,2011-11-12,Matt Lucas,Aaron Rosa
13,Austin Clem,+140,+205,+215,Aaron Chalmers,-170,-255,-245,2020-02-22,Matt Lucas,Aaron Rosa
14,Mike Pierce,-230,-175,-145,Aaron Simpson,+170,+135,+155,2012-10-05,Mike Pierce,Aaron Simpson
15,Kenny Robertson,+220,+290,+300,Aaron Simpson,-280,-350,-330,2012-07-11,Kenny Robertson,Aaron Simpson
16,Ronny Markes,+155,-140,-140,Aaron Simpson,-185,+130,+130,2012-02-15,Ronny Markes,Aaron Simpson
17,Eric Schafer,+265,+355,+355,Aaron Simpson,-325,-400,-400,2011-10-08,Eric Schafer,Aaron Simpson
18,Mark Munoz,-185,-125,-125,Aaron Simpson,+155,+115,+115,2010-11-20,Mark Munoz,Aaron Simpson
19,Tom Lawlor,+190,+315,+315,Aaron Simpson,-250,-380,-380,2010-01-11,Tom Lawlor,Aaron Simpson
20,Ed Herman,-160,-105,-105,Aaron Simpson,+130,-115,-115,2009-08-29,Ed Herman,Aaron Simpson
21,Tim McKenzie,+145,+170,+170,Aaron Simpson,-175,-200,-200,2009-04-01,Tim McKenzie,Aaron Simpson
22,Cody Brundage,-120,+114,+140,Abdul Razak Alhassan,+100,-175,-144,2024-07-14,Cody Brundage,Abdul Razak Alhassan
23,Khaos Williams,+135,+142,+170,Abdul Razak Alhassan,-175,-200,-162,2020-11-14,Khaos Williams,Abdul Razak Alhassan
24,Mounir Lazzez,+170,+275,+300,Abdul Razak Alhassan,-200,-360,-350,2020-07-15,Mounir Lazzez,Abdul Razak Alhassan
25,Niko Price,+145,-110,-110,Abdul Razak Alhassan,-185,-110,-110,2018-09-08,Niko Price,Abdul Razak Alhassan
26,Omari Akhmedov,+145,+210,+235,Abdul Razak Alhassan,-185,-275,-250,2017-05-28,Omari Akhmedov,Abdul Razak Alhassan
27,Jacob Malkoun,+285,+245,+260,Abdul Razak Alhassan,-350,-345,-290,2021-04-17,Jacob Malkoun,Abdul Razak Alhassan
28,Loik Radzhabov,-170,+105,+126,Abdul-Kareem Al-Selwady,+142,-150,-125,2024-03-02,Loik Radzhabov,Abdul-Kareem Al-Selwady
29,James Vick,-120,-135,-119,Abel Trujillo,-120,-101,+115,2017-02-04,James Vick,Abel Trujillo
30,Jordan Rinaldi,+225,+260,+260,Abel Trujillo,-305,-320,-320,2016-05-29,Jordan Rinaldi,Abel Trujillo
31,Tony Sims,-105,-155,-152,Abel Trujillo,-135,+132,+135,2016-01-02,Tony Sims,Abel Trujillo
32,Roger Bowling,-120,-155,-140,Abel Trujillo,-120,+125,+130,2013-12-14,Roger Bowling,Abel Trujillo
33,Roger Bowling,-110,+100,+115,Abel Trujillo,-130,-130,-125,2013-08-28,Roger Bowling,Abel Trujillo
34,Sedriques Dumas,-175,-250,-235,Abu Azaitar,+130,+194,+205,2023-10-21,Sedriques Dumas,Abu Azaitar
35,Elizeu Zaleski,-110,-140,+110,Abubakar Nurmagomedov,-110,-133,+120,2023-06-03,Elizeu Zaleski dos Santos,Abubakar Nurmagomedov
36,Gadzhi Omargadzhiev,+155,+115,+140,Abubakar Nurmagomedov,-180,-175,-135,2022-10-22,Gadzhi Omargadzhiev,Abubakar Nurmagomedov
37,David Zawada,+175,+220,+250,Abubakar Nurmagomedov,-245,-333,-260,2019-11-09,David Zawada,Abubakar Nurmagomedov
38,Ustarmagomed Gadzhidaudov,+300,+250,+250,Abubakar Vagaev,-400,-325,-325,2022-03-27,Gadzhi Omargadzhiev,Abubakar Nurmagomedov
39,Ustarmagomed Gadzhidaudov,-105,+250,+275,Abubakar Vagaev,-125,-400,-325,2021-10-04,Gadzhi Omargadzhiev,Abubakar Nurmagomedov
40,Joe Pfyer,-225,-250,-205,Abus Magomedov,+163,+172,+200,2025-10-05,Joe Pyfer,Abus Magomedov
41,Brunno Ferreira,-120,+128,+140,Abus Magomedov,+100,-165,-154,2024-10-26,Brunno Ferreira,Abus Magomedov
42,Warlley Alves,+154,+205,+280,Abus Magomedov,-185,-360,-265,2024-05-18,Warlley Alves,Abus Magomedov
