td_defense_pct_red,td_total_attempted_against_red,td_total_landed_against_red,td_defense_pct_blue,td_total_attempted_against_blue,td_total_landed_against_blue,sig_str_defense_pct_red,sig_str_total_attempted_against_red,sig_str_total_landed_against_red,sig_str_defense_pct_blue,sig_str_total_attempted_against_blue,sig_str_total_landed_against_blue,td_accuracy_pct_red,td_accuracy_pct_blue,sig_str_accuracy_pct_red,sig_str_accuracy_pct_blue,kd_pm_red,kd_total_red,kd_pm_blue,kd_total_blue,sig_str_landed_pm_red,sig_str_landed_total_red,sig_str_landed_pm_blue,sig_str_landed_total_blue,sig_str_absorbed_pm_red,sig_str_absorbed_total_red,sig_str_absorbed_pm_blue,sig_str_absorbed_total_blue,sig_str_attempted_pm_red,sig_str_attempted_total_red,sig_str_attempted_pm_blue,sig_str_attempted_total_blue,leg_str_pm_red,leg_str_total_red,leg_str_pm_blue,leg_str_total_blue,head_str_pm_red,head_str_total_red,head_str_pm_blue,head_str_total_blue,body_str_pm_red,body_str_total_red,body_str_pm_blue,body_str_total_blue,clinch_str_pm_red,clinch_str_total_red,clinch_str_pm_blue,clinch_str_total_blue,td_landed_pm_red,td_landed_total_red,td_landed_pm_blue,td_landed_total_blue,td_attempted_pm_red,td_attempted_total_red,td_attempted_pm_blue,td_attempted_total_blue,td_defended_pm_red,td_defended_total_red,td_defended_pm_blue,td_defended_total_blue,control_pm_red,control_total_red,control_pm_blue,control_total_blue,sub_att_pm_red,sub_att_total_red,sub_att_pm_blue,sub_att_total_blue,reverse_pm_red,reverse_total_red,reverse_pm_blue,reverse_total_blue,total_fight_time_red,total_fight_time_blue,age_red,age_blue,height_red,height_blue,reach_red,reach_blue,date,event_location,weight_class,title_fight,performance_bonus_winner,fight_otn_bonus,method,winner,winner_name,fighter_red,fighter_blue
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,33.0,22.0,72.0,71.0,74.0,74.0,2004-10-22, USA,Middleweight,0.0,0.0,0.0,"SUB, Triangle Choke",1.0,Evan Tanner,Evan Tanner,Robbie Lawler
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,33.0,33.0,72.0,72.0,,,2004-10-22, USA,Middleweight,0.0,0.0,0.0,"SUB, Other - Lock",1.0,Ivan Salaverry,Ivan Salaverry,Tony Fryklund
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,31.0,33.0,71.0,69.0,75.0,73.0,2004-10-22, USA,Light Heavyweight,0.0,0.0,0.0,"KO/TKO, Punch",1.0,Travis Lutter,Travis Lutter,Marvin Eastman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,32.0,31.0,69.0,73.0,71.0,,2004-10-22, USA,Welterweight,0.0,0.0,0.0,"KO/TKO, Elbows",1.0,Frank Trigg,Frank Trigg,Renato Verissimo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,32.0,73.0,73.0,76.0,73.0,2004-10-22, USA,Middleweight,0.0,0.0,0.0,"SUB, Armbar",1.0,Rich Franklin,Rich Franklin,Jorge Rivera
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.0,24.0,75.0,71.0,74.0,75.0,2004-10-22, USA,Light Heavyweight,0.0,0.0,0.0,U-DEC,1.0,Tito Ortiz,Tito Ortiz,Patrick Cote
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,31.0,23.0,69.0,71.0,73.0,76.0,2004-10-22, USA,Welterweight,1.0,0.0,0.0,"SUB, Armbar",1.0,Matt Hughes,Matt Hughes,Georges St-Pierre
0.33333333333333337,3.0,2.0,,,,0.4,75.0,45.0,,,,0.6666666666666666,,0.6,,0.0,0.0,,,9.0,45.0,,,2.2,11.0,,,15.0,75.0,,,0.0,0.0,,,8.4,42.0,,,0.6,3.0,,,0.0,0.0,,,0.4,2.0,,,0.6,3.0,,,0.2,1.0,,,2.533333333333333,12.666666666666666,,,0.0,0.0,,,0.0,0.0,,,5.0,0.0,30.0,28.0,75.0,72.0,74.0,74.0,2005-02-05, USA,Light Heavyweight,0.0,0.0,0.0,S-DEC,1.0,Tito Ortiz,Tito Ortiz,Vitor Belfort
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.0,29.0,71.0,69.0,75.0,72.0,2005-02-05, USA,Middleweight,0.0,0.0,0.0,"SUB, Guillotine Choke",1.0,Pete Sell,Pete Sell,Phil Baroni
1.0,0.0,0.0,,,,0.6470588235294117,17.0,6.0,,,,0.0,,0.35294117647058826,,0.0,0.0,,,2.535211267605634,6.0,,,1.267605633802817,3.0,,,7.183098591549296,17.0,,,1.267605633802817,3.0,,,0.8450704225352113,2.0,,,0.4225352112676056,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.4225352112676056,1.0,,,0.0,0.0,,,2.3666666666666667,0.0,34.0,27.0,72.0,73.0,74.0,,2005-02-05, USA,Middleweight,1.0,0.0,0.0,"KO/TKO, Punches",1.0,Evan Tanner,Evan Tanner,David Terrell
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,31.0,27.0,74.0,73.0,77.0,,2005-02-05, USA,Heavyweight,0.0,0.0,0.0,"KO/TKO, Punches",1.0,Paul Buentello,Paul Buentello,Justin Eilers
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26.0,29.0,75.0,80.0,77.0,80.0,2005-02-05, USA,Heavyweight,1.0,0.0,0.0,"SUB, Ankle Lock",1.0,Andrei Arlovski,Andrei Arlovski,Tim Sylvia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26.0,32.0,72.0,70.0,76.0,,2005-02-05, USA,Middleweight,0.0,0.0,0.0,KO/TKO,1.0,David Loiseau,David Loiseau,Gideon Ray
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.0,31.0,70.0,71.0,72.0,68.0,2005-02-05, USA,Welterweight,0.0,0.0,0.0,U-DEC,1.0,Karo Parisyan,Karo Parisyan,Chris Lytle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22.0,26.0,73.0,70.0,76.0,70.0,2005-02-05, USA,Welterweight,0.0,0.0,0.0,"KO/TKO, Punches",1.0,Nick Diaz,Nick Diaz,Drew Fickett
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,25.0,27.0,76.0,74.0,77.0,75.0,2005-02-05, USA,Heavyweight,0.0,0.0,0.0,"KO/TKO, Punch",1.0,Mike Kyle,Mike Kyle,James Irvin
