blue_fighter,open_blue,close1_blue,close2_blue,red_fighter,open_red,close1_red,close2_red,event_date,og_blue_name,og_red_fighter
Ismael Bonfim,-200,-125,-112,Chris Padilla,+170,-106,+100,2025-11-09,Ismael Bonfim,Chris Padilla
Marco Tulio,+120,-175,-155,Christian Leroy Duncan,-140,+125,+140,2025-11-09,Marco Tulio,Christian Leroy Duncan
Randy Brown,+250,+135,+150,Gabriel Bonfim,-300,-190,-160,2025-11-09,Randy Brown,Gabriel Bonfim
Jamall Emmers,-185,+110,+124,Hyder Amil,+160,-150,-135,2025-11-08,Jamall Emmers,Hyder Amil
Max Gimenis,+250,+300,+340,Josh Hokit,-300,-450,-390,2025-11-08,Max Gimenis,Josh Hokit
Joseph Morales,-250,-455,-420,Matt Schnell,+210,+320,+355,2025-11-09,Joseph Morales,Matt Schnell
Jacqueline Cavalcanti,-300,-265,-220,Mayra Bueno Silva,+250,+184,+205,2025-11-08,Jacqueline Cavalcanti,Mayra Bueno Silva
Daniel Marcos,-300,-200,-186,Miles Johns,+250,+150,+165,2025-11-08,Daniel Marcos,Miles Johns
Earl Small,+155,+230,+275,Miles Lee,-185,-400,-290,2021-12-17,Daniel Marcos,Miles Johns
Liam Anderson,+120,+200,+240,Miles Lee,-150,-300,-275,2021-07-03,Daniel Marcos,Miles Johns
Uros Medic,-200,-138,-130,Muslim Salikhov,+170,+108,+116,2025-11-09,Uros Medic,Muslim Salikhov
Raoni Barcelos,+180,+138,+150,Ricky Simon,-210,-185,-168,2025-11-08,Raoni Barcelos,Ricky Simon
Denise Gomes,-200,-186,-178,Tecia Pennington,+170,+148,+157,2025-11-08,Denise Gomes,Tecia Pennington
Jackson McVey,+385,+240,+255,Zachary Reese,-500,-335,-280,2025-11-08,Jackson McVey,Zach Reese
