red_fighter,blue_fighter,open_blue,close1_blue,close2_blue,open_red,close1_red,close2_red,event_date,og_blue_name,og_red_fighter
Alex Perez,Charles Johson,-200,-170,-170,+170,+145,+145,2026-01-25,Charles Johnson,Alex Perez
Alex Perez,Carls John de Tomas,+180,+330,+335,-260,-420,-400,2017-12-09,Charles Johnson,Alex Perez
Alexander Volkanovski,Diego Lopes,+130,+125,+145,-166,-178,-165,2026-02-01,Diego Lopes,Alexander Volkanovski
Alexander Volkanovski,Diego Lopes,+110,+120,+136,-130,-162,-150,2025-04-13,Diego Lopes,Alexander Volkanovski
Arnold Allen,Jean Silva,-150,-230,-210,+130,+162,+191,2026-01-25,Jean Silva,Arnold Allen
Ateba Gautier,Andrey Pulyaev,+600,+600,+600,-900,-900,-900,2026-01-25,Andrey Pulyaev,
Cam Rowston,Cody Brundage,+250,+210,+210,-300,-250,-250,2026-02-01,Cody Brundage,Cam Rowston
Dan Hooker,Benoit Saint Denis,-265,-300,-265,+200,+200,+250,2026-02-01,Benoit Saint Denis,Dan Hooker
Jacob Malkoun,Torrez Finney,+210,+185,+185,-250,-220,-220,2026-02-01,Torrez Finney,Jacob Malkoun
Jimmy Crute,Dustin Jacoby,-110,-110,-110,-110,-110,-110,2026-02-01,Dustin Jacoby,Jimmy Crute
Jonathan Micallef,Oban Elliott,-110,+120,+120,-110,-140,-140,2026-02-01,Oban Elliott,Jonathan Micallef
Jonathan Micallef,Oban Elliott,-140,-125,-125,+115,+105,+105,2025-09-28,Oban Elliott,Jonathan Micallef
Josh Hokit,Denzel Freeman,+170,+170,+170,-200,-200,-200,2026-01-25,Denzel Freeman,Josh Hokit
Junior Tafa,Billy Elekana,-175,-180,-180,+150,+155,+155,2026-02-01,Billy Elekana,Junior Tafa
Justin Gaethje,Paddy Pimblett,-230,-275,-200,+176,+163,+210,2026-01-25,Paddy Pimblett,Justin Gaethje
Kaan Ofli,Yizha,-185,-185,-185,+160,+160,+160,2026-02-01,Yizha,
Kayla Harrison,Amanda Nunes,+136,+130,+156,-162,-188,-155,2026-01-25,Amanda Nunes,Kayla Harrison
Max Holloway,Charles Oliveira,+130,+145,+175,-150,-205,-188,,Charles Oliveira,Max Holloway
Max Holloway,Charles Oliveira,+125,+210,+215,-165,-255,-245,2015-08-23,Charles Oliveira,Max Holloway
Michael Johnson,Alexander Hernandez,-300,-190,-190,+250,+165,+165,2026-01-24,Alexander Hernandez,Michael Johnson
Natalia Silva,Rose Namajunas,+130,+340,+340,-150,-410,-410,2026-01-25,Rose Namajunas,Natalia Silva
Nikita Krylov,Modestas Bukauskas,-200,-240,-240,+170,+205,+205,2026-01-25,Modestas Bukauskas,Nikita Krylov
Quillan Salkilld,Rongzhu,+170,+185,+185,-200,-215,-215,2026-02-01,Rongzhu,
Rafael Fiziev,Mauricio Ruffy,-110,+145,+145,-110,-170,-170,2026-02-01,Mauricio Ruffy,Rafael Fiziev
Ricky Turcios,Cameron Smotherman,-350,-265,-265,+285,+225,+225,2026-01-25,Cameron Smotherman,Ricky Turcios
Sean O'Malley,Cory Sandhagen,-155,-155,-155,+118,+118,+118,2025-12-31,Song Yadong,Sean O'Malley
Sean Strickland,Anthony Hernandez,-245,-250,-245,+186,+185,+186,2026-02-22,Anthony Hernandez,Sean Strickland
Tai Tuivasa,Tallison Teixeira,-300,-300,-300,+250,+250,+250,2026-02-01,Tallison Teixeira,Tai Tuivasa
Umar Nurmagomedov,Deiveson Figueiredo,+550,+850,+850,-800,-1400,-1400,2026-01-25,Deiveson Figueiredo,Umar Nurmagomedov
Waldo Cortes-Acosta,Derrick Lewis,+170,+205,+250,-200,-333,-265,2026-01-25,Derrick Lewis,Waldo Cortes Acosta
