iter	F1	Logloss
0	0.6487212423	0.6886505062
1	0.653675385	0.6852662211
2	0.6429181913	0.6820820242
3	0.6343282406	0.6789901723
4	0.6430191288	0.6761201613
5	0.6359078966	0.6721898098
6	0.6387063271	0.6674916371
7	0.6378832781	0.6641316704
8	0.6325724169	0.6613473268
9	0.6348112531	0.6592344675
10	0.6387487833	0.6572680313
11	0.64154984	0.6548518168
12	0.6468660542	0.6531172334
13	0.6497476634	0.6513654388
14	0.6495998583	0.6498359205
15	0.6528545181	0.6486035809
16	0.6547013922	0.646696796
17	0.654419867	0.6453849331
18	0.6556316157	0.644160866
19	0.6565369807	0.6425123371
20	0.6554799018	0.6407348997
21	0.6554099311	0.6396334119
22	0.65639124	0.6376340648
23	0.6559827627	0.6363124801
24	0.6561219331	0.635374759
25	0.6568823722	0.6341716389
26	0.6582902772	0.6329196903
27	0.6573929968	0.6320868475
28	0.6572214312	0.6311120669
29	0.6564393951	0.6306190456
30	0.6572901337	0.6297582854
31	0.6562391744	0.629050792
32	0.6571526267	0.6272388593
33	0.6569657189	0.6266025272
34	0.6579318808	0.6252079344
35	0.658255614	0.6245402835
36	0.658255614	0.6234398852
37	0.6588162671	0.6227631265
38	0.658255614	0.6219714515
39	0.6583745261	0.6212595989
40	0.6586807113	0.6205798001
41	0.6594623364	0.6194224618
42	0.6595295211	0.6188962553
43	0.6603625284	0.618218415
44	0.6618866095	0.6174944303
45	0.6617658512	0.6168529283
46	0.6625743661	0.6161309345
47	0.6625420137	0.6155686344
48	0.6631312238	0.6150497264
49	0.663687618	0.6143213664
50	0.66331674	0.6140251651
51	0.6631633328	0.613535933
52	0.6652003813	0.612938436
53	0.6644287569	0.6122919036
54	0.6644603551	0.611632105
55	0.6675390591	0.6111471492
56	0.6670468639	0.6104760737
57	0.6675390591	0.6100677475
58	0.6681523034	0.6094624762
59	0.6700860453	0.6088862001
60	0.6693803539	0.6084837046
61	0.6711586001	0.6078322476
62	0.6700860453	0.6072781265
63	0.6714677551	0.6067547977
64	0.6724826401	0.6064270003
65	0.6715357824	0.6058674114
66	0.6724826401	0.6052918396
67	0.6749082131	0.6045810927
68	0.6735970414	0.6040638056
69	0.6753199275	0.603373991
70	0.6755306658	0.6030490555
71	0.6758423229	0.6025704617
72	0.6769677207	0.6020068497
73	0.6768656213	0.6014319806
74	0.6777519253	0.601056271
75	0.6775693836	0.6008068348
76	0.6800947346	0.6002528772
77	0.6798080994	0.5998180416
78	0.6792624056	0.5991939604
79	0.6791064286	0.5987310142
80	0.6794443537	0.5982562952
81	0.6804585016	0.5979009124
82	0.6813418603	0.5975334519
83	0.6806657545	0.5970910571
84	0.6812358837	0.5965748181
85	0.6818051243	0.5960117379
86	0.6821675708	0.5955895979
87	0.6817801374	0.5952266184
88	0.6825627699	0.594705842
89	0.6826122081	0.5940908223
90	0.6827441883	0.5938216485
91	0.6829009505	0.5935659318
92	0.6843025134	0.5930873524
93	0.6839885328	0.5924950294
94	0.6840127197	0.5921503824
95	0.6862688591	0.5914625722
96	0.6872601799	0.5908877955
97	0.6882527751	0.5905214315
98	0.6878914056	0.5899898802
99	0.6889077435	0.5894809868
100	0.6889077435	0.5891023921
101	0.6904442316	0.5885424259
102	0.6901271419	0.5882769521
103	0.6906464599	0.5877413088
104	0.6911225399	0.5872716813
105	0.690668223	0.5867693375
106	0.6927861991	0.5861034685
107	0.6946804012	0.5856051481
