iter	Passed	Remaining
0	172	96346
1	202	56549
2	234	43596
3	280	39114
4	312	34761
5	343	31775
6	389	30857
7	436	30140
8	451	27722
9	468	25789
10	482	24148
11	498	22791
12	529	22312
13	560	21905
14	575	20944
15	606	20665
16	623	19943
17	652	19694
18	701	20014
19	730	19760
20	762	19619
21	808	19801
22	823	19272
23	856	19158
24	900	19306
25	916	18855
26	931	18418
27	963	18335
28	979	17960
29	1008	17853
30	1028	17580
31	1054	17440
32	1087	17396
33	1102	17091
34	1133	17032
35	1150	16774
36	1196	16940
37	1242	17100
38	1273	17047
39	1320	17205
40	1336	16950
41	1351	16701
42	1383	16661
43	1398	16434
44	1429	16389
45	1460	16348
46	1506	16475
47	1537	16430
48	1568	16391
49	1599	16347
50	1629	16297
51	1660	16254
52	1706	16361
53	1722	16176
54	1770	16285
55	1787	16120
56	1816	16064
57	1832	15895
58	1848	15723
59	1878	15688
60	1910	15658
61	1942	15635
62	1989	15728
63	2036	15814
64	2051	15653
65	2082	15617
66	2114	15589
67	2129	15435
68	2159	15396
69	2188	15352
70	2204	15212
71	2236	15187
72	2251	15051
73	2267	14921
74	2298	14892
75	2329	14863
76	2360	14836
77	2392	14814
78	2422	14782
79	2438	14663
80	2468	14629
81	2500	14604
82	2547	14672
83	2563	14556
84	2593	14522
85	2600	14364
86	2625	14302
87	2655	14275
88	2671	14168
89	2701	14140
90	2749	14199
91	2795	14252
92	2826	14225
93	2841	14118
94	2857	14019
95	2889	13993
96	2919	13966
97	2935	13870
98	2966	13842
99	2997	13817
100	3059	13932
101	3104	13972
102	3120	13877
103	3136	13783
104	3166	13752
105	3197	13723
106	3227	13694
107	3307	13872
108	3337	13841
109	3353	13750
110	3369	13658
111	3400	13630
112	3415	13542
113	3421	13414
114	3431	13308
115	3461	13278
116	3492	13253
117	3523	13228
118	3539	13147
119	3570	13121
120	3587	13044
121	3617	13015
122	3649	12994
123	3695	13024
124	3711	12946
125	3742	12919
126	3789	12948
127	3805	12872
128	3836	12848
129	3851	12770
130	3867	12695
131	3914	12721
132	3930	12648
133	3962	12625
134	3994	12604
135	4009	12529
136	4024	12455
137	4055	12429
138	4087	12409
139	4119	12387
140	4135	12317
141	4166	12293
142	4176	12207
143	4189	12131
144	4220	12108
145	4237	12044
146	4282	12061
147	4313	12037
148	4347	12019
149	4361	11949
150	4408	11969
151	4424	11904
152	4440	11840
153	4470	11813
154	4486	11751
155	4518	11730
156	4532	11664
157	4548	11601
158	4579	11578
159	4595	11516
160	4611	11456
161	4627	11396
162	4673	11410
163	4720	11427
164	4767	11442
165	4797	11416
166	4814	11358
167	4831	11301
168	4845	11239
169	4861	11180
170	4876	11122
171	4908	11101
172	4924	11044
173	4939	10985
174	4954	10927
175	4985	10904
176	5016	10882
177	5031	10826
178	5046	10770
179	5062	10716
180	5093	10693
181	5124	10671
182	5154	10647
183	5186	10627
184	5218	10605
185	5248	10581
186	5280	10560
187	5311	10538
188	5358	10547
189	5391	10526
190	5408	10477
191	5422	10420
192	5453	10397
193	5484	10374
194	5515	10352
195	5538	10314
196	5555	10265
197	5569	10210
198	5602	10191
199	5647	10193
200	5693	10197
201	5739	10200
202	5786	10204
203	5818	10182
204	5865	10185
205	5895	10159
206	5929	10139
207	5958	10112
208	5989	10088
209	6021	10063
210	6035	10012
211	6066	9987
212	6081	9936
213	6128	9937
214	6144	9889
215	6207	9914
216	6238	9890
217	6269	9864
218	6285	9815
219	6331	9813
220	6347	9765
221	6364	9718
222	6395	9693
223	6409	9643
224	6427	9597
225	6440	9547
226	6486	9543
227	6501	9496
228	6531	9469
229	6547	9422
230	6578	9398
231	6625	9395
232	6640	9348
233	6656	9302
234	6687	9276
235	6702	9230
236	6717	9183
237	6764	9180
238	6811	9176
239	6842	9151
240	6873	9126
241	6888	9080
242	6920	9056
243	6935	9010
244	6966	8984
245	6996	8958
246	7028	8935
247	7043	8889
248	7076	8866
249	7121	8858
250	7136	8814
251	7152	8769
252	7184	8745
253	7199	8701
254	7230	8676
255	7292	8688
256	7308	8644
257	7339	8619
258	7355	8576
259	7385	8550
260	7433	8544
261	7480	8536
262	7511	8510
263	7558	8503
264	7589	8476
265	7605	8434
266	7620	8391
267	7651	8365
268	7683	8340
269	7716	8316
270	7746	8289
271	7762	8247
272	7777	8204
273	7823	8194
274	7838	8152
275	7853	8109
276	7900	8100
277	7931	8074
278	7948	8033
279	7978	8006
