iter	F1	Logloss
0	0.5222416088	0.6922020495
1	0.5953900048	0.6913792245
2	0.5861808425	0.6905013507
3	0.5812932804	0.6898237173
4	0.5834762645	0.688960983
5	0.5848245484	0.688188782
6	0.5845181796	0.6873978409
7	0.5823979975	0.6867707448
8	0.587973356	0.6859996283
9	0.5815941601	0.6853670664
10	0.5803541218	0.6846527338
11	0.5890100233	0.6838451784
12	0.5869111386	0.6830327645
13	0.5881086407	0.6824713885
14	0.5838961734	0.6818653315
15	0.5828796621	0.6811532981
16	0.5815108134	0.6806351717
17	0.5810413799	0.6801042048
18	0.5813166159	0.6795875099
19	0.5850339638	0.6789707816
20	0.5851612866	0.678370147
21	0.5856050663	0.677728432
22	0.5873134956	0.6771817184
23	0.5868684815	0.67645884
24	0.5865528394	0.6759958925
25	0.5887736683	0.6755431825
26	0.5883681728	0.6751050481
27	0.5896226266	0.6743466852
28	0.5896627149	0.6739132792
29	0.5889822186	0.6731983394
30	0.5894402016	0.6726808202
31	0.5889041042	0.672197571
32	0.5927490283	0.6718108849
33	0.5936420303	0.671399776
34	0.5945303742	0.6710062793
35	0.5931063074	0.6705829807
36	0.5938190823	0.6701920868
37	0.5947936125	0.6697257556
38	0.5979793502	0.6693175532
39	0.5996077213	0.6689312575
40	0.5985973516	0.6685633114
41	0.600954236	0.668129862
42	0.5998602871	0.6676280463
43	0.5974803417	0.6672536366
44	0.597309041	0.6666860574
45	0.6005047263	0.6664015303
46	0.5993838886	0.6659907251
47	0.6006723899	0.6656544461
48	0.5995233327	0.6653103588
49	0.6008968564	0.6649716072
50	0.6035831219	0.6646322916
51	0.601679204	0.6643115859
52	0.600139974	0.664087747
53	0.5994388438	0.6638766616
54	0.6050362767	0.6634059057
55	0.6018795735	0.6628775851
56	0.6013716289	0.6622720487
57	0.6025784548	0.6617199126
58	0.6021877473	0.6613726152
59	0.603336921	0.6610609758
60	0.6046299827	0.6606221474
61	0.6058596531	0.6602925922
62	0.6056171267	0.6597648789
63	0.6086878354	0.6594369722
64	0.6099054215	0.6589608806
65	0.6085990628	0.6585020975
66	0.6061366421	0.6581782251
67	0.6065255357	0.6578152242
68	0.6066725549	0.6576070453
69	0.6085990628	0.6572899835
70	0.6085990628	0.6571120402
71	0.6108243648	0.6565841968
72	0.6105961018	0.6562722538
73	0.6089852616	0.6560657667
74	0.6084504586	0.6559667309
75	0.6116648808	0.65560989
76	0.6112814032	0.6551685021
77	0.6123515927	0.6549091353
78	0.6125808394	0.6547128424
79	0.611742094	0.6544158654
80	0.6141834541	0.6540703465
81	0.6146418938	0.6538972617
82	0.6157909928	0.6537622643
83	0.6154107797	0.6536015861
84	0.6166389358	0.6532251376
85	0.6159526892	0.6527406303
86	0.618175814	0.6524943207
87	0.6204713009	0.6522270588
88	0.6220843225	0.6519329448
89	0.6208647939	0.6516918407
90	0.6209368445	0.6515202743
91	0.6210259153	0.651104437
92	0.6216549696	0.6508089349
93	0.6205757296	0.6506495147
94	0.6225512921	0.650448667
95	0.6214030872	0.6501618408
96	0.6208647939	0.6499155312
97	0.6204872395	0.6496550364
98	0.6210979398	0.6495160914
99	0.6207926572	0.6493083463
100	0.6214030872	0.6490185269
101	0.6212593486	0.648815944
102	0.6220843225	0.6485554492
103	0.6224801719	0.6483111785
104	0.6227140325	0.6481249063
105	0.6228271032	0.6475509936
106	0.6227558119	0.6473402987
107	0.6232041592	0.6471081743
108	0.6234390657	0.6468400447
109	0.6239564169	0.6465912624
110	0.6240504846	0.6462434011
111	0.6252019932	0.6459927101
112	0.6258121814	0.6458276506
113	0.6262837603	0.6456131383
114	0.6261170724	0.6454919356
115	0.6258121814	0.6452595942
116	0.6247313743	0.6449429228
117	0.6253413121	0.6448226311
118	0.6265595661	0.6444583722
119	0.6273352848	0.6442985616
120	0.6280793504	0.6440622727
121	0.6274718404	0.6439565131
122	0.6273045064	0.6437544941
123	0.6279792976	0.6436065262
124	0.6281471135	0.6434447201
125	0.6283829037	0.6430697899
126	0.6303049479	0.6427225792
127	0.6300017468	0.6425961276
128	0.6315164113	0.6424144102
129	0.6318189424	0.6421453697
130	0.6321213398	0.6419578829
131	0.6321866069	0.6415453425
132	0.6327906121	0.6414400167
133	0.6332650263	0.6412936538
134	0.6336956204	0.6411534074
135	0.6346458883	0.6409008945
136	0.6349475335	0.640730586
137	0.6358377386	0.6401668242
138	0.6352969897	0.6400400689
139	0.6371591246	0.6397158495
140	0.6370966366	0.6396201106
141	0.6351698181	0.6395182986
142	0.6374609863	0.6392837015
143	0.6378247399	0.6390679745
144	0.6378866915	0.638848647
145	0.638427408	0.6386696193
146	0.638427408	0.6386136161
147	0.6384889729	0.6384588376
148	0.6390907219	0.638363706
149	0.6385504645	0.6382031146
150	0.6404119041	0.6376019595
151	0.6415537979	0.637376342
152	0.6416134606	0.6371279068
153	0.6407726605	0.6369327852
154	0.6411934894	0.6368144889
155	0.6418540473	0.6366537239
156	0.6406522527	0.6365038039
157	0.6404119041	0.6363396553
158	0.6430537187	0.636087663
159	0.6429949445	0.6359520582
160	0.6443766682	0.6356352567
161	0.6443186426	0.6354845124
162	0.644618333	0.6353551977
163	0.643777273	0.6351432014
164	0.6434187759	0.6350490676
165	0.6450445487	0.634889257
166	0.6450445487	0.6348188084
167	0.644618333	0.6346412989
168	0.6440770369	0.6341839908
169	0.6438356122	0.6340490801
170	0.643777273	0.6338422459
171	0.6434187759	0.6337161847
