iter	Passed	Remaining
0	45	68728
1	66	49772
2	86	43193
3	108	40475
4	128	38288
5	148	36882
6	168	35867
7	187	35027
8	208	34549
9	243	36334
10	264	35808
11	285	35391
12	305	34938
13	328	34847
14	348	34478
15	368	34166
16	389	33990
17	410	33812
18	432	33708
19	452	33470
20	471	33203
21	493	33130
22	514	33024
23	535	32909
24	555	32790
25	576	32671
26	597	32595
27	617	32488
28	639	32445
29	663	32534
30	684	32448
31	705	32358
32	727	32328
33	749	32321
34	769	32222
35	790	32127
36	812	32111
37	833	32050
38	853	31984
39	876	31974
40	898	31991
41	920	31953
42	943	31958
43	964	31908
44	985	31869
45	1005	31775
46	1026	31746
47	1047	31680
48	1067	31607
49	1087	31539
50	1109	31525
51	1131	31509
52	1151	31450
53	1172	31394
54	1193	31343
55	1213	31301
56	1233	31229
57	1253	31167
58	1273	31109
59	1294	31070
60	1327	31320
61	1358	31509
62	1384	31578
63	1405	31544
64	1426	31498
65	1447	31452
66	1467	31382
67	1493	31457
68	1514	31406
69	1534	31355
70	1554	31287
71	1574	31227
72	1595	31191
73	1616	31144
74	1636	31088
75	1656	31038
76	1676	30981
77	1697	30947
78	1718	30910
79	1739	30871
80	1759	30827
81	1782	30817
82	1802	30765
83	1822	30720
84	1842	30678
85	1863	30638
86	1884	30598
87	1905	30570
88	1925	30530
89	1946	30498
90	1967	30464
91	1988	30432
92	2009	30399
93	2031	30389
94	2052	30355
95	2073	30320
96	2093	30273
97	2112	30226
98	2133	30199
99	2154	30161
100	2175	30130
101	2195	30094
102	2215	30054
103	2236	30014
104	2256	29974
105	2276	29937
106	2298	29929
107	2320	29910
108	2342	29895
109	2363	29860
110	2384	29837
111	2405	29805
112	2426	29779
113	2446	29745
114	2467	29714
115	2489	29700
116	2509	29658
117	2530	29631
118	2551	29607
119	2572	29587
120	2593	29555
121	2613	29521
122	2634	29491
123	2654	29456
124	2675	29431
125	2696	29402
126	2716	29371
127	2738	29350
128	2758	29318
129	2779	29287
130	2799	29258
131	2820	29233
132	2841	29201
133	2862	29178
134	2882	29147
135	2904	29133
136	2924	29100
137	2946	29079
138	2971	29092
139	2992	29069
140	3011	29026
141	3033	29009
142	3055	28992
143	3075	28960
144	3095	28926
145	3115	28896
146	3136	28866
147	3156	28838
148	3178	28815
149	3198	28785
150	3217	28748
151	3238	28717
152	3258	28689
153	3280	28669
154	3301	28646
155	3322	28620
156	3345	28615
157	3365	28587
158	3387	28567
159	3408	28547
160	3428	28514
161	3448	28483
162	3468	28448
163	3489	28423
164	3510	28400
165	3531	28377
166	3552	28358
167	3574	28341
168	3595	28315
169	3615	28284
170	3635	28252
171	3655	28222
172	3677	28209
173	3699	28191
174	3719	28163
175	3741	28143
176	3762	28120
177	3784	28108
178	3804	28075
179	3823	28038
180	3844	28016
181	3864	27986
182	3885	27964
183	3906	27939
184	3926	27913
185	3948	27894
186	3969	27868
187	3992	27860
188	4015	27854
189	4036	27828
190	4056	27801
191	4076	27773
192	4099	27762
193	4121	27744
194	4142	27719
195	4162	27693
196	4184	27675
197	4205	27653
198	4225	27625
199	4245	27594
200	4267	27582
201	4290	27569
202	4310	27543
203	4331	27516
204	4355	27513
205	4375	27487
206	4396	27462
207	4418	27447
208	4443	27450
209	4464	27423
210	4485	27401
211	4505	27375
212	4525	27346
213	4546	27319
214	4567	27297
215	4589	27279
216	4609	27256
217	4631	27235
218	4652	27215
219	4674	27198
220	4695	27175
221	4716	27151
222	4731	27095
223	4751	27069
224	4772	27042
225	4792	27016
226	4815	27002
227	4836	26979
228	4857	26960
229	4878	26937
230	4900	26919
231	4920	26891
232	4940	26865
233	4964	26857
234	4986	26841
235	5007	26820
236	5029	26800
237	5048	26771
238	5069	26749
239	5090	26724
240	5110	26696
241	5130	26672
242	5150	26643
243	5171	26620
244	5192	26599
245	5213	26574
246	5234	26555
247	5255	26533
248	5276	26509
249	5296	26484
250	5317	26462
251	5337	26433
252	5359	26415
253	5377	26381
254	5399	26364
255	5421	26343
256	5440	26313
257	5463	26298
258	5485	26286
259	5506	26259
260	5525	26230
261	5545	26202
262	5565	26174
263	5595	26198
264	5617	26177
265	5636	26148
266	5658	26130
267	5680	26112
268	5700	26085
269	5720	26061
270	5741	26038
271	5762	26017
272	5783	25991
273	5802	25964
274	5824	25945
275	5843	25916
276	5865	25899
277	5886	25876
278	5907	25854
279	5929	25834
280	5949	25809
281	5969	25782
282	5990	25761
283	6012	25743
284	6032	25719
285	6052	25689
286	6073	25667
287	6092	25641
288	6117	25635
289	6138	25612
290	6158	25587
291	6179	25563
292	6199	25538
293	6220	25516
294	6240	25489
295	6261	25467
296	6281	25443
297	6302	25421
298	6322	25395
299	6343	25375
300	6363	25350
301	6384	25325
302	6406	25308
303	6427	25285
304	6447	25261
305	6467	25234
306	6488	25214
307	6508	25188
308	6529	25166
309	6549	25142
310	6569	25117
311	6591	25097
312	6610	25070
313	6629	25041
314	6649	25014
315	6669	24989
316	6689	24964
317	6709	24938
318	6729	24914
319	6749	24887
320	6768	24861
321	6789	24838
322	6812	24824
323	6832	24799
324	6852	24775
325	6874	24754
326	6894	24730
327	6914	24705
328	6932	24673
329	6954	24655
330	6976	24637
331	6996	24612
332	7015	24587
333	7036	24565
334	7057	24543
335	7079	24524
336	7100	24505
337	7124	24492
338	7152	24496
339	7173	24473
340	7193	24449
341	7213	24423
342	7235	24406
343	7255	24382
344	7276	24362
345	7299	24346
346	7326	24344
347	7346	24318
348	7366	24293
349	7386	24270
350	7407	24248
351	7428	24225
352	7447	24200
353	7467	24175
354	7488	24153
355	7509	24130
356	7528	24104
357	7550	24085
358	7570	24060
359	7590	24037
360	7612	24017
361	7633	23997
362	7654	23976
363	7674	23951
364	7697	23935
365	7718	23914
366	7739	23893
367	7762	23878
368	7783	23856
369	7808	23846
370	7829	23825
371	7849	23802
372	7870	23780
373	7891	23760
374	7913	23740
375	7941	23740
376	7961	23716
377	7980	23689
378	8001	23667
379	8022	23644
380	8042	23622
381	8065	23603
382	8088	23590
383	8108	23565
384	8128	23541
385	8149	23520
386	8170	23496
387	8190	23474
388	8211	23452
389	8233	23433
390	8255	23415
391	8275	23391
392	8296	23368
393	8317	23346
394	8336	23321
395	8357	23299
396	8377	23276
397	8398	23255
398	8419	23232
399	8440	23211
400	8460	23188
401	8480	23163
402	8503	23148
403	8524	23125
404	8544	23101
405	8566	23083
406	8586	23059
407	8608	23039
408	8629	23018
409	8649	22994
410	8670	22973
411	8697	22968
412	8717	22944
413	8738	22923
414	8759	22901
415	8779	22876
416	8799	22853
417	8819	22830
418	8839	22805
419	8861	22787
420	8881	22763
421	8902	22742
422	8924	22722
423	8944	22699
424	8964	22674
425	8984	22650
426	9005	22630
427	9025	22606
428	9045	22582
429	9065	22559
430	9088	22540
431	9107	22515
432	9127	22492
433	9149	22473
434	9169	22450
435	9190	22428
436	9210	22404
437	9230	22381
438	9250	22358
439	9270	22332
440	9290	22309
441	9310	22286
442	9330	22263
443	9351	22240
444	9371	22217
445	9391	22194
446	9411	22171
447	9431	22147
448	9453	22127
449	9473	22104
450	9493	22082
451	9513	22058
452	9536	22042
453	9558	22023
454	9579	22000
455	9599	21977
456	9620	21956
457	9640	21932
458	9661	21912
459	9681	21888
460	9701	21865
461	9721	21842
462	9741	21818
463	9762	21796
464	9782	21773
465	9802	21750
466	9822	21728
467	9842	21704
468	9863	21682
469	9886	21665
470	9905	21641
471	9926	21619
472	9946	21597
473	9967	21575
474	9985	21548
475	10005	21523
476	10024	21499
477	10043	21473
478	10062	21449
479	10081	21423
480	10100	21398
481	10120	21375
482	10139	21348
483	10158	21323
484	10177	21298
485	10196	21273
486	10214	21247
487	10234	21223
488	10253	21198
489	10273	21175
490	10292	21151
491	10311	21127
492	10330	21101
493	10350	21077
494	10368	21050
495	10388	21028
496	10407	21004
497	10427	20980
498	10446	20955
499	10465	20931
500	10485	20909
501	10504	20883
502	10523	20858
503	10541	20832
504	10560	20807
505	10580	20783
506	10599	20759
507	10620	20738
508	10639	20715
509	10658	20690
510	10677	20664
511	10695	20639
512	10715	20615
513	10735	20593
514	10754	20570
515	10773	20543
516	10792	20520
517	10810	20494
518	10830	20470
519	10849	20447
520	10868	20422
521	10887	20398
522	10906	20373
523	10926	20350
524	10945	20327
525	10964	20303
526	10985	20281
527	11004	20258
528	11022	20232
529	11042	20209
530	11060	20184
531	11080	20160
532	11099	20136
533	11118	20112
534	11136	20088
535	11156	20065
536	11176	20042
537	11201	20028
538	11219	20004
539	11238	19979
