favorites_chosen,favorites_correct,favorites_wrong,favorites_units,dogs_chosen,dogs_correct,dogs_wrong,dogs_units,accuracy,total_units
502,373,129,46.9546427406304,88,54,34,41.80367819121675,0.7237288135593221,88.75832093184715
502,386,116,69.913886284326,88,56,32,46.52280440480897,0.7491525423728813,116.43669068913513
502,378,124,61.915374679582115,88,62,26,61.224342866347435,0.7457627118644068,123.1397175459297
502,378,124,54.99739437606873,88,45,43,23.423678191216744,0.7169491525423729,78.42107256728549
502,372,130,46.03647425050822,88,47,41,29.232804404808988,0.7101694915254237,75.26927865531725
502,369,133,41.46440386761235,88,58,30,56.973286034354004,0.7237288135593221,98.43768990196644
502,368,134,40.21212814994157,88,49,39,37.65126594327052,0.7067796610169491,77.86339409321214
502,365,137,35.623880714747486,88,62,26,62.935216652755194,0.7237288135593221,98.55909736750286
502,360,142,33.61914506189697,88,42,46,13.160392156862743,0.6813559322033899,46.779537218759735
502,375,127,51.567536731264646,88,52,36,41.12241224794623,0.7237288135593221,92.6899489792109
502,371,131,45.527501377123855,88,50,38,32.781930618401205,0.7135593220338983,78.30943199552509
502,380,122,60.94389875338182,88,53,35,44.72367819121675,0.7338983050847457,105.66757694459862
502,369,133,43.95706574627924,88,44,44,21.70126594327051,0.7,65.65833168954978
502,380,122,58.9261885651493,88,50,38,35.44346907993966,0.7288135593220338,94.36965764508909
502,377,125,54.69326675501029,88,51,37,33.282139729678285,0.7254237288135593,87.9754064846887
502,369,133,42.13031584629525,88,57,31,58.18241224794623,0.7220338983050848,100.31272809424156
502,369,133,40.962128447432754,88,50,38,35.631747572815534,0.7101694915254237,76.59387602024833
502,366,136,36.670517989459434,88,43,45,17.68241224794623,0.6932203389830508,54.352930237405666
502,383,119,64.27777991562584,88,57,31,53.13482449589246,0.7457627118644068,117.41260441151834
502,367,135,38.671991326123035,88,50,38,32.24241224794623,0.7067796610169491,70.91440357406935
502,376,126,51.45511852119568,88,52,36,38.30280440480897,0.7254237288135593,89.75792292600477
502,374,128,54.86409861754475,88,55,33,42.52482449589247,0.7271186440677966,97.38892311343726
502,392,110,78.96654113029676,88,55,33,47.36213972967828,0.7576271186440678,126.32868085997511
502,381,121,62.963428250083716,88,50,38,33.71280440480897,0.7305084745762712,96.67623265489273
502,371,131,42.483697195563096,88,58,30,54.133678191216745,0.7271186440677966,96.61737538677991
502,385,117,66.94095100051078,88,60,28,58.55434286634742,0.7542372881355932,125.4952938668583
502,370,132,42.22251423709196,88,49,39,34.821265943270525,0.7101694915254237,77.04378018036243
502,366,136,38.13273926391108,88,43,45,19.023286034353998,0.6932203389830508,57.15602529826506
502,368,134,40.57832102473257,88,46,42,30.46153846153847,0.7016949152542373,71.03985948627111
502,383,119,65.73384889464101,88,38,50,2.972412247946228,0.7135593220338983,68.70626114258728
502,386,116,66.99437009910959,88,48,40,31.231747572815536,0.735593220338983,98.22611767192521
502,376,126,54.556098403755314,88,54,34,42.94367819121675,0.7288135593220338,97.49977659497215
502,387,115,70.59467258665592,88,54,34,43.794342866347435,0.747457627118644,114.38901545300341
502,382,120,62.28025346796231,88,52,36,42.904824495892456,0.735593220338983,105.18507796385481
502,386,116,70.69631189075157,88,54,34,44.64434286634744,0.7457627118644068,115.34065475709903
502,376,126,52.3377243254199,88,58,30,54.420873786407775,0.735593220338983,106.75859811182768
502,377,125,59.292814227326346,88,42,46,13.731265943270508,0.7101694915254237,73.02408017059692
502,365,137,35.42660758759642,88,54,34,48.952412247946235,0.7101694915254237,84.37901983554272
502,371,131,44.86020615474581,88,54,34,46.9052166527552,0.7203389830508474,91.76542280750108
502,380,122,58.651005246153616,88,55,33,48.08126594327051,0.7372881355932204,106.7322711894242
502,371,131,46.17438954097663,88,51,37,38.483076923076936,0.7152542372881356,84.65746646405357
502,372,130,48.03366048968174,88,45,43,25.92,0.7067796610169491,73.95366048968177
502,363,139,34.39229033610733,88,55,33,41.6252166527552,0.7084745762711865,76.01750698886255
502,378,124,59.907247396821646,88,46,42,25.342804404808977,0.7186440677966102,85.25005180163068
502,370,132,45.40798817525115,88,49,39,33.94328603435399,0.7101694915254237,79.35127420960521
502,386,116,67.15213516444426,88,46,42,28.585216652755204,0.7322033898305085,95.73735181719952
502,366,136,41.581856939044336,88,47,41,25.811265943270513,0.7,67.39312288231486
502,389,113,71.64955210095077,88,46,42,27.711747572815536,0.7372881355932204,99.36129967376635
502,392,110,78.80622616978357,88,47,41,27.374342866347433,0.7440677966101695,106.18056903613109
502,381,121,60.80713137923215,88,42,46,13.603678191216746,0.7169491525423729,74.4108095704489
502,362,140,32.56690939941379,88,55,33,49.793678191216735,0.7067796610169491,82.36058759063053
502,374,128,52.39751646833721,88,48,40,26.131930618401206,0.7152542372881356,78.52944708673841
502,389,113,74.03481768595324,88,55,33,49.191538461538464,0.752542372881356,123.22635614749183
502,377,125,57.845696782398676,88,53,35,46.403286034354,0.7288135593220338,104.24898281675274
502,387,115,68.97733334024849,88,45,43,25.421747572815544,0.7322033898305085,94.39908091306408
502,374,128,49.8601223096737,88,56,32,47.50241224794623,0.7288135593220338,97.36253455762002
502,386,116,71.94810623743798,88,51,37,39.19367819121674,0.7406779661016949,111.14178442865477
502,376,126,54.461613926278275,88,54,34,50.86241224794623,0.7288135593220338,105.32402617422454
502,379,123,57.575766973500436,88,57,31,48.88482449589246,0.7389830508474576,106.46059146939301
502,392,110,81.98768168468496,88,48,40,35.330000000000005,0.7457627118644068,117.31768168468498
502,367,135,39.91042301457532,88,49,39,32.19307692307693,0.7050847457627119,72.10349993765227
502,387,115,67.56074560119352,88,43,45,20.279999999999998,0.7288135593220338,87.84074560119355
502,382,120,62.317124540206365,88,51,37,40.73482449589246,0.7338983050847457,103.05194903609897
502,364,138,37.44367151635257,88,46,42,24.103950709484693,0.6949152542372882,61.54762222583724
502,375,127,53.47586446691879,88,47,41,26.742804404808975,0.7152542372881356,80.21866887172781
502,374,128,47.584723838773094,88,47,41,33.83241224794622,0.7135593220338983,81.41713608671941
502,386,116,68.47778845270234,88,50,38,39.61434286634744,0.7389830508474576,108.09213131904987
502,380,122,61.18779396749752,88,55,33,50.5239507094847,0.7372881355932204,111.7117446769823
502,373,129,47.96542661545303,88,56,32,53.78280440480897,0.7271186440677966,101.74823102026212
502,378,124,59.21076888586037,88,50,38,33.621538461538464,0.7254237288135593,92.83230734739898
502,366,136,35.25059250769559,88,53,35,42.093678191216725,0.7101694915254237,77.3442706989124
502,375,127,49.599553252859785,88,51,37,27.954342866347435,0.7220338983050848,77.55389611920728
502,375,127,48.60864798129829,88,52,36,42.59241224794624,0.7237288135593221,91.20106022924458
502,381,121,62.57969297747327,88,45,43,22.31087378640776,0.7220338983050848,84.8905667638811
502,382,120,59.172009085731126,88,56,32,51.15367819121675,0.7423728813559322,110.32568727694792
502,374,128,54.24586931299369,88,43,45,17.76,0.7067796610169491,72.00586931299375
502,386,116,68.10276110645474,88,50,38,34.96482449589246,0.7389830508474576,103.06758560234721
502,372,130,45.6930893677353,88,50,38,38.42280440480897,0.7152542372881356,84.11589377254433
502,379,123,59.05455799782724,88,53,35,41.66280440480898,0.7322033898305085,100.71736240263631
502,383,119,63.69788652956859,88,51,37,33.97193061840121,0.735593220338983,97.66981714796985
502,394,108,79.26759500685702,88,60,28,59.31434286634743,0.7694915254237288,138.58193787320448
