,vanish_index,rank
pimp_open_blue,79,1
proba_fair_open_blue,77,2
proba_fair_open_red,77,2
age_diff,75,4
event_age,73,5
dec_open_blue,72,6
sig_str_absorbed_total_diff,70,7
sig_str_absorbed_pm_red,69,8
kd_total_diff,68,9
td_attempted_pm_diff,68,9
max_elo_win_blue,66,11
ko_losses_red,66,11
juice_open_red,65,13
td_defense_pct_blue,65,13
sig_str_defense_pct_blue,65,13
sig_str_absorbed_pm_diff,65,13
ratio_control_blue,64,17
td_landed_total_blue,63,18
reach_diff,63,18
body_str_pm_red,63,18
max_glicko_win_red,63,18
win_streak_blue,62,22
ratio_control_red,62,22
sub_pct_red,62,22
sub_att_pm_red,62,22
body_str_pm_blue,62,22
dec_pct_red,62,22
reverse_pm_red,62,22
sub_att_pm_blue,61,29
glicko_rd_blue,61,29
sig_str_accuracy_pct_red,61,29
td_attempted_total_diff,61,29
ratio_td_blue,61,29
math_red,60,34
clinch_str_pm_red,60,34
kd_pm_blue,60,34
glicko_diff,60,34
months_since_blue,60,34
blue_title_fights,60,34
max_elo_win_red,60,34
win_pct_diff,60,34
win_streak_diff,59,42
dec_pct_blue,59,42
sub_pct_blue,59,42
rating_agree,59,42
kd_pm_diff,59,42
blue_title_win_pct,59,42
red_fighter_stats,59,42
control_total_diff,59,42
max_glicko_win_blue,58,50
dec_fair_open_red,58,50
weight_class,57,52
head_str_total_diff,57,52
sig_str_landed_total_red,57,52
glicko_rd_red,57,52
elo_red,57,52
total_bonus_red,56,57
ko_losses_blue,56,57
red_title_win_pct,56,57
leg_str_total_blue,56,57
sub_att_total_blue,56,57
leg_str_pm_diff,56,57
reverse_pm_blue,56,57
body_str_total_red,56,57
red_title_losses,56,57
dog_counts_blue,56,57
blue_fighter_stats,56,57
clinch_str_pm_blue,55,68
td_attempted_total_blue,55,68
glicko_pred,55,68
elo_diff,55,68
head_str_pm_diff,55,68
win_pct_blue,55,68
glicko_red,54,74
months_since_red,54,74
td_accuracy_pct_blue,53,76
td_attempted_pm_blue,53,76
age_blue,53,76
reach_red,53,76
height_red,53,76
decision_wins_red,53,76
lose_streak_blue,53,76
sub_losses_blue,53,76
control_pm_blue,53,76
elo_pred,52,85
td_defended_total_blue,52,85
sub_wins_red,52,85
open_red,52,85
sig_str_accuracy_pct_blue,52,85
td_total_attempted_against_red,51,90
td_defended_pm_blue,51,90
kd_total_red,51,90
ko_wins_red,51,90
lose_streak_diff,51,90
sig_str_total_landed_against_red,51,90
glicko_proba_blue,51,90
decision_losses_blue,50,97
win_streak_red,50,97
ko_pct_red,50,97
ratio_td_diff,50,97
control_pm_red,50,97
leg_str_pm_red,50,97
glicko_proba_red,50,97
head_str_pm_red,50,97
sig_str_attempted_total_diff,49,105
total_bonus_blue,49,105
td_landed_total_red,49,105
sig_str_absorbed_pm_blue,49,105
td_accuracy_pct_red,49,105
sub_losses_red,49,105
ratio_sigstrike_red,49,105
math_blue,48,112
reverse_total_blue,48,112
td_defense_pct_red,48,112
decision_wins_blue,48,112
decision_losses_red,48,112
red_title_fights,48,112
td_landed_pm_blue,48,112
leg_str_total_red,48,112
avg_fight_min_diff,47,120
td_defended_total_red,47,120
td_landed_pm_red,47,120
td_defended_pm_red,46,123
ratio_sigstrike_blue,46,123
sig_str_attempted_pm_blue,46,123
sig_str_attempted_total_red,46,123
sub_att_total_diff,46,123
control_total_red,46,123
juice_open_blue,46,123
height_blue,45,130
fav_counts_red,44,131
num_losses_red,44,131
control_total_blue,43,133
td_total_landed_against_red,43,133
sub_wins_diff,42,135
sig_str_attempted_pm_red,42,135
wins_diff,42,135
sig_str_defense_pct_red,41,138
clinch_str_total_diff,41,138
sig_str_absorbed_total_red,41,138
open_blue,41,138
sig_str_total_attempted_against_red,41,138
td_attempted_total_red,41,138
clinch_str_total_red,40,144
td_total_attempted_against_blue,40,144
num_losses_blue,40,144
