month,refit_performed,train_rows,train_events,test_rows,test_events,best_cv_score,moneyline_baseline_score,parlay_improvement,parlay_win_rate,best_moneyline_trial_number,best_parlay_trial_number,best_trial_number,mdd,N,z,moneyline_min_american,moneyline_max_american,alpha,heavy_parlay_mdd,mdd_parlay,N_parlay,heavy_favorite_cutoff,heavy_parlay_max_legs
2023-09,True,3700,562,21,3,0.10371733267544996,0.0672429667616643,0.03647436591378565,0.4921875,31,71,71,0.63,200,0.0,-350,450,3.003305719722241,0.5,0.64,249,-250,2
2023-10,False,3700,562,24,3,0.10371733267544996,0.0672429667616643,0.03647436591378565,0.4921875,31,71,71,0.63,200,0.0,-350,450,3.003305719722241,0.5,0.64,249,-250,2
2023-11,False,3700,562,24,3,0.10371733267544996,0.0672429667616643,0.03647436591378565,0.4921875,31,71,71,0.63,200,0.0,-350,450,3.003305719722241,0.5,0.64,249,-250,2
2023-12,True,3769,571,25,3,0.09324039413560369,0.06106170867441274,0.032178685461190945,0.4798136645962733,0,64,64,0.63,200,0.0,-350,450,3.003305719722241,0.33999999999999997,0.7,346,-250,3
2024-01,False,3769,571,18,2,0.09324039413560369,0.06106170867441274,0.032178685461190945,0.4798136645962733,0,64,64,0.63,200,0.0,-350,450,3.003305719722241,0.33999999999999997,0.7,346,-250,3
2024-02,False,3769,571,34,4,0.09324039413560369,0.06106170867441274,0.032178685461190945,0.4798136645962733,0,64,64,0.63,200,0.0,-350,450,3.003305719722241,0.33999999999999997,0.7,346,-250,3
2024-03,True,3846,580,43,5,0.0927325657947698,0.06137174896873826,0.031360816826031535,0.47723935389133626,63,44,44,0.67,620,0.0,-575,475,0.3617574781408726,0.6,0.7,234,-250,4
2024-04,False,3846,580,25,3,0.0927325657947698,0.06137174896873826,0.031360816826031535,0.47723935389133626,63,44,44,0.67,620,0.0,-575,475,0.3617574781408726,0.6,0.7,234,-250,4
2024-05,False,3846,580,30,3,0.0927325657947698,0.06137174896873826,0.031360816826031535,0.47723935389133626,63,44,44,0.67,620,0.0,-575,475,0.3617574781408726,0.6,0.7,234,-250,4
2024-06,True,3944,591,48,5,0.09940784286069941,0.06053305130811976,0.03887479155257965,0.4977843426883309,43,0,0,0.68,466,0.0,-575,475,0.5873817054493132,0.6,0.7,234,-250,4
2024-07,False,3944,591,27,3,0.09940784286069941,0.06053305130811976,0.03887479155257965,0.4977843426883309,43,0,0,0.68,466,0.0,-575,475,0.5873817054493132,0.6,0.7,234,-250,4
2024-08,False,3944,591,31,4,0.09940784286069941,0.06053305130811976,0.03887479155257965,0.4977843426883309,43,0,0,0.68,466,0.0,-575,475,0.5873817054493132,0.6,0.7,234,-250,4
2024-09,True,4050,603,27,3,0.09714578085348177,0.062432304731446474,0.0347134761220353,0.4807987711213518,71,48,48,0.64,271,0.0,-350,325,0.6866136247143364,0.66,0.7,279,-275,3
2024-10,False,4050,603,38,4,0.09714578085348177,0.062432304731446474,0.0347134761220353,0.4807987711213518,71,48,48,0.64,271,0.0,-350,325,0.6866136247143364,0.66,0.7,279,-275,3
2024-11,False,4050,603,30,4,0.09714578085348177,0.062432304731446474,0.0347134761220353,0.4807987711213518,71,48,48,0.64,271,0.0,-350,325,0.6866136247143364,0.66,0.7,279,-275,3
2024-12,True,4145,614,23,2,0.09937681966686933,0.06625491759806734,0.03312190206880199,0.4781954887218045,52,0,0,0.67,371,0.0,-350,325,0.9246476734796149,0.66,0.7,279,-275,3
2025-01,False,4145,614,19,2,0.09937681966686933,0.06625491759806734,0.03312190206880199,0.4781954887218045,52,0,0,0.67,371,0.0,-350,325,0.9246476734796149,0.66,0.7,279,-275,3
2025-02,False,4145,614,32,4,0.09937681966686933,0.06625491759806734,0.03312190206880199,0.4781954887218045,52,0,0,0.67,371,0.0,-350,325,0.9246476734796149,0.66,0.7,279,-275,3
2025-03,True,4219,622,41,5,0.09899908502781926,0.06728068916934417,0.03171839585847509,0.4827586206896552,72,66,66,0.6900000000000001,421,0.0,-350,400,0.8503704849267686,0.63,0.7,211,-250,3
2025-04,False,4219,622,26,3,0.09899908502781926,0.06728068916934417,0.03171839585847509,0.4827586206896552,72,66,66,0.6900000000000001,421,0.0,-350,400,0.8503704849267686,0.63,0.7,211,-250,3
2025-05,False,4219,622,37,4,0.09899908502781926,0.06728068916934417,0.03171839585847509,0.4827586206896552,72,66,66,0.6900000000000001,421,0.0,-350,400,0.8503704849267686,0.63,0.7,211,-250,3
