,choice_fighter_name,parlay_fstar_sum,parlay_net_odds,choice_fstar,choice_ev,choice_real_odds,date,winner,pred_winner,choice_proba,parlay_prob,parlay_ev,parlay_avg_edge
0,bill algeo,0.0,0.0,0.0,-0.1238916857813594,1.3125,2024-03-30,0.0,1,0.6675110965475357,0.6675110965475357,-0.12389168578135934,-0.09439366535722615
0,norma dumont,0.20317624166447956,1.52,0.07724033327206509,0.15985113137385176,1.8,2024-04-06,1.0,1,0.6443617396521398,0.508965359056233,0.2825927048217072,0.08219783574048695
4,brendan allen,0.20317624166447956,1.52,0.12593590839241448,0.10582528233814548,1.4,2024-04-06,1.0,1,0.7898752016701039,0.508965359056233,0.2825927048217072,0.08219783574048695
0,arman tsarukyan,0.17698142345931955,1.3360881542699725,0.09558445891921731,0.04738529908793221,1.4545454545454546,2024-04-13,0.0,0,0.7200773931229534,0.46392222465557703,0.08376321352046645,0.027101527127294578
1,jessica andrade,0.17698142345931955,1.3360881542699725,0.08139696454010226,0.034732122423536294,1.606060606060606,2024-04-13,1.0,1,0.6442671705655981,0.46392222465557703,0.08376321352046645,0.027101527127294578
4,maheshate,0.19521892777254246,-1.0,0.10400181064927458,0.03390183930662377,1.3773584905660377,2024-04-27,0.0,0,0.7506410614143981,0.47459347539789526,0.02721984028169766,0.010250456396111607
2,jonathan pearce,0.19521892777254246,-1.0,0.09121711712326788,-0.006462894997272928,1.5714285714285714,2024-04-27,0.0,1,0.6322508850017354,0.47459347539789526,0.02721984028169766,0.010250456396111607
10,jonathan martinez,0.22268766622712438,-1.0,0.08494666832655912,0.05600788397128981,1.5555555555555556,2024-05-04,1.0,0,0.6788622111244006,0.5722016545777333,0.09471018972853695,0.032902152968115994
6,iasmin lucindo,0.22268766622712438,-1.0,0.13774099790056527,0.03664963713310623,1.2298850574712643,2024-05-04,0.0,0,0.842883349818507,0.5722016545777333,0.09471018972853695,0.032902152968115994
10,chase hooper,0.1682128637393469,2.1022727272727266,0.07678351231375762,0.1741796612041806,1.9090909090909087,2024-05-11,1.0,1,0.61504648920219,0.4331468747618177,0.3437397364770023,0.09005148777808558
7,tabatha ricci,0.1682128637393469,2.1022727272727266,0.0914293514255893,0.1444072665156959,1.625,2024-05-11,1.0,1,0.7042506255481206,0.4331468747618177,0.3437397364770023,0.09005148777808558
1,luana pinheiro,0.16392619360450528,-1.0,0.07238500090066011,0.2786044481766965,2.1,2024-05-18,0.0,1,0.6088592610365221,0.38912876770198424,0.38073621367359256,0.0899716207645947
4,themba gorimbo,0.16392619360450528,-1.0,0.09154119270384516,0.07987753025772515,1.6896551724137931,2024-05-18,1.0,1,0.639111191377021,0.38912876770198424,0.38073621367359256,0.0899716207645947
9,randy brown,0.25152394557502544,0.8153846153846152,0.09361496171276038,0.10104071789258817,1.5128205128205128,2024-06-01,1.0,1,0.7278065762340837,0.6425868070550702,0.16654220357689664,0.0581825305236931
4,islam makhachev,0.25152394557502544,0.8153846153846152,0.1579089838622651,0.059490520759013815,1.2,2024-06-01,1.0,1,0.8829087672991782,0.6425868070550702,0.16654220357689664,0.0581825305236931
9,nassourdine imavov,0.19435226227110186,1.3221153846153846,0.07366242716027188,0.10491073648140609,1.7692307692307692,2024-06-08,0.0,0,0.6245147640981861,0.5089491388791737,0.18183862537808126,0.05617197146350583
7,raul rosas jr,0.19435226227110186,1.3221153846153846,0.12068983511082998,0.06962362329979016,1.3125,2024-06-08,1.0,1,0.8149513320379353,0.5089491388791737,0.18183862537808126,0.05617197146350583
6,melquizael costa,0.20222473391858453,0.9560805454257175,0.10014876732777703,0.054441554167066086,1.4201680672268908,2024-06-15,1.0,1,0.7424765973129045,0.5460657240246924,0.06814853928850972,0.02388621086836229
1,tatsuro taira,0.20222473391858453,0.9560805454257175,0.10207596659080749,0.012999283902720482,1.3773584905660377,2024-06-15,0.0,0,0.7354652335184135,0.5460657240246924,0.06814853928850972,0.02388621086836229
2,kelvin gastelum,0.17447251121457394,-1.0,0.09873155565048726,0.08260289228251694,1.4545454545454546,2024-06-22,1.0,1,0.7442894884442304,0.4691943040152799,0.15312957475855615,0.04767248759549908
5,johnny walker,0.17447251121457394,-1.0,0.07574095556408668,0.06514547760660766,1.6896551724137931,2024-06-22,0.0,1,0.6303922214406453,0.4691943040152799,0.15312957475855615,0.04767248759549908
11,joe pyfer,0.21652408000391563,0.8837209302325579,0.12333802112342929,0.03975189021251119,1.2857142857142856,2024-06-29,1.0,1,0.808695914609731,0.5707693070418198,0.07517009000900932,0.027084114291242023
10,ian machado garry,0.21652408000391563,0.8837209302325579,0.09318605888048634,0.034064087913568575,1.4651162790697674,2024-06-29,1.0,1,0.7057897742902135,0.5707693070418198,0.07517009000900932,0.027084114291242023
2,josh fremd,0.1540801338838041,-1.0,0.06672710483526942,0.08216038755322663,1.8928571428571428,2024-07-13,0.0,1,0.5717073745564216,0.3816304689746803,0.10256772709414186,0.027880352145925436
0,santiago ponzinibbio,0.1540801338838041,-1.0,0.08735302904853467,0.01885796206887269,1.526315789473684,2024-07-13,0.0,1,0.6675276303209856,0.3816304689746803,0.10256772709414186,0.027880352145925436
3,cody durden,0.17002340436227786,-1.0,0.06330838107359635,0.20864525734287032,2.1,2024-07-20,0.0,1,0.575545360639462,0.4320253307493614,0.31047683660639613,0.07884182491481456
5,jeongyeong lee,0.17002340436227786,-1.0,0.1067150232886815,0.08425266110537355,1.4444444444444444,2024-07-20,0.0,1,0.7506364576883355,0.4320253307493614,0.31047683660639613,0.07884182491481456
10,muhammad mokaev,0.18580707716989814,-1.0,0.11173500120318361,0.1334942575820829,1.4545454545454546,2024-07-27,1.0,1,0.779277302087682,0.4739147763025611,0.188845499446741,0.060045942682988296
0,christian leroy duncan,0.18580707716989814,-1.0,0.07407207596671452,0.048832397248073256,1.7246376811594204,2024-07-27,0.0,1,0.6081465160514038,0.4739147763025611,0.188845499446741,0.060045942682988296
